Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C	xylometazoline	pKi=5.98000002	pKi=5.98000002	pKi=5.98000002
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=6.38999987	pKi=6.38999987	pKi=6.38999987
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	phenoxybenzamine	pKi=8.45593166	pKi=8.45593166	pKi=8.45593166
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=7.93839359	pKi=7.93839359	pKi=7.93839359
CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C	oxymetazoline	pKi=5.8499999	pKi=5.8499999	pKi=5.8499999
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pKi=8.6	pKi=8.6	pKi=8.6
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.40120949	pKi=6.40120949	pKi=6.40120949
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=7.16749109	pKi=7.16749109	pKi=7.16749109	pKi=7.17
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pKi=7.5	pKi=7.5	pKi=7.5	pIC50=7.08
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.12	pKi=8.12	pKi=8.12	pKi=7.32
C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=5.5	pKi=5.5	pKi=5.5
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=7.2596	pEC50=7.2596	pEC50=7.2596	pKi=7.46
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=8.7	pKi=8.7	pKi=8.7	pKi=7.54
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pIC50=7.15
C(CN1CCCN(CC2COc3ccccc3O2)CC1)OCc4cccnc4Oc5ccccc5	CHEMBL491419	pKi=7.16
Clc1c(NC2=NCCN2)ccc3nccnc13	CHEMBL72753	pKi=7.16
CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1	lofexidine	pKi=7.17
CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34	pergolide	pIC50=7.19
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pIC50=7.19
CN1C(=O)C=NN(CCCCN2CCN(CC2)c3ccccc3OCCF)C1=O	CHEMBL2413153	pKi=7.25
COc1ccccc1N2CCN(CCN3C(=O)Nc4ccccc4C3=O)CC2	CHEMBL51433	pKi=7.25
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pIC50=7.28
[H]C12CN(C)CCN1C1=C(CC3=C2C=CC=C3)C=CC=C1	mianserin	pIC50=7.28
Brc1c(NC2=NCCN2)ccc3NCCNc13	CHEMBL74283	pKi=7.31
COc1cc2OCC3C(CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL94129	pKi=7.31
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL477816	pKi=7.31
C1CN=C(N1)C(Oc2ccccc2)c3ccccc3	CHEMBL494885	pKi=7.32
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL538808	pKi=7.34
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL539606	pKi=7.35
Ic1c(NC2=NCCN2)ccc3nccnc13	CHEMBL70676	pKi=7.37
COc1cc2OCC3C(CN4CCN(CCCc5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL90419	pKi=7.38
COc1cc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL93489	pKi=7.38
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL328114	pKi=7.38
C([C@H]1C2CCC(C2)[C@H]1NC3=NCCO3)c4ccccc4	CHEMBL295186	pKi=7.39
C([C@H]1CCCC[C@@H]1NC2=NCCO2)c3ccccc3	CHEMBL50719	pKi=7.39
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pIC50=7.42
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5cccc(c5)C#N	CHEMBL515331	pKi=7.44
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	bromocriptine	pIC50=7.46
C(C[C@H]1CCCC[C@@H]1NC2=NCCO2)Cc3ccccc3	CHEMBL50720	pKi=7.49
COc1cc2OCC3C(CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL327875	pKi=7.51
COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N1CCN(CC1)C(=O)C1CCCO1	terazosin	pKi=7.51
COc1ccc(CCN(CCCc2ccccc2)CCc3ccc4OCOc4c3)cc1OC	CHEMBL3735756	pKi=7.54
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1	fluphenazine	pIC50=7.54
CC(C)(C)Nc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL477608	pKi=7.55
COc1cccc(OC)c1OCCNCC2COc3ccccc3O2	CHEMBL25554	pKi=7.55
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL543232	pKi=7.56
CO[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]2[C@]3(C)CC[C@@H](O3)[C@]4(C)CC[C@]5(C[C@H](O)[C@@H](C)[C@H](O5)[C@@H](C)[C@@H]6O[C@](O)(CC(=O)O)[C@@H](C)[C@H](OC)[C@H]6OC)O4)[C@H]7O[C@](C)(O)[C@H](C)C[C@@H]7C)O[C@@H](C)[C@@H]1OC	CHEMBL1909065	pIC50=7.57
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1403281	pIC50=7.59
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	risperidone	pIC50=7.59
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pIC50=7.59
COc1cc2NCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL390718	pKi=7.59
C1COC(=NC1)NC2CCCc3ccccc23	CHEMBL306377	pKi=7.6
COc1cc2OCC3C(CN4CCN(C\C=C\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL226636	pKi=7.6
CO[C@@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256502	pKi=7.62
Fc1ccc2CC(CC3CN=CN3)Cc2c1	CHEMBL90997	pKi=7.64
C1CC[C@@H]([C@H](C1)NC2=NCCO2)c3ccccc3	CHEMBL297228	pKi=7.65
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccc(F)cc5)\C)CC4)ON=C3c2cc1OC	CHEMBL318235	pKi=7.68
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL551711	pKi=7.73
Cl.Cl.O[C@H]1CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]2[C@H]1C(=O)NCCCCCCCCCCNC(=O)[C@H]6[C@@H](O)CC[C@H]7CN8CCc9c([nH]c%10ccccc9%10)[C@@H]8C[C@H]67	CHEMBL554019	pKi=7.73
CN(C)CCCN1c2ccccc2Sc3ccccc13	promazine	pIC50=7.75
Cc1ccc(cc1)N(NC2=NCCN2)c3cccc(O)c3	CHEMBL194849	pKi=7.75
O=C(NCCN1CCCN(CC2COc3ccccc3O2)CC1)c4cccnc4	CHEMBL476774	pKi=7.75
CN1CCc2cccc(Cl)c2CC1	CHEMBL123349	pKi=7.8
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@H]3[C@H]1Cc4cn(C)c5cccc3c45	CHEMBL19215	pIC50=7.8
COc1ccc2C3=NOC(CN4CCN(C\C=C\c5ccccc5)CC4)C3COc2c1	CHEMBL90247	pKi=7.8
C(C1COc2ccccc2O1)N3CCCN(Cc4onc(n4)c5cccnc5Oc6ccccc6)CC3	CHEMBL491420	pKi=7.82
CCc1sc2ccc(Cl)c3CCN(C)Cc1c23	CHEMBL123448	pKi=7.82
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL91157	pKi=7.82
Cl.COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL537669	pKi=7.82
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL123325	pKi=7.84
CN1CCc2c(Cl)ccc3oc(Br)c(C1)c23	CHEMBL123138	pKi=7.85
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C=C(/C)\c5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL419316	pKi=7.85
O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL524153	pKi=7.85
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4	prazosin	pKi=7.89
COc1ccc2OCC3C(CN4CCN(C\C=C\c5ccccc5)CC4)ON=C3c2c1	CHEMBL422597	pKi=7.92
CC(C)O[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256608	pKi=7.93
CC1=C(CCN2CCc3sc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165181	pIC50=7.94
CCCCOc1cccc(n1)C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL476569	pKi=7.96
COc1cccc2[C@H](CN(C)CCc3ccc4ccoc4c3)CCCc12	CHEMBL268258	pKi=7.96
CC1=C(CCCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165776	pIC50=7.97
CCCCOc1ncccc1C(=O)NCCN2CCCN(CC3COc4ccccc4O3)CC2	CHEMBL514837	pKi=7.98
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	prochlorperazine	pIC50=8.0
Oc1cc2OCC3NCc4ccccc4C3c2cc1O	CHEMBL217299	pKi=8.0
C1CCCC(CC1)NC2=NCCO2	CHEMBL305928	pKi=8.01
CCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256565	pKi=8.01
Cc1c(NC2=NCCN2)ccc3nccnc13	CHEMBL49137	pKi=8.05
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pIC50=8.09
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C1=O.CS(=O)(=O)O	CHEMBL1255837	pIC50=8.1
O=C(NCCN1CCN(CC2COc3ccccc3O2)CC1)c4cccnc4Oc5ccccc5	CHEMBL478026	pKi=8.1
CO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256503	pKi=8.11
COc1cc2OCC3C(CN4CCN(C\C(=C\c5ccccc5)\C)CC4)ON=C3c2cc1OC	CHEMBL93171	pKi=8.13
COc1cccc(c1)N(NC2=NCCN2)c3ccc(C)cc3	CHEMBL362954	pKi=8.14
C(Cc1ccccc1)[C@H]2CCCC[C@@H]2NC3=NCCO3	CHEMBL47313	pKi=8.16
CNC(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	CHEMBL1627	pKi=8.16
C1CC12c3ccccc3[C@H]4C[C@@]24c5c[nH]cn5	CHEMBL1255617	pKi=8.17
CCC1(Cc2ccc(F)cc2C1)c3c[nH]cn3	CHEMBL1255582	pKi=8.17
CCCO[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256566	pKi=8.19
CCC[C@H]1CCCCC1NC2=NCCO2	CHEMBL310335	pKi=8.23
CCC[C@H]1CCCC[C@@H]1NC2=NCCO2	CHEMBL297752	pKi=8.23
COC(=O)[C@@H]1[C@@H](O)CC[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12	CHEMBL10347	pKi=8.33
CC1=C(CCN2CCc3oc4c(Cl)cccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL164612	pIC50=8.36
O=C1N2C=CC=CC2=NC(=C1CCN3CCc4oc5ccccc5c4C3)Cc6ccccc6	CHEMBL162436	pIC50=8.38
CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	dihydroergotamine	pIC50=8.41
CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O	ergotamine	pIC50=8.42
CN1CCc2c(Cl)ccc3sc(C=C)c(C1)c23	CHEMBL25467	pKi=8.47
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	CHEMBL1385840	pIC50=8.52
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C(=C1)C)C	CHEMBL162232	pIC50=8.58
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL162501	pIC50=8.59
CC1=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N2C=C1)C	CHEMBL165796	pIC50=8.59
CCC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1255616	pKi=8.64
CCC1(Cc2ccccc2C1)c3cnc[nH]3	CHEMBL353972	pKi=8.65
C1CC(NC2=NCCO2)c3ccccc3C1	CHEMBL75030	pKi=8.67
CC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL351200	pIC50=8.67
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(I)C=CC5=N1	CHEMBL162682	pIC50=8.68
COC1=CC=CN2C(=O)C(=C(C)N=C12)CCN3CCc4oc5ccccc5c4C3	CHEMBL162490	pIC50=8.69
C(\C=C\c1ccccc1)N2CCN(CC3ON=C4C3COc5ccccc45)CC2	CHEMBL90943	pKi=8.7
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(C=C(Cl)C5=N1)C(F)(F)F	CHEMBL162147	pIC50=8.71
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=CC=C(O)C5=N1	CHEMBL162826	pIC50=8.76
NC(=O)C1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	CHEMBL1909072	pIC50=8.76
CC[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256610	pKi=8.79
COC1(COc2ccccc2O1)C3=NCCN3	CHEMBL10332	pKi=8.79
CC1=CN2C(=O)C(=C(C)N=C2C=C1)CCN3CCc4oc5ccccc5c4C3	CHEMBL162370	pIC50=8.81
CC1=CC=CC2=NC(=C(CCN3CCc4oc5ccccc5c4C3)C(=O)N12)C	CHEMBL163190	pIC50=8.83
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Br)C=CC5=N1	CHEMBL165350	pIC50=8.87
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=C(Cl)C5=N1	CHEMBL163247	pIC50=8.9
CC1(C)[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255770	pKi=8.94
CC1=C(CCN2CCc3oc4ccccc4c3C2)C(=O)N5C=C(Cl)C=CC5=N1	CHEMBL351483	pIC50=9.02
C[C@]12C[C@]1(Cc3ccccc23)c4c[nH]cn4	CHEMBL1255771	pKi=9.04
C[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256609	pKi=9.16
[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	lisuride	pIC50=9.29
CCC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255724	pKi=9.46
C1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256414	pKi=9.56
C[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1256378	pKi=9.69
CC[C@H]1[C@@H]2c3ccccc3C[C@]12c4c[nH]cn4	CHEMBL1255723	pKi=9.74
