CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O	pilocarpine	pEC50=6.96999979	pEC50=6.96999979	pEC50=6.96999979
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.64000034	pKi=9.64000034	pKi=9.64000034	pIC50=9.6	pIC50=9.6
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2	umeclidinium	pKi=10.22184849	pKi=10.22184849	pKi=10.22184849
CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(OC(=O)C(C)C)C=CC(CO)=C1)C(C)C	fesoterodine	pKi=6.2706	pKi=6.2706	pKi=6.2706
[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1	trospium
O.[Br-].C[N+]1(C)[C@@H]2C[C@H](C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(O)(c4cccs4)c5cccs5	tiotropium bromide	pKi=11.1	pKi=11.1	pKi=11.1	pIC50=9.4	pKi=10.5
[Br-].CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3	ipratropium	pKi=9.2924	pKi=9.2924	pKi=9.2924	pIC50=8.68
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.8	pKi=9.8	pKi=9.8
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.3188	pEC50=7.3188	pEC50=7.3188
[Cl-].C[N+](C)(C)CCOC(=O)N	carbachol	pEC50=8.699	pEC50=8.699	pEC50=8.699	pEC50=7.16
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.5	pKi=9.5	pKi=9.5	pKi=8.66
CC(=O)OCC[N+](C)(C)C	acetylcholine	pEC50=6.66	pEC50=6.66	pEC50=6.66
CC(C[N+](C)(C)C)OC(=O)C	methacholine
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=10.0	pKi=10.0	pKi=10.0
C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	clidinium	pKi=9.60000038	pKi=9.60000038	pKi=9.60000038
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.89999962	pKi=8.89999962	pKi=8.89999962
CC(C[N+](C)(C)C)OC(N)=O	bethanechol	pKi=4.19999981	pKi=4.19999981	pKi=4.19999981
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.03292027	pKi=9.03292027	pKi=9.03292027	pIC50=8.36
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2	tropicamide	pKi=7.52287875	pKi=7.52287875	pKi=7.52287875	pKi=7.52
CN(C)CCOC(=O)C(C1=CC=CC=C1)C1(O)CCCC1	cyclopentolate
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1	tridihexethyl
CC(C)N(CC[C@H](c1ccccc1)c2cc(C)ccc2O)C(C)C	tolterodine	pKi=8.49	pKi=8.49	pKi=8.49	pKi=8.44
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	mepenzolate	pKi=8.59	pKi=8.59	pKi=8.59
CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphencyclimine
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C	isopropamide
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2	oxybutynin	pKi=9.11	pKi=9.11	pKi=9.11	pIC50=8.57
O=C(O[C@H]1CN2CCC1CC2)N1CCC2=CC=CC=C2[C@@H]1C1=CC=CC=C1	solifenacin	pIC50=6.88	pIC50=6.88	pIC50=6.88
CC1=NC=CN1CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1	imidafenacin
NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1	darifenacin	pKd=9.52	pKd=9.52	pKd=9.52
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	methscopolamine	pKi=10.39999962	pKi=10.39999962	pKi=10.39999962	pIC50=8.96
[Br-].OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	aclidinium bromide	pKi=10.15	pKi=10.15	pKi=10.15	pIC50=9.77
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
O=C1NC(CN1[C@H]2CCN(Cc3ccccc3)C2)(c4ccccc4)c5ccccc5	CHEMBL223017	pKi=7.09
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	CHEMBL221753	pKi=7.09
C1CCCN(CC1)c2cc(nc(n2)C3CC3)N4CCC4	CHEMBL232416	pKi=7.1
CCCCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL21536	pKi=7.1
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3N(C(=O)c4ccc(F)cc4)C(=O)c5ccccc25)CC1)C(=O)c6ccc(F)cc6	CHEMBL168149	pKi=7.1
COc1nsnc1OCCCCCCCCCCCCOc2nsnc2C3=CCCN(C)C3	CHEMBL136027	pKi=7.1
Cc1c(NC2CC2)nc(nc1N3CCC(=C)CC3)C4CC4	CHEMBL206480	pKi=7.1
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CCCC4	CHEMBL205841	pKi=7.1
Cc1c(NC2CC2)nc(nc1N3CCSCC3)C4CC4	CHEMBL205853	pKi=7.1
Cc1c(NCCc2cccs2)nc(nc1NC3CC3)C4CC4	CHEMBL380477	pKi=7.1
Cc1c(nc(nc1N2CCCCCC2)C3CC3)N4CCCCC4	CHEMBL434765	pKi=7.1
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCO	CHEMBL545077	pKi=7.1
Nc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CC4	CHEMBL205482	pKi=7.1
O=C(CCc1ccccc1)N(C2CCN(Cc3ccccc3)CC2)c4ccccc4	CHEMBL85950	pKi=7.1
CCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683911	pKi=7.11
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL541671	pKi=7.11
Br.CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(O)c3ccccc3	CHEMBL1319362	pIC50=7.12
CS(=O)(=O)Nc1cc(ccc1O)[C@@H](O)CNCCCCCCCCCN2CCC(CC2)OC(=O)Nc3ccccc3c4cc(O)cc(F)c4	CHEMBL3219039	pKi=7.12
C[C@@H](c1ccccn1)c2c(CCN(C)C)oc3ccccc23	CHEMBL563920	pKi=7.12
NCCCCC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL263040	pKi=7.12
Cc1ccc(cc1)N(Cc2ccccc2)C(=O)O[C@H]3CN4CCC3CC4	CHEMBL1779042	pIC50=7.13
CN(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2042554	pKi=7.14
CCCN(C(=O)O[C@H]1CN2CCC1CC2)c3ccccc3	CHEMBL1779035	pIC50=7.15
CCCc1[nH]c2ccc3OC4N(CCc5cc(OC)ccc45)Cc3c2c1C(=O)OCC	CHEMBL320465	pKi=7.15
CCCc1c(C(=O)OCC)c2c3CN4CCc5cc(OC)ccc5C4Oc3ccc2n1C	CHEMBL106224	pKi=7.15
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pIC50=7.16
CN(C)CCC1=C(C(c2ccccc2)c3ccccn3)c4ccccc4C1	CHEMBL171102	pKi=7.17
NCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683921	pKi=7.17
CCCN(CCC)CC1CCCCN1CCNC(=O)N2c3ccccc3C(=O)Nc4cccnc24	CHEMBL279453	pKi=7.18
O=C(OCCN1CCCC1)N2c3ccccc3Sc4ccccc24	CHEMBL481153	pKi=7.18
[Br-].CN([C@H]1C[N+]2(CCCn3cccc3)CCC1CC2)C(=O)C4c5ccccc5Oc6ccccc46	CHEMBL3401655	pIC50=7.19
C1CCCN(CC1)c2cc(NC3CC3)nc(n2)C4CC4	CHEMBL380135	pKi=7.2
CCOC[C@H]1[C@@H]2CNC[C@]12c3ccc(Cl)c(Cl)c3	CHEMBL608151	pKi=7.2
CO[C@]1(CN2CCC1CC2)C#CC(O)(c3ccccc3)c4ccccc4	CHEMBL200208	pKi=7.2
COc1nsnc1OCCOCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL386983	pKd=7.2
Cc1c(NCc2c(F)cccc2F)nc(nc1NC3CC3)C4CC4	CHEMBL380954	pKi=7.2
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4cccs4)cc1	CHEMBL1289082	pIC50=7.2
Clc1ccc(CN2CCC3(CC2)CN(CCO3)C(=O)c4occc4)cc1	CHEMBL1289081	pIC50=7.2
[I-].C[N+](C)(C)C[C@@H]1COCC(O1)(c2ccccc2)c3ccccc3	CHEMBL2042406	pKi=7.21
CO\N=C(/C#N)\[C@H]1CN2CCC1CC2	CHEMBL134641	pIC50=7.22
[Cl-].CN([C@H]1C[N+]2(CCCOc3ccc(cc3)c4ccccc4)CCC1CC2)C(=O)C5c6ccccc6Oc7ccccc57	CHEMBL3401656	pIC50=7.22
CC(C)N(CCOC(=O)C(O)(c1ccccc1)c2ccccc2)C(C)C	CHEMBL2377261	pKi=7.23
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)C3CCN(CC3)C4CCCCC4	CHEMBL2115126	pKi=7.23
O=C1CCc2ccccc2N1CCCN3CCC(CCCCCCCCCC4CCN(CCCN5C(=O)CCc6ccccc56)CC4)CC3	CHEMBL3354078	pKi=7.24
CC(C)c1ccc(CCNCC2(COc3ccccc3OC2)N(C)C)cc1	CHEMBL233198	pKi=7.25
CCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683910	pKi=7.26
FC(F)(F)c1cccc(CN2CCC(CC2)N3CC(NC3=O)(c4ccccc4)c5ccccc5)c1	CHEMBL223925	pKi=7.27
CCN(CC)CCOC(=O)C(C)(c1ccccc1)c2ccc(O)cc2	CHEMBL37372	pKi=7.28
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.28
[I-].C[N+]1(C)CCC[C@H]1[C@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL539373	pKi=7.29
C1CCCN(CC1)c2nc(nc3NCCCc23)C4CC4	CHEMBL207287	pKi=7.3
CCC1CCN(CC1)c2nc(nc(NC3CC3)c2C)C4CC4	CHEMBL205944	pKi=7.3
CCOC(=O)c1c(CC)n(Cc2ccccc2)c3ccc4OC5N(CCc6cc(OC)ccc56)Cc4c13	CHEMBL106219	pKi=7.3
CO[C@@]1(CN2CCC1CC2)C#CC(O)(c3cccnc3)c4cccnc4	CHEMBL381469	pKi=7.3
COc1nsnc1OCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL373888	pKi=7.3
Cc1c(NC2CC2)nc(nc1N3CCC(F)(F)CC3)C4CC4	CHEMBL381752	pKi=7.3
Cc1oc(cc1)C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2	CHEMBL1290753	pIC50=7.3
NCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683920	pKi=7.3
OC(C1CCCC1)(C(=O)NC2CCN(Cc3cocc3)CC2)c4ccccc4	CHEMBL147672	pKi=7.3
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)N2CCNCC2)c3ccccc3	CHEMBL67814	pKi=7.3
CN(C)[C@@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021478	pKi=7.31
Fc1cccc(F)c1n2nc(OC3CCNCC3)c4ccccc24	CHEMBL1836644	pKi=7.31
OC(=O)C(F)(F)F.O=C(CC(c1ccccc1)(c2ccccc2)c3ccccc3)N4CCC[C@H]4C(=O)N5CCC[C@@H]5C(=O)NCC6CCNCC6	CHEMBL379483	pKi=7.31
CCCCCCCCCCCN1CCC(CC1)OC(=O)Nc2ccccc2c3ccccc3	CHEMBL1683919	pKi=7.32
CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1	pirenzepine	pKi=7.32
N[C@H]1CCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H]3CCCN3C(=O)CC(c4ccccc4)(c5ccccc5)c6ccccc6.OC(=O)C(F)(F)F	CHEMBL405117	pKi=7.32
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1)C(=O)c5ccc(F)cc5	CHEMBL353140	pKi=7.33
NCCCC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL66820	pKi=7.33
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pIC50=7.34
O=C(Nc1ccccc1c2ccccc2)OC3CCNCC3	CHEMBL1683908	pKi=7.34
CN(C)[C@@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021476	pKi=7.35
CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354071	pKi=7.35
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pKi=7.36
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493979	pKi=7.37
CCN1CCC(=C(C1)C(=O)OC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL332980	pIC50=7.39
CN(C)[C@H]1CCCC[C@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021479	pKi=7.39
CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021477	pKi=7.4
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1	CHEMBL395110	pKi=7.4
COC1(CN2CCC1CC2)C#CC(O)(Cc3ccccc3)c4ccccc4	CHEMBL373256	pKi=7.4
COC1CN(C1)c2nc(nc(N3CCCCCC3)c2C)C4CC4	CHEMBL232208	pKi=7.4
C[C@H]1CNCC[C@@H]1CNC(=O)c2c(F)cccc2c3cccc(Cl)c3	CHEMBL1083925	pIC50=7.4
Cc1c(NC2CC2)nc(nc1N3CCCCCC3)C4CCC4	CHEMBL205840	pKi=7.4
Cc1c(nc(nc1N2CCCCCC2)C3CC3)N4CCCCCC4	CHEMBL395571	pKi=7.4
Fc1ccc(C[N+]23CCC(CC2)[C@H](C3)OC(=O)C4(CCCCCC4)C5=CC=CC5)cc1F	CHEMBL3088078	pIC50=7.4
O=C(O[C@H]1C[N+]2(Cc3ccccc3)CCC1CC2)C4(CCCCCC4)C5=CC=CC5	CHEMBL3088077	pIC50=7.4
CCOC(=O)N(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1	CHEMBL166385	pKi=7.41
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pIC50=7.41
CN(CCCCCCCCN(C)CCCCCCN(CC(=O)N1c2ccccc2C(=O)Nc3cccnc13)CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CCCCCCNCC(=O)N7c8ccccc8C(=O)Nc9cccnc79	CHEMBL265256	pKi=7.42
Cc1cc(C)c(NC(=O)OC2CCN(CCCCCCCCCNC[C@H](O)c3ccc(O)c(NS(=O)(=O)C)c3)CC2)c(c1)c4ccc(O)c(Cl)c4	CHEMBL3219045	pKi=7.42
