O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKd=7.11	pKd=7.11	pKd=7.11
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.72124624	pIC50=7.72124624	pIC50=7.72124624
Nc1cc(CN2CCCC(C2)Nc3ccc4[nH]ncc4c3)ccc1Cl	CHEMBL3689429	pIC50=7.53
CC(C)N[C@@H](C1CCCCC1)C(=O)Nc2cc3C=CNC(=O)c3cc2Cl	CHEMBL1222418	pIC50=7.6
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cn5cc(ccc5n4)C(=O)N)c3)cc2C1	CHEMBL3680702	pIC50=7.6
COCCOc1cc(ccc1NC(=O)[C@H]2Cc3cc(OC)ccc3CN2)c4cn[nH]c4	CHEMBL1215377	pIC50=7.6
Cc1n[nH]cc1c2ccc3nc(sc3c2)C4COc5ccccc5C4	CHEMBL1080138	pIC50=7.6
NC(C(=O)Nc1ccc(cc1)c2cn[nH]c2)c3ccc(Cl)cc3	CHEMBL1215022	pIC50=7.6
O=C(Nc1ccc(cc1)c2cn[nH]c2)C3COc4ccccc4C3	CHEMBL455658	pIC50=7.6
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1	CHEMBL104264	pKd=7.62
C1CNCCN(C1)c2cncc(n2)c3ccc4[nH]ncc4c3	CHEMBL3238167	pIC50=7.62
CCn1c(cc2ccc(cc12)C#N)C(=O)NCc3cccc(c3)C(=O)Nc4ccc5CCN(C)Cc5c4	CHEMBL3680758	pIC50=7.62
COC(=O)c1ccc2OCC(Cc2c1)c3oc4cc(ccc4n3)c5ccnc(N)n5	CHEMBL518665	pIC50=7.62
COc1cccc(CNC(=O)c2cc3ccc(cc3n2CCCO)c4cn[nH]c4)c1	CHEMBL1922027	pIC50=7.62
COc1cccc(CNC(=O)c2cc3ccc(nc3n2CCCO)c4cn[nH]c4)c1	CHEMBL1922039	pIC50=7.62
O=C(CCc1ccccc1)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2332082	pIC50=7.62
O=C(COc1cccc(c1)C(=O)Nc2nc3CCC(Cc3s2)N4CCN(CC4)C5CC5)Nc6ccc(cc6)C#N	CHEMBL3704393	pIC50=7.62
CN1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc(cc4)C#N)c3)sc2C1	CHEMBL3700902	pIC50=7.63
CC(C)(N)CNc1nc(nc2cnccc12)c3ccc4[nH]ncc4c3	CHEMBL3338838	pIC50=7.64
CC[C@@H](NC(=O)Nc1ccc(cc1)C#N)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700910	pIC50=7.64
CN(C)CCOc1cc(ccc1NC(=O)[C@@H]2Cc3cc(Cl)ccc3CN2)c4cn[nH]c4	CHEMBL1215170	pIC50=7.64
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3c(F)cc(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215455	pIC50=7.64
Nc1nccc(n1)c2ccc3nc([nH]c3c2)C4COc5ccc(cc5C4)C(=O)NCc6ccccc6	CHEMBL455446	pIC50=7.64
O=C(Nc1cccc(c1)C#N)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4ccc(CCN5CCOCC5)cc4	CHEMBL3700914	pIC50=7.64
O=C1NC(=Nc2ccc(cc12)c3ccncc3)[C@@H]4CNC[C@H]4c5ccccc5	CHEMBL2334289	pIC50=7.64
CCCC[C@@H](NC(=O)Nc1cccc(c1)C#N)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700904	pIC50=7.65
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5NC(=O)C=Cc5c4)c3)cc2C1	CHEMBL3680791	pIC50=7.65
CN1CCc2ccc(NC(=O)c3cccc(c3)C4CCCN4C(=O)Nc5cccc(c5)C#N)cc2C1	CHEMBL3700949	pIC50=7.65
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cccnc5)c3)sc2C1	CHEMBL3639795	pIC50=7.65
C[C@@H](NC(=O)Nc1ccc(cc1)C#N)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700961	pIC50=7.65
CC(C)(C)C(=O)OCc1ccc(cc1)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793243	pKi=7.66
CCCCCCOC(=O)c1cccc(c1)c2cc(ccc2CN)C(=O)Nc3ccncc3	CHEMBL2440748	pIC50=7.66
CN(C)CCOc1cc(ccc1NC(=O)C(N)c2ccc(Cl)cc2)c3cn[nH]c3	CHEMBL1215023	pIC50=7.66
COC(=O)c1ccc2OCC(Cc2c1)C(=O)Nc3ccc(cc3)c4cn[nH]c4	CHEMBL481684	pIC50=7.66
COc1ccc2OCC(Cc2c1)c3nc(N(C)CCO)c4cc(ccc4n3)c5cn[nH]c5	CHEMBL1684215	pIC50=7.66
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CNC[C@@H]4C(=O)Nc5ccc(cc5)C#N)sc2C1	CHEMBL3700913	pIC50=7.67
C1CCN(C1)c2ncc(nc2N3CCCNCC3)c4ccnc5[nH]ccc45	CHEMBL598963	pIC50=7.68
C1Oc2ccccc2CC1c3oc4cc(ccc4n3)c5cn[nH]c5	CHEMBL509011	pIC50=7.68
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc6NC(=O)C=Cc6c5)sc2C1	CHEMBL3700960	pIC50=7.68
COc1ccc2OCC(Cc2c1)C3=Nc4c(cc(cc4C(=O)N3)c5cn[nH]c5)N(C)CCN(C)C	CHEMBL1684223	pIC50=7.68
O=C(Nc1cccc(c1)C#N)N2CCCC2c3cccc(c3)C(=O)Nc4nc5CCN(Cc6ccccc6)Cc5s4	CHEMBL3700947	pIC50=7.68
OCCOc1cccc(CN2C3CCC2CC(C3)Nc4ccc5[nH]ncc5c4)c1	CHEMBL3647976	pKi=7.68
CN(C)CCNC(=O)c1ccc2OCC(Cc2c1)c3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL1079920	pIC50=7.7
Cc1ccc(CN2C3CCC2CC(C3)Nc4ccc5[nH]ncc5c4)cc1	CHEMBL3647975	pKi=7.7
NCCNc1nc(nc2ccccc12)c3ccc4[nH]ncc4c3	CHEMBL3338842	pIC50=7.7
NCc1ccc(cc1c2cccc(c2)C(=O)OC3CCCCC3)C(=O)Nc4ccncc4	CHEMBL2440751	pIC50=7.7
NCc1cccc(c1)C(=O)NC(C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)c5ccc(Cl)cc5	CHEMBL2333885	pIC50=7.7
N[C@@H](C1CCCCC1)C(=O)Nc2cc3C=CNC(=O)c3cc2Cl	CHEMBL1222416	pIC50=7.7
Nc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218009	pIC50=7.7
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cn5ccc(cc5n4)C#N)c3)cc2C1	CHEMBL3680700	pIC50=7.71
C(Cc1cn(nn1)c2ccc3[nH]ncc3c2)c4ccccc4	CHEMBL1682342	pKi=7.72
CC(C)C[C@@H](N)C(=O)Nc1cc2C=CNC(=O)c2cc1Cl	CHEMBL1222413	pIC50=7.72
CCN(Cc1cccc(OC)c1)C(=O)c2c[nH]c3nc(ccc23)c4cn[nH]c4	CHEMBL1922134	pIC50=7.72
CCOc1ccc(C[C@H](N)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)cc1	CHEMBL2333910	pIC50=7.72
CN1CCc2nc(NC(=O)c3cccc(c3)N4CCC[C@@H]4C(=O)Nc5ccc(cc5)C#N)sc2C1	CHEMBL3700905	pIC50=7.72
C[C@@H](NC(=O)Nc1cccc(c1)C#N)c2cccc(c2)C(=O)Nc3ccc4CCN(C)Cc4c3	CHEMBL3704389	pIC50=7.72
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3cncc(F)c23	CHEMBL3426621	pIC50=7.72
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C(NC3CC3)c4ccccc4	CHEMBL1084106	pIC50=7.72
O=C(Nc1cccc(c1)C#N)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4ccc(CCN5CCCC5)cc4	CHEMBL3700915	pIC50=7.72
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5cccnc5)c3)cc2C1	CHEMBL3680730	pIC50=7.73
CN1CCc2nc(NC(=O)c3cccc(c3)C4CCCCN4C(=O)Nc5ccc(cc5)C#N)sc2C1	CHEMBL3704371	pIC50=7.73
C(c1ccccc1)c2cn(nn2)c3ccc4[nH]ncc4c3	CHEMBL1682341	pKi=7.75
CN(C)CCOc1cc(c(F)cc1NC(=O)[C@H]2Cc3ccccc3CN2C)c4cn[nH]c4	CHEMBL1215525	pIC50=7.75
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5NC(=O)CCc5c4)c3)cc2C1	CHEMBL3680795	pIC50=7.75
COc1cccc(CN(CCN2CCCC2)C(=O)c3cc4ccc(nc4[nH]3)c5cn[nH]c5)c1	CHEMBL1922044	pIC50=7.75
COc1cccc(CNC(=O)c2nc3cc(ccc3s2)c4cc[nH]n4)c1	CHEMBL1923183	pIC50=7.75
COc1cccc(CNC(=O)c2nc3ccc(cc3s2)c4cn[nH]c4)c1	CHEMBL1081193	pIC50=7.75
Clc1ccc(Cl)c(Cn2cc(nn2)c3ccc4[nH]ncc4c3)c1	CHEMBL1682355	pKi=7.75
NC(Cc1ccc(Cl)cc1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL1215021	pIC50=7.75
NCCCC[C@@H](NC(=O)CCNC(=O)CNCC(=O)NCCNS(=O)(=O)c1cccc2cnccc12)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL2023839	pIC50=7.75
NCc1ccc(cc1)C(=O)NC(C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4)c5ccc(Cl)cc5	CHEMBL2333884	pIC50=7.75
O=C(C1CC1)c2ccc3OCC(Cc3c2)C4=Nc5ccc(cc5C(=O)N4)c6cn[nH]c6	CHEMBL1684205	pIC50=7.75
O=C(NCc1cccc(c1)C(=O)NCCC2CCCNC2)Nc3ccc(cc3)C#N	CHEMBL589359	pIC50=7.75
O=C(NCc1ccccc1)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL3402465	pIC50=7.75
O=C(Nc1cccc(c1)C#N)N2CCCC2c3cccc(c3)C(=O)Nc4ccc5CCNCc5c4	CHEMBL3700939	pIC50=7.75
C1CCN(C1)c2ncc(nc2N3CCNCC3)c4ccnc5[nH]ccc45	CHEMBL604934	pIC50=7.77
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5ccc(cc5n4C)C#N)c3)cc2C1	CHEMBL3680744	pIC50=7.77
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)N4CCc5c(cccc45)C#N)c3)sc2C1	CHEMBL3680743	pIC50=7.77
COCCN(Cc1cccc(OC)c1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2332066	pIC50=7.77
COc1cc(NC(=O)C2COc3ccccc3C2)c(F)cc1c4cn[nH]c4	CHEMBL514172	pIC50=7.77
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3SCCN(C)C)c4c[nH]nc4C	CHEMBL1215380	pIC50=7.77
Clc1cccc(CNC(=O)Nc2ccc(cc2)c3cn[nH]c3)c1	CHEMBL3402445	pIC50=7.77
O=C(Nc1nc2CC[C@@H](Cc2s1)N3CCOCC3)c4cccc(c4)[C@H]5CCCN5C(=O)c6ccc(cc6)c7ccncc7	CHEMBL3704379	pIC50=7.77
CN(C)CC1(CCN(CC1)c2ncnc3[nH]cc(C)c23)C(=O)Nc4cccc(c4)C(=O)OCC#C	CHEMBL3613609	pIC50=7.8
CN(C)CCOc1cc(ccc1NC(=O)C2COc3ccc(C)cc3C2)c4cn[nH]c4	CHEMBL481735	pIC50=7.8
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5csc(n5)c6ccncc6)sc2C1	CHEMBL3700948	pIC50=7.8
COc1ccc2OCC(Cc2c1)C3=Nc4c(OCCN(C)C)cc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684224	pIC50=7.8
COc1cccc(CNC(=O)c2[nH]c3nc(ccc3c2CN4CCOCC4)c5cn[nH]c5)c1	CHEMBL1922143	pIC50=7.8
NC[C@H](C(=O)Nc1ccc2cnccc2c1)c3ccccc3	CHEMBL3793245	pKi=7.8
N[C@H](Cc1cccc(c1)C(F)(F)F)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2334284	pIC50=7.8
Nc1n[nH]c2ccc(cc12)c3onc(Cc4ccccc4)c3	CHEMBL1682358	pKi=7.8
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5cccnc5)c3)sc2C1	CHEMBL3680754	pIC50=7.81
C(N1CCCC(C1)Nc2ccc3[nH]ncc3c2)c4ccc5occc5c4	CHEMBL3689393	pIC50=7.82
CN(C)CCOc1cc(c(F)cc1NC(=O)[C@H]2Cc3ccccc3CN2)c4cn[nH]c4	CHEMBL1215524	pIC50=7.82
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)Nc5ccc(cc5)C#N)sc2C1	CHEMBL3700933	pIC50=7.82
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(cc3SCCN(C)C)c4cn[nH]c4	CHEMBL1215379	pIC50=7.82
COc1cccc(CN(C)C(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218276	pIC50=7.82
Clc1cccc(Cn2cc(nn2)c3ccc4[nH]ncc4c3)c1Cl	CHEMBL1682354	pKi=7.82
Fc1cc(NC(=O)C2COc3ccccc3C2)cc(F)c1c4cn[nH]c4	CHEMBL480746	pIC50=7.82
NC(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3cccc(Cl)c3	CHEMBL1083115	pIC50=7.82
N[C@@H]1CC[C@@H](CC1)C(=O)Nc2cc3C=CNC(=O)c3cc2Cl	CHEMBL1222571	pIC50=7.82
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)n5ccnc5)c3)cc2C1	CHEMBL3680796	pIC50=7.84
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(s4)c5oc(C)nc5)c3)sc2C1	CHEMBL3680757	pIC50=7.84
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)n6ccnc6)sc2C1	CHEMBL3700952	pIC50=7.84
C1CN(CCN1)c2nc(nc3ccccc23)c4ccc5[nH]ncc5c4	CHEMBL3338840	pIC50=7.85
C1CN(CCN1)c2nc(nc3cnccc23)c4ccc5[nH]ncc5c4	CHEMBL3338839	pIC50=7.85
CCN[C@H](Cc1ccc(Cl)cc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333904	pIC50=7.85
CN(C)Cc1ccc(NC(=O)c2cccc(CNC(=O)Nc3ccc(cc3)C(=O)N)c2)cc1	CHEMBL591116	pIC50=7.85
COc1ccc(cc1Cl)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3ccc4CCN(C)Cc4c3	CHEMBL3704386	pIC50=7.85
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3cc(F)c(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215454	pIC50=7.85
COc1ccc2OC[C@@H](Cc2c1)C(=O)Nc3ccc(cc3O[C@@H]4CCN(C)C4)c5cn[nH]c5	CHEMBL3221812	pIC50=7.85
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4ccccn4	CHEMBL1083800	pIC50=7.85
Fc1cc(cc2sc(nc12)C3COc4ccccc4C3)c5cn[nH]c5	CHEMBL1081174	pIC50=7.85
N[C@@H]1CCc2nc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5csnn5)c3)sc2C1	CHEMBL3680704	pIC50=7.85
O=C(NCc1cccc(c1)C(=O)Nc2ccc3CCNCc3c2)Nc4ccc(cc4)C#N	CHEMBL590810	pIC50=7.85
OCCN(Cc1ccccc1)C(=O)Nc2ccc(cc2F)c3cn[nH]c3	CHEMBL2332075	pIC50=7.85
CC(C)(N)CNc1nc(cc2cnccc12)c3ccncc3	CHEMBL2147538	pIC50=7.89
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5csc(n5)c6cccnc6)sc2C1	CHEMBL3700944	pIC50=7.89
COc1ccc(cc1Cl)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700964	pIC50=7.89
COc1cccc(CN(CCN2CCOCC2)C(=O)Nc3ccc(cc3)c4cn[nH]c4)c1	CHEMBL2332071	pIC50=7.89
COc1cccc(CNC(=O)Nc2ccc(cc2)c3ccnc(N)n3)c1	CHEMBL3402449	pIC50=7.89
NC(C(=O)N1CCC(CC1)Nc2ccc3[nH]ncc3c2)c4ccc(Br)cc4	CHEMBL239816	pIC50=7.89
NC(C1=Nc2ccc(cc2C(=O)N1)c3cn[nH]c3)c4cccc(Cl)c4	CHEMBL2333894	pIC50=7.89
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CCCC3)C(=O)Nc4ccncc4F	CHEMBL2440755	pIC50=7.89
N[C@H](Cc1cccc(Cl)c1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2333913	pIC50=7.89
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5sc(nc5C)c6ccncc6)sc2C1	CHEMBL3700921	pIC50=7.9
O=C(Nc1cccc(c1)C#N)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CCN(Cc6ccccc6)Cc5s4	CHEMBL3700976	pIC50=7.9
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cc5cc(ccc5n4C)C(=O)N)c3)cc2C1	CHEMBL3680747	pIC50=7.91
CC(C)[C@H](N)C(=O)Nc1cc2C=CNC(=O)c2cc1Cl	CHEMBL1223498	pIC50=7.92
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4nc(cs4)c5cccnc5)c3)cc2C1	CHEMBL3680803	pIC50=7.92
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cn5ccc(cc5n4)C#N)c3)sc2C1	CHEMBL3680732	pIC50=7.92
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cn6ccc(cc6n5)C#N)sc2C1	CHEMBL3704390	pIC50=7.92
CNC(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3ccccc3	CHEMBL1084892	pIC50=7.92
COc1cc(NC(=O)C2COc3ccc(C)cc3C2)ccc1c4cn[nH]c4	CHEMBL481889	pIC50=7.92
C[C@@H](NC(=O)Nc1nc(cs1)c2ccncc2)c3ccccc3	CHEMBL3218277	pIC50=7.92
C[C@H]1CNCCCN1S(=O)(=O)c2cccc3cncc(C)c23	CHEMBL406821	pIC50=7.92
NCc1ccc(cc1c2cccc(c2)C(=O)OCC3CCCCO3)C(=O)Nc4ccncc4F	CHEMBL2440738	pIC50=7.92
N[C@@H](Cc1ccccc1)C2=Nc3ccc(cc3C(=O)N2)c4cn[nH]c4	CHEMBL2334286	pIC50=7.92
N[C@H](Cc1cccc(F)c1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL1215020	pIC50=7.92
OCCN(Cc1ccccc1)C(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL2331562	pIC50=7.92
O=C(Nc1cccc(c1)C#N)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4ccc5CCNCc5c4	CHEMBL3700943	pIC50=7.94
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5ccc(cc5)c6ocnc6)sc2C1	CHEMBL3700953	pIC50=7.95
C1Oc2ccccc2CC1c3nc4ccc(cc4s3)c5cn[nH]c5	CHEMBL1080137	pIC50=7.96
CC(C)(C)c1cccc(c1)C2CNCC2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1084554	pIC50=7.96
CC(C)(N)CNc1nc(nc2cnccc12)c3ccncc3	CHEMBL3338837	pIC50=7.96
CCCC[C@@H](NC(=O)c1ccc(OC)c(OC)c1)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700971	pIC50=7.96
CCN1Cc2ccccc2C[C@@H]1C(=O)Nc3cc(F)c(cc3OCCN(C)C)c4cn[nH]c4	CHEMBL1215526	pIC50=7.96
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cn5ccc(cc5n4)C(=O)N)c3)cc2C1	CHEMBL3680724	pIC50=7.96
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4cc5cc(ccc5n4C)C#N)c3)sc2C1	CHEMBL3680763	pIC50=7.96
COC(=O)Cc1ccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)cc1	CHEMBL3426625	pIC50=7.96
COC(=O)c1cccc(NC(=O)C2(CN(C)C)CCN(CC2)c3ccnc4[nH]ncc34)c1	CHEMBL3613612	pIC50=7.96
COc1ccc2CCC(Cc2c1)C3=Nc4c(OC)cc(cc4C(=O)N3)c5cn[nH]c5	CHEMBL1684227	pIC50=7.96
COc1cccc(CN(CCN2CCCC2)C(=O)c3cc4ccc(cc4[nH]3)c5cn[nH]c5)c1	CHEMBL1922032	pIC50=7.96
COc1cccc(CNC(=O)Nc2nc(cs2)c3ccncc3)c1	CHEMBL3218006	pIC50=7.96
Clc1ccc(cc1)[C@H]2CNC[C@@H]2C(=O)Nc3cc4C=CNC(=O)c4cc3Cl	CHEMBL1082820	pIC50=7.96
N[C@H]1CCc2nc(NC(=O)c3cccc(OCC(=O)Nc4ccc(cc4)C#N)c3)sc2C1	CHEMBL3700909	pIC50=7.96
COc1ccc(cc1C)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3ccc4CCN(C)Cc4c3	CHEMBL3704387	pIC50=7.98
NCCCC[C@@H](NC(=O)CCCCCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL525385	pIC50=7.98
COc1cc(ccc1O)C(CN)C(=O)Nc2ccc3cnccc3c2	CHEMBL3793368	pKi=7.99
