O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	phenytoin
CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=4.7645	pIC50=4.7645	pIC50=4.7645
[H]C1(CCCCN1C)C(=O)NC1=C(C)C=CC=C1C	mepivacaine
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pKi=4.89	pKi=4.89	pKi=4.89
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pIC50=4.54	pIC50=4.54	pIC50=4.54
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	carbamazepine	pIC50=4.66	pIC50=4.66	pIC50=4.66
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C	tetracaine	pKi=6.3	pKi=6.3	pKi=6.3	pIC50=5.12
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
COC[C@@H](NC(=O)C)C(=O)NCc1ccccc1	lacosamide	pIC50=6.74	pIC50=6.74	pIC50=6.74	pIC50=6.74
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
COc1nccnc1NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N	CHEMBL2325554	pIC50=5.0
CS(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(CC(O)(C4)C2)C3)cc1F	CHEMBL3657822	pIC50=5.0
CS(=O)(=O)NC(=O)c1cc(Cl)c(cc1F)C(=O)NC23CC4CC(CC(C4)C2)C3	CHEMBL3657821	pIC50=5.0
CS(=O)(=O)NC(=O)c1cc(F)c(OCC2CCCNC2)cc1F	CHEMBL3654178	pIC50=5.0
CS(=O)(=O)NC(=O)c1cc(F)c(OCC2CCCO2)cc1F	CHEMBL3654179	pIC50=5.0
CS(=O)(=O)NC(=O)c1ccc(CNC23CC4CC(CC(C4)C2)C3)c(Cl)c1	CHEMBL3657812	pIC50=5.0
CS(=O)(=O)NC(=O)c1ccc(OCC23CC4CC(CC(O)(C4)C2)C3)c(Cl)c1	CHEMBL3657818	pIC50=5.0
Cc1cc(Oc2ccc(cc2C#N)S(=O)(=O)Nc3ncc(Cl)s3)n(n1)C4CCCCC4	CHEMBL2325268	pIC50=5.0
Cc1cc(sn1)c2ccccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4ccc(F)cn4	CHEMBL2325277	pIC50=5.0
Cc1cnc(NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N)cn1	CHEMBL2325551	pIC50=5.0
Cc1cnc(NS(=O)(=O)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N)nc1	CHEMBL2325275	pIC50=5.0
Cc1cncnc1NS(=O)(=O)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325274	pIC50=5.0
Cc1nocc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F	CHEMBL2324355	pIC50=5.0
Cc1nonc1NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N	CHEMBL2325553	pIC50=5.0
Cn1nccc1NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N	CHEMBL2325552	pIC50=5.0
Cn1nccc1c2cc(Cl)ccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4cc[nH]n4	CHEMBL2325555	pIC50=5.0
Cn1nccc1c2cc(Cl)ccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4cccnc4	CHEMBL2325556	pIC50=5.0
FC(F)(F)c1cc(NS(=O)(=O)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N)ncn1	CHEMBL2325567	pIC50=5.0
Fc1cc(ccc1Oc2cc(nn2c3ccccc3)C(F)(F)F)S(=O)(=O)Nc4cscn4	CHEMBL2325272	pIC50=5.0
Fc1cc(ccc1Oc2ccc(Oc3ccccc3)cc2)S(=O)(=O)Nc4nccs4	CHEMBL2325267	pIC50=5.0
NC(=O)c1ccccc1Oc2ccccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4ncns4	CHEMBL2325563	pIC50=5.0
Nc1c(cnn1CC(F)(F)F)c2ccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4nccs4)cc2	CHEMBL2325558	pIC50=5.0
Nc1ncc(Oc2ccc(cc2C#N)S(=O)(=O)Nc3ncns3)c(n1)c4ccc(Cl)cc4	CHEMBL2325560	pIC50=5.0
O=S(=O)(Nc1ccccc1)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325566	pIC50=5.0
O=S(=O)(Nc1conc1)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325557	pIC50=5.0
O=S(=O)(Nc1ncc(cn1)C#N)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325276	pIC50=5.0
O=S(=O)(Nc1nccs1)c2ccc(Oc3cc(nn3c4ccccn4)C5CC5)c(c2)C#N	CHEMBL2325271	pIC50=5.0
O=S(=O)(Nc1nccs1)c2ccc(Oc3cccc(c3)c4ccn[nH]4)c(c2)C#N	CHEMBL2325550	pIC50=5.0
O=S(=O)(Nc1nccs1)c2ccc(Oc3ccccc3c4nncn4c5ccccc5)c(c2)C#N	CHEMBL2325270	pIC50=5.0
O=S(=O)(Nc1nccs1)c2ccc(Oc3ccccc3c4oncc4)c(c2)C#N	CHEMBL2325269	pIC50=5.0
O=S(=O)(Nc1ncns1)c2ccc(Oc3nccnc3c4ccccc4)c(c2)C#N	CHEMBL2325561	pIC50=5.0
O=S(=O)(Nc1ncns1)c2ccc(Oc3nnccc3c4ccccc4)c(c2)C#N	CHEMBL2325562	pIC50=5.0
O=S(=O)(Nc1occn1)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325564	pIC50=5.0
O=S(=O)(Nc1nccs1)c2ccc(Oc3ccc(cc3)n4cc(cn4)C#N)c(c2)C#N	CHEMBL2325549	pIC50=5.02
CN(c1ccc(cc1)C(=O)O)c2cc(cc(n2)C(=O)O)c3ccc(Oc4ccc(F)cc4)cc3	CHEMBL3688091	pIC50=5.03
COc1ccc2c(NC3(CCN(Cc4cccc(c4)C#N)CC3)c5cccn25)c1	CHEMBL3322764	pIC50=5.03
FC(F)(F)c1ccc(c(Br)c1)c2cccc3CN(CCc23)S(=O)(=O)Nc4ccncn4	CHEMBL3683239	pIC50=5.03
Fc1ccccc1c2cc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4nccs4)n(CC(F)(F)F)n2	CHEMBL2325548	pIC50=5.03
OC(COc1ccccc1C(=O)c2ccccc2)CN3CCC(CC3)N4C(=O)Cc5ccccc45	CHEMBL3634328	pIC50=5.03
CC(C)(C)n1ccc(n1)c2ccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4nccs4)c(F)c2	CHEMBL2325545	pIC50=5.04
Cc1cc(CN2CCCC2)cc(C)c1Oc3ccc(cc3F)S(=O)(=O)Nc4nccs4	CHEMBL2325547	pIC50=5.04
Cc1nc(cs1)c2ccccc2Oc3ccc(cc3F)S(=O)(=O)Nc4nccs4	CHEMBL2325546	pIC50=5.04
Cn1cc(c2cc(Br)cc(c2)C(F)(F)F)c3ccc(cc13)S(=O)(=O)Nc4ncns4	CHEMBL3704412	pIC50=5.04
Fc1ccc(Oc2ccc(cc2)c3cc(cc(n3)C(=O)NCCN4CCCCC4)c5nnn[nH]5)cc1	CHEMBL3688061	pIC50=5.04
Cc1ccnn1c2cc(F)ccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4nccs4	CHEMBL2325543	pIC50=5.05
Cn1ccc(NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N)n1	CHEMBL2325544	pIC50=5.05
O[C@H]1CCN(C1)C(=O)CN2CCN(C2=O)c3cccc4c3cnn4c5ccccc5F	CHEMBL3798752	pIC50=5.05
CC(C)(C)n1ccc(Cc2cccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4cscn4)c2)n1	CHEMBL2325542	pIC50=5.06
CCOc1ccccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682765	pIC50=5.06
COc1ccc2c(NC3(CCN(CC3)C(=O)Nc4ccc(cc4)C#N)c5cccn25)c1	CHEMBL3322765	pIC50=5.06
CCNC(=O)c1ccc(cc1)c2cccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4ccc(F)cn4)c2	CHEMBL2325541	pIC50=5.07
Cn1cc(c2ccncc2Cl)c3ccc(cc13)S(=O)(=O)Nc4ncns4	CHEMBL3704442	pIC50=5.07
FC(F)(F)Oc1ccc(CNC(=O)C2N(C3CC(F)(F)C3)C(=O)c4ccccc24)cc1	CHEMBL2164376	pIC50=5.07
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccccc4C(F)(F)F)c1C	CHEMBL1813040	pIC50=5.09
COc1ccc(cc1c2cccc3CN(CCc23)S(=O)(=O)Nc4nncs4)c5ccc(F)c(F)c5	CHEMBL3683245	pIC50=5.09
Clc1ccc(CCCOc2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)cc1	CHEMBL3682724	pIC50=5.1
Cn1cc(cn1)c2cc(F)ccc2c3nccc4cc(ccc34)S(=O)(=O)Nc5nccs5	CHEMBL3682721	pIC50=5.1
O=C1CCCN1c2cccc3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3682687	pIC50=5.1
O=S(=O)(Nc1ncns1)c2ccc3c(cccc3c2)C4CCCN4	CHEMBL3692127	pIC50=5.1
FC(F)(F)Cn1nc(cc1Oc2ccc(cc2C#N)S(=O)(=O)Nc3nccs3)c4ccccc4	CHEMBL2325540	pIC50=5.11
Fc1ccc2c(c1)cc(c3cccc4cc(ccc34)S(=O)(=O)Nc5ccncn5)n2C[N+]#[C-]	CHEMBL3682698	pIC50=5.11
O=S(=O)(Nc1ncns1)c2ccc3c(cccc3c2)c4ccncc4	CHEMBL3677855	pIC50=5.11
CC(=O)N1c2ccc(Cl)cc2CCc3cc(ccc13)c4cccc(n4)C(=O)N	CHEMBL3581053	pIC50=5.12
Clc1ccc(c(Cl)c1)c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4	CHEMBL3683201	pIC50=5.12
O=S(=O)(Nc1ncns1)N2CCc3c(C2)cccc3c4cccc5[nH]ncc45	CHEMBL3683234	pIC50=5.12
CC(C)Oc1cccc(C(=O)N2CCCC2)c1OCc3csc(n3)c4ccc(Cl)cc4	CHEMBL372614	pIC50=5.13
COc1ccc(cc1)C2(O)C(=O)N(Cc3ccc(Cl)cc3)c4ccccc24	CHEMBL1779932	pIC50=5.13
Cc1cn(cn1)c2cc(ccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncc(F)s5)C(F)(F)F	CHEMBL3683254	pIC50=5.13
Clc1ccc(cc1)c2nc(COc3ccccc3C(=O)N4CCCCC4)cs2	CHEMBL372292	pIC50=5.13
Fc1cc(Cl)ccc1c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4	CHEMBL3683200	pIC50=5.13
NC(=O)c1cc(ccc1Oc2ccc(cc2)c3cc(n[nH]3)C(F)(F)F)S(=O)(=O)Nc4nccs4	CHEMBL2325817	pIC50=5.13
CN1CCC(CC1)c2cccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4ccc(F)cn4)c2	CHEMBL2325816	pIC50=5.14
COc1ccc(cc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)C#N	CHEMBL3682742	pIC50=5.14
Cn1ccc(n1)c2cc(F)ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4	CHEMBL2325815	pIC50=5.14
NC(=O)c1cc(C[C@H](O)CO)cc(n1)c2ccc(Oc3ccc(F)cc3)cc2	CHEMBL3688106	pIC50=5.14
O=S(=O)(Nc1nccs1)c2ccc3c(nccc3c2)c4ccn(c4)c5ccccc5	CHEMBL3682793	pIC50=5.14
CC(C)(C)OC(=O)N1CCc2c(C1)cccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncns5	CHEMBL3683241	pIC50=5.15
CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1Oc3cc(F)c(cc3Cl)C(=O)NS(=O)(=O)C	CHEMBL3657905	pIC50=5.15
CNS(=O)(=O)NC(=O)c1cc(Cl)c(OC2C3CC4CC2CC(C4)(C3)C(=O)OC)cc1F	CHEMBL3662233	pIC50=5.15
Cn1cc(c2ccnn2C)c3ccc(cc13)S(=O)(=O)Nc4ncns4	CHEMBL3704443	pIC50=5.15
Fc1ccc(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3C4CC4)c(c2)C#N)nc1	CHEMBL2325814	pIC50=5.15
Fc1ccc(c(OC2CCOCC2)c1)c3nccc4cc(ccc34)S(=O)(=O)Nc5nccs5	CHEMBL3687666	pIC50=5.15
NC(=O)c1cc(nc(c1)c2ccc(Oc3ccc(F)cc3)cc2)[C@@H](O)CO	CHEMBL3688064	pIC50=5.15
CN(C)CCC=C1c2ccccc2CCc3ccccc13	amitriptyline	pIC50=5.16
CNC(=O)c1cnc(N)c(c1)c2cc(Cl)cc(Cl)c2Cl	CHEMBL3589892	pIC50=5.16
COc1cc(ccc1c2ccnc3c(C)c(ccc23)S(=O)(=O)Nc4nccs4)C(F)(F)F	CHEMBL3692151	pIC50=5.16
COc1ccc(c(OC)c1)c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4	CHEMBL3683215	pIC50=5.16
COc1ccc2c(NC3(CCN(CC3)S(=O)(=O)c4ccc(cc4)C#N)c5cccn25)c1	CHEMBL3322766	pIC50=5.16
CS(=O)(=O)NC(=O)c1cc(F)c(OCCC2CC2)cc1F	CHEMBL3654177	pIC50=5.16
FC(F)(F)Oc1ccc(CNC(=O)C2N(C3CCC(F)(F)CC3)C(=O)c4ccccc24)cc1	CHEMBL2164373	pIC50=5.16
Fc1ccc(NS(=O)(=O)c2ccc(Oc3ccccc3c4ocnn4)c(c2)C#N)nc1	CHEMBL2325594	pIC50=5.16
Fc1ccc2c(c1)c(OCCn3ccnc3)nn2c4ccccc4F	CHEMBL3797315	pIC50=5.16
Nc1cccc(n1)c2cccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4nccs4)c2	CHEMBL2325595	pIC50=5.16
CC(C)(O)c1ccccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4nccs4	CHEMBL3687646	pIC50=5.17
COc1c(cccc1C(F)(F)F)c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682744	pIC50=5.17
COc1cc(NC(=O)c2oc(cc2)c3ccc(Cl)cc3)cc(OC)c1	CHEMBL250699	pIC50=5.17
COc1ncccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682736	pIC50=5.17
Cn1nccc1c2cc(ccc2c3c[nH]c4nc(ccc34)S(=O)(=O)Nc5ncns5)C(F)(F)F	CHEMBL3704417	pIC50=5.17
Fc1ccc(cc1)c2cccc(n2)C(=O)N3CCN(CC3)S(=O)(=O)c4cccc(c4)C#N	CHEMBL3684323	pIC50=5.17
CCOc1cccc(C(=O)N2CCCC2)c1OCc3csc(n3)c4ccc(Cl)cc4	CHEMBL371052	pIC50=5.18
Cn1ccc2cccc(c3nccc4cc(ccc34)S(=O)(=O)Nc5ccncn5)c12	CHEMBL3682756	pIC50=5.18
FC(F)(F)CCN1C(C(=O)NCc2ccc(OC(F)(F)F)cc2)c3ccccc3C1=O	CHEMBL2164378	pIC50=5.18
OC(=O)c1cc(nc(c1)c2ccc(Oc3ccc(F)cc3)cc2)C(=O)NCCN4CCCCC4	CHEMBL3688060	pIC50=5.18
COc1c(F)cccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682749	pIC50=5.19
COc1cc(ccc1c2nc(cc3cc(ccc23)S(=O)(=O)Nc4nccs4)N(C)C)C(F)(F)F	CHEMBL3682809	pIC50=5.19
COc1cccc(C(=O)N2CCCCCC2)c1OCc3csc(n3)c4ccc(Cl)cc4	CHEMBL193605	pIC50=5.19
Cc1ccc(Oc2ccc(cc2F)S(=O)(=O)Nc3nccs3)c(c1)c4ccn(C)n4	CHEMBL2325593	pIC50=5.19
OC[C@@H](O)c1cccc(n1)c2ccc(Oc3ccc(cn3)C(F)(F)F)cc2	CHEMBL3688005	pIC50=5.19
COc1ncc(cn1)c2cccc(C#N)c2CCNC(=O)c3ccc(OCCC(F)(F)F)nc3	CHEMBL2147226	pIC50=5.2
Cn1nccc1c2cc(Cl)ccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4cnccn4	CHEMBL2325592	pIC50=5.2
CCOc1nnc(NS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3c4ccnn4C)c(c2)C#N)s1	CHEMBL2325591	pIC50=5.21
COc1cc(cc(C2=CCNCC2)c1c3cccc4CN(CCc34)S(=O)(=O)Nc5ccncn5)C(F)(F)F	CHEMBL3683257	pIC50=5.21
COc1ccc(cc1OC)C2(O)C(=O)N(Cc3ccc(Cl)cc3)c4ccccc24	CHEMBL1779931	pIC50=5.21
Cn1nccc1c2cc(ccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncccn5)C(F)(F)F	CHEMBL3683232	pIC50=5.21
OC(=O)CN(c1ccccc1)c2cc(cc(n2)C(=O)O)c3ccc(Oc4ccc(F)cc4)cc3	CHEMBL3688092	pIC50=5.21
CC(C)(C(=O)c1cccs1)C2(O)C(=O)N(Cc3ccc(Cl)cc3)c4ccccc24	CHEMBL1779922	pIC50=5.22
COc1ccccc1C2(O)C(=O)N(Cc3ccc(Cl)cc3)c4ccccc24	CHEMBL1779930	pIC50=5.22
Cc1cc(cc(n1)c2ccc(Oc3ccc(F)cc3)cc2)C(=O)NCC[N+]4(C)CCCCC4	CHEMBL3341990	pKi=5.22
Cn1cc(c2ccccc2C(F)(F)F)c3ccc(cc13)S(=O)(=O)Nc4ncns4	CHEMBL3704435	pIC50=5.22
Cn1nccc1c2cc(Cl)ccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4ncc(Cl)cn4	CHEMBL2325590	pIC50=5.22
COc1cc(OC)cc(c1)c2cn(C)c3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3704421	pIC50=5.23
COc1cc(ccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ncncc4F)C(F)(F)F	CHEMBL3639816	pIC50=5.23
Cc1cccc(c1Oc2ccc(cc2C#N)S(=O)(=O)Nc3ncns3)c4ccc(F)c(F)c4	CHEMBL2325589	pIC50=5.23
Cc1cnc(N)c(c1)c2cn(C)c3cc(ccc23)S(=O)(=O)Nc4ncns4	CHEMBL3704436	pIC50=5.23
Cc1cncc(c1)c2cc(ccc2c3cccc4CN(CCc34)S(=O)(=O)Nc5ncns5)C(F)(F)F	CHEMBL3683210	pIC50=5.23
Fc1ccc(Oc2cccc(n2)C(=O)N3CCN(CC3)S(=O)(=O)c4cccc(c4)C#N)cc1	CHEMBL3684322	pIC50=5.23
Oc1cc(F)ccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4nccs4	CHEMBL3692167	pIC50=5.23
CC(C)(Cc1ccccn1)N2C(C(=O)NCc3ccc(OC(F)(F)F)cc3)c4ccccc4C2=O	CHEMBL2164361	pIC50=5.24
COc1ccc(OC)c(c1)c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682739	pIC50=5.24
COc1ccc2c(NC3(CN(C3)C(=O)c4ccc5ncccc5c4)c6cccn26)c1	CHEMBL3337590	pIC50=5.24
Cc1cccc(c1Oc2ccc(cc2C#N)S(=O)(=O)Nc3ncns3)c4ccc(OC(F)(F)F)cc4	CHEMBL2325588	pIC50=5.24
Fc1cc(ccc1c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4)C(F)(F)F	CHEMBL3683197	pIC50=5.24
FC(F)(F)Oc1cccc(c1)C(=O)NCc2noc(n2)c3c4ccccc4nn3CCn5ccnc5	CHEMBL3236329	pIC50=5.25
O=S(=O)(Nc1cnsn1)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N	CHEMBL2325587	pIC50=5.25
COc1cc(Oc2ccc(cc2C#N)S(=O)(=O)Nc3ccc(F)cn3)ccc1n4ccnc4C	CHEMBL2325586	pIC50=5.26
COc1cc(ccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)c5cccnc5	CHEMBL3687691	pIC50=5.27
Cc1cc2cnn(C)c2cc1c3nccc4cc(ccc34)S(=O)(=O)Nc5ccncn5	CHEMBL3682757	pIC50=5.27
Clc1ccc(Oc2ccc(cc2C#N)S(=O)(=O)Nc3cscn3)c(c1)c4ccn(n4)C5CCNCC5	CHEMBL2325585	pIC50=5.27
FC(F)(F)c1ccc(c2cccc3CN(CCc23)S(=O)(=O)Nc4ncns4)c(c1)c5cn[nH]c5	CHEMBL3683206	pIC50=5.27
COc1cc(ccc1c2nncc3cc(ccc23)S(=O)(=O)Nc4ccncn4)C(F)(F)F	CHEMBL3682837	pIC50=5.28
COc1ccccc1OCC(O)CN2CCC(CC2)N3Cc4ccccc4C3=O	CHEMBL3634334	pIC50=5.28
FC(F)(F)c1ccccc1c2cccc(c2)c3cocn3	CHEMBL1224519	pIC50=5.28
Fc1cc(C(=O)NS(=O)(=O)N2CCC2)c(F)c(Cl)c1OCC34CC5CC(CC(C5)C3)C4	CHEMBL3662117	pIC50=5.28
NC(=O)c1cc(cc(n1)c2cccc(Oc3ccc(F)cc3)c2)[C@@H](O)CO	CHEMBL3688111	pIC50=5.28
Nc1noc2ccc(cc12)c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)NCc5ncccn5	CHEMBL3805770	pIC50=5.28
CC(C)CC(=O)CN1CCN(C1=O)c2cccc3c2cnn3c4ccccc4F	CHEMBL3799551	pIC50=5.29
COc1cc(c2cc(F)ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4)n(C)n1	CHEMBL2325584	pIC50=5.29
COc1ccc(cc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)C5=CCOCC5	CHEMBL3639864	pIC50=5.29
COc1ccccc1c2c(Br)cnc3cc(ccc23)S(=O)(=O)Nc4nccs4	CHEMBL3687600	pIC50=5.29
COc1cnccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682761	pIC50=5.29
Cc1cnc(OCCOc2ccccc2)c(c1)c3nccc4cc(ccc34)S(=O)(=O)Nc5nccs5	CHEMBL3687645	pIC50=5.29
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4cccc(F)c4)c1C	CHEMBL1813038	pIC50=5.3
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(CC3)OCc4ccccc4)c1C	CHEMBL1813033	pIC50=5.3
COc1cccc(F)c1c2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4	CHEMBL3682750	pIC50=5.3
COc1ncccc1c2nccc3cc(ccc23)S(=O)(=O)Nc4nccs4	CHEMBL3687659	pIC50=5.3
Cc1cc(ccc1c2ncnc3cc(ccc23)S(=O)(=O)Nc4nccs4)C#N	CHEMBL3687757	pIC50=5.3
Cc1cn(Cc2ccccc2)nc1Oc3ccc(cc3C#N)S(=O)(=O)Nc4ncc(Cl)s4	CHEMBL2325583	pIC50=5.3
Clc1ccc(Oc2nccc3cc(ccc23)S(=O)(=O)Nc4ccncn4)cc1Cl	CHEMBL3682783	pIC50=5.3
