COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2	lenvatinib	pIC50=7.0	pIC50=7.0	pIC50=7.0
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC	cabozantinib	pIC50=8.33724213	pIC50=8.33724213	pIC50=8.33724213
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=9.68	pKd=9.68	pKd=9.68	pIC50=7.82
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.74	pKd=8.74	pKd=8.74	pKd=8.19
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.8	pKd=7.8	pKd=7.8	pKd=7.55
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.24	pKd=9.24	pKd=9.24	pIC50=7.89
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKd=7.89	pKd=7.89	pKd=7.89	pIC50=7.67
Cc1ccc(cc1C#Cc2cnc3ccnn3c2)C(=O)Nc4ccc(Cl)cc4	CHEMBL2336038	pIC50=7.53
COc1ccc(cc1N)c2cnc3[nH]cc(c4ccc(OC)c(OC)c4)c3c2	CHEMBL3319470	pIC50=7.59
Cc1cccc(NC(=O)Nc2ccc(cc2)c3c(CCCO)sc4ncnc(N)c34)c1	CHEMBL198297	pIC50=7.59
Cc1cccc(NC(=O)Nc2ccc(cc2)c3ccc(OCCN4CCCC4)c5[nH]nc(N)c35)c1	CHEMBL223790	pIC50=7.59
OCCN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158225	pIC50=7.59
CC(C)(OCCN1CCCC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3086317	pIC50=7.6
CCNC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248226	pIC50=7.6
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4cc(CN5CCN(C)CC5)ccc34)C(=O)Nc6cc(F)cc(c6)C(F)(F)F	CHEMBL378895	pIC50=7.6
CNC(=O)c1cc(CNc2ncsc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247248	pIC50=7.6
CS(=O)(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL246423	pIC50=7.6
COc1ccc(cc1)c2n[nH]c3c2Cc4sc(cc34)c5cccnc5	CHEMBL3644448	pIC50=7.61
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4ccc(C)c(N)c4	CHEMBL3319469	pIC50=7.61
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccccc34)cc2)n(n1)c5cccc(N)c5	CHEMBL2403816	pIC50=7.62
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5ccc(CNC(=O)Nc6ccc(C)cc6)s5)c2)CC1	CHEMBL415047	pIC50=7.62
COc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)cc1Cl	CHEMBL272453	pIC50=7.62
CC(C)N1CCN(CC1)C2CCc3cc(ccc23)C(=O)Nc4ccc(C)c(Nc5nccc(n5)c6cccnc6)c4	CHEMBL3690076	pIC50=7.64
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc4ccncc4)ccc12	CHEMBL572881	pKd=7.64
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pIC50=7.64
COc1ccc(c2ccc(NC(=O)Nc3cccc(Br)c3)cc2)c4c(N)noc14	CHEMBL271381	pIC50=7.64
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c2)n(C)n1	CHEMBL2348996	pIC50=7.64
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1	CHEMBL271170	pIC50=7.64
FC1(F)Oc2ccc(NC(=O)c3ccccc3NCc4ccnc(NCCc5cnc[nH]5)c4)cc2O1	CHEMBL247792	pIC50=7.64
Nc1nc(Nc2ccc(cc2)C(=O)NCCN3CCOCC3)nn1c4ccccn4	CHEMBL1835749	pIC50=7.64
O=C(N1CCNCC1)c2ccc(\C=C\c3n[nH]c4ccccc34)cc2	CHEMBL1908397	pKd=7.64
O=C(Nc1ccc(cc1C2=CCCCC2)C3CCN(CCN4CCOCC4)CC3)c5nc(c[nH]5)C#N	CHEMBL2158230	pIC50=7.64
CC1=C(C(=O)N(C=C1)c2ccc(Cl)c(F)c2)c3ccc4nc(N)ncc4c3	CHEMBL497754	pIC50=7.66
CC1=C(C(=O)N(C=C1)c2ccc(cc2)c3occn3)c4ccc5nc(N)ncc5c4	CHEMBL525893	pIC50=7.66
CCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(nn4c5cccc(C)c5)C(C)(C)C)cc3)c2c1	CHEMBL510516	pIC50=7.66
CCC(=O)Nc1ccc2ncnc(Nc3ccc(NC(=O)Nc4cc(nn4c5cccc(N)c5)C(C)(C)C)cc3)c2c1	CHEMBL2403818	pIC50=7.66
CN1CCN(CC1)C2CCc3cc(ccc23)C(=O)Nc4ccc(C)c(Nc5nccc(n5)c6cccnc6)c4	CHEMBL3690072	pIC50=7.66
COc1ccc(cc1)c2cc3c(Cc4c(n[nH]c34)c5ccc(OC)cc5)s2	CHEMBL3644447	pIC50=7.66
Cc1sc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3	CHEMBL382517	pIC50=7.66
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4ccc(F)c(c4)C(F)(F)F)cc3	CHEMBL429516	pIC50=7.66
CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)n(n1)c5cccc(NC(=O)OCC6c7ccccc7c8ccccc68)c5	CHEMBL2403817	pIC50=7.68
COc1cc2c(ncnc2cc1OCCCN3CCC(C)CC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5	CHEMBL330863	pIC50=7.68
Cc1cc(C(=O)Nc2cccc(Oc3ccc4nc(NC(=O)C5CC5)cn4c3)c2)n(C)n1	CHEMBL2409779	pIC50=7.68
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1	CHEMBL223360	pKd=7.68
Nc1nc(Nc2ccc(cc2)C(=O)N3CCOCC3)nn1c4ccccn4	CHEMBL1835863	pKi=7.68
Nc1noc2cccc(c3ccc(NC(=O)Nc4ccccc4F)cc3)c12	CHEMBL410504	pIC50=7.68
CC(=O)c1ccc(cc1)N2C=CC(=C(C2=O)c3ccc4nc(N)ncc4c3)C	CHEMBL496505	pIC50=7.7
CC1=C(C(=O)N(C=C1)c2ccc(Cl)cc2)c3ccc4nc(N)ncc4c3	CHEMBL522905	pIC50=7.7
CN(C)CCCc1cncc(Nc2ncc3CC(=S)Nc4cc(Cl)ccc4c3n2)c1	CHEMBL1945803	pIC50=7.7
CN1CCN(CCc2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2)CC1	CHEMBL403776	pIC50=7.7
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(C)CC6)ncc4C1=O	CHEMBL492809	pIC50=7.7
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13	CHEMBL558752	pIC50=7.7
Cn1c(Nc2cccc(c2)C(C)(C)C)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13	CHEMBL3632719	pIC50=7.7
Cn1c(Nc2cccc(c2)C(C)(C)C)nc3cc(Oc4ccnc(c4)c5ncc[nH]5)ccc13	CHEMBL3632717	pIC50=7.7
FC(F)(F)c1cccc(Nc2noc3c(C(=O)Nc4cnc(Cl)nc4)c(Cl)ccc23)c1	CHEMBL491238	pIC50=7.7
FC1(F)Oc2ccc(NC(=O)c3ccccc3NCc4ccnc(NCCCn5ccnc5)c4)cc2O1	CHEMBL247424	pIC50=7.7
Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12	CHEMBL220049	pIC50=7.7
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6ccc(OC(F)(F)F)cc6	CHEMBL212932	pIC50=7.72
COCCCNC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247030	pIC50=7.72
COc1cccc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1	CHEMBL371889	pIC50=7.72
Cc1cc(C)cc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)c1	CHEMBL371206	pIC50=7.72
Cc1ccc(CNC(=O)Nc2cccc(F)c2)cc1NC(=O)c3cnc4ccccn34	CHEMBL3608786	pIC50=7.72
FC1(F)Oc2ccc(NC(=O)c3ccccc3NCc4ccncc4)cc2OC1(F)F	CHEMBL391781	pIC50=7.72
CN(C)c1cccc(NC(=O)c2ccc(C)c(c2)C#Cc3cnc4ccnn4c3)c1	CHEMBL2336024	pIC50=7.73
CC1=C(C(=O)N(C=C1)c2ccc(F)c(C)c2)c3ccc4nc(N)ncc4c3	CHEMBL497958	pIC50=7.75
CC1=C(C(=O)N(C=C1)c2ccc(cc2)C(F)(F)F)c3ccc4nc(N)ncc4c3	CHEMBL498557	pIC50=7.75
CC1=C(C(=O)N(C=C1)c2ccc(cc2)n3cccn3)c4ccc5nc(N)ncc5c4	CHEMBL497343	pIC50=7.75
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	CHEMBL574738	pKd=7.75
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6cccc(c6)C(F)(F)F	CHEMBL213910	pIC50=7.75
COc1ccc(cc1)N2C=CC(=C(C2=O)c3ccc4nc(N)ncc4c3)C	CHEMBL506033	pIC50=7.75
Cc1ccc(cc1C(=O)Nc2cccnc2)C(=O)Nc3cccc(c3)C(F)(F)F	CHEMBL469883	pIC50=7.75
Cl.CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL1908395	pKd=7.75
Nc1nc(Nc2ccc(cc2)N3CCOCC3)nn1c4ccccn4	CHEMBL1835747	pKi=7.75
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3	CHEMBL409872	pIC50=7.75
Nc1ncnc2snc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3)c12	CHEMBL213504	pIC50=7.75
Nc1noc2cccc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12	CHEMBL411725	pIC50=7.75
OCCNC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL246608	pIC50=7.75
Brc1cccc(NC(=O)Nc2ccc(Oc3ncnc4sc5CCCCc5c34)cc2)c1	CHEMBL3628811	pIC50=7.77
CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O	CHEMBL415049	pKd=7.77
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	CHEMBL215152	pKd=7.77
CCOC(=O)c1ccc(cc1)N2C=CC(=C(C2=O)c3ccc4nc(N)ncc4c3)C	CHEMBL496713	pIC50=7.77
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6ccc(Br)cc6	CHEMBL211464	pIC50=7.77
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5ccc(CNC(=O)Nc6cccc(c6)C(F)(F)F)s5)c2)CC1	CHEMBL212986	pIC50=7.77
CNC(=O)Nc1ccc(CNc2c(cnn2C)C(=O)Nc3ccc(SC(F)(F)F)cc3)cn1	CHEMBL247797	pIC50=7.77
CS(=O)(=O)CCNC(=O)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL245804	pIC50=7.77
C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C	CHEMBL377300	pKd=7.77
Cc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)cc1	CHEMBL374330	pIC50=7.77
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4[nH]nc(N)c34)c1	CHEMBL220057	pIC50=7.77
Clc1ccc(Nc2nnc(Cc3ccncc3)c4ccccc24)cc1	CHEMBL101253	pKd=7.77
CCCCNC(=O)c1ccc(C)c(c1)C#Cc2cnc3ccnn3c2	CHEMBL2336029	pIC50=7.78
O=C(Nc1ccc(Oc2ccccc2)cc1)Nc3ccc4\C(=C\c5ccc[nH]5)\C(=O)Nc4c3	CHEMBL1172887	pIC50=7.79
CC1=C(C(=O)N(C=C1)c2ccc(cc2)C(C)(C)C)c3ccc4nc(N)ncc4c3	CHEMBL496494	pIC50=7.8
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9	CHEMBL608533	pKd=7.8
COc1cc2c(ncnc2cc1OCCCN3CCCCC3C)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5	CHEMBL107599	pIC50=7.8
COc1cc2ncnc(Oc3ccc(NC(=O)Nc4cccc(Br)c4)cc3)c2cc1OC	CHEMBL2018882	pIC50=7.8
Cc1ccc(NC(=O)c2ccc3C(CCc3c2)N4CCNCC4)cc1Nc5nccc(n5)c6cccnc6	CHEMBL3690074	pIC50=7.8
FC1(F)Oc2ccc(NC(=O)c3ccccc3NCc4ccnc(c4)C(=O)NC5CC5)cc2O1	CHEMBL248398	pIC50=7.8
CN1CCN(CC1)C2CCc3cc(ccc23)C(=O)Nc4ccc(C)c(Nc5nccc(n5)c6cncnc6)c4	CHEMBL3690079	pIC50=7.82
COc1ccc(NC(=O)Nc2ccc(cc2)c3c(C)sc4ncnc(N)c34)cc1	CHEMBL365784	pIC50=7.82
Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12	CHEMBL373798	pIC50=7.82
Cc1ccc(NC(=O)Nc2ccc3\C(=C\c4ccc[nH]4)\C(=O)Nc3c2)cc1	CHEMBL1172815	pIC50=7.84
Brc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccccc34)cc2)c1	CHEMBL3628807	pIC50=7.85
COc1ccc(C(=O)NC(=O)Nc2ccc3\C(=C\c4[nH]c(C)c(C(=O)NCCN5CCCC5)c4C)\C(=O)Nc3c2)c(F)c1	CHEMBL3329684	pIC50=7.85
Cc1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)c4cccnc4)c2)cc(c1)n5cnc(C)c5	CHEMBL2311806	pKd=7.85
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1C(=O)Nc3cncnc3	CHEMBL259247	pIC50=7.85
Nc1noc2cccc(c3ccc(NC(=O)Nc4cc(F)cc(F)c4)cc3)c12	CHEMBL269862	pIC50=7.85
Nc1noc2cccc(c3ccc(NC(=O)Nc4cccc(c4)[N+](=O)[O-])cc3)c12	CHEMBL272183	pIC50=7.85
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4ccc(OCCN5CCOCC5)c(N)c4	CHEMBL3319475	pIC50=7.86
CC(C)(N1CCN(CCO)CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCC(C)(C)CC4	CHEMBL3085833	pIC50=7.89
CC1=C(C(=O)N(C=C1)c2ccc(cc2)N3CCOCC3)c4ccc5nc(N)ncc5c4	CHEMBL525744	pIC50=7.89
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5ccc(CNC(=O)Nc6ccc(cc6)C(F)(F)F)s5)c2)CC1	CHEMBL212762	pIC50=7.89
COCCNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248860	pIC50=7.89
CONC(=O)C1=CN(c2ccc3CCCc3c2)c4nc(Nc5ccc(cc5)C6CCN(CC(=O)O)CC6)ncc4C1=O	CHEMBL452965	pIC50=7.89
Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c12	CHEMBL375670	pIC50=7.89
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1	CHEMBL3646211	pIC50=7.9
Cc1ccc(cc1C#Cc2cnc3ccnn3c2)C(=O)NC4CCCC4	CHEMBL2336032	pIC50=7.9
COc1ccc(cc1)c2n[nH]c3c2Cc4sc(cc34)c5ccc(NC(=O)CN6CCCC6)nc5	CHEMBL3644450	pIC50=7.91
CC1=C(C(=O)N(C=C1)c2ccc(C)c(F)c2)c3ccc4nc(N)ncc4c3	CHEMBL497957	pIC50=7.92
CN(C)CC(=O)C1=CCC(C)(C)CC1OC(=O)c2ncc(C#N)[nH]2	CHEMBL3680626	pIC50=7.92
CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nc(cs4)c5cccnc5)c3)CC1	CHEMBL1908391	pKd=7.92
CNC(=O)Nc1ccc(CNc2c(cnn2C)C(=O)Nc3ccc4OC(F)(F)C(F)(F)Oc4c3)cn1	CHEMBL247619	pIC50=7.92
CNC(=O)c1cc(CNc2ncsc2C(=O)Nc3ccc4OC(F)(F)C(F)(F)Oc4c3)ccn1	CHEMBL247434	pIC50=7.92
CNc1cc(ccn1)C2=CNC(=O)C(=C2)NC(=O)c3ccc(cc3)N4CCCCC4	CHEMBL1765774	pKi=7.92
COCCCNc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247591	pIC50=7.92
COCCOCC#Cc1cc(cs1)c2n[nH]c3c2Cc4ccc(Cn5cncn5)cc34	CHEMBL223971	pIC50=7.92
COc1ccccc1Nc2nc(N)n(n2)c3ccccn3	CHEMBL1835741	pKi=7.92
CS(=O)(=O)CCN1CCC(CC1)c2ccc(NC(=O)c3nc(c[nH]3)C#N)c(c2)C4=CCCCC4	CHEMBL2158227	pIC50=7.92
Cc1ccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)cc1F	CHEMBL410664	pIC50=7.92
Cc1ccc(cc1NC(=O)Nc2cccc(c2)C(F)(F)F)C3=Nc4c(N)ncnc4NCC3	CHEMBL403706	pIC50=7.92
Cc1cccc(NC(=O)Nc2ccc(cc2)c3cccc4onc(N)c34)c1	CHEMBL410130	pIC50=7.92
O=C(NC1=CC(=CNC1=O)c2ccncc2)c3ccc(cc3)N4CCCCC4	CHEMBL1765097	pKi=7.92
Brc1cccc(NC(=O)Nc2ccc(Oc3ncnc4sccc34)cc2)c1	CHEMBL3628808	pIC50=7.96
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4ccc(Cl)cc4)c5ncc[nH]5)c3c2	CHEMBL2086760	pIC50=7.96
CNC(=O)c1cc(CNc2c(cnn2C)C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL247435	pIC50=7.96
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	CHEMBL475251	pKd=7.96
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=7.96
Cc1cccc(NC(=O)Nc2ccc(cc2)c3nsc4ncnc(N)c34)c1	CHEMBL376951	pIC50=7.96
FC(F)(F)Oc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL484883	pIC50=7.96
FC(F)(F)c1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL490408	pIC50=7.96
