COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	eluxadoline	pKi=8.76955128	pKi=8.76955128	pKi=8.76955128	pEC50=9.0
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=7.01772881	pKi=7.01772881	pKi=7.01772881
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N	dezocine	pEC50=7.42	pEC50=7.42	pEC50=7.42
CCOC(=O)C1(CCN(C)CC1)c2ccccc2	pethidine	pKi=6.04	pKi=6.04	pKi=6.04
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C	levorphanol	pKi=9.68	pKi=9.68	pKi=9.68	pKi=9.68
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pKi=5.8	pKi=5.8	pKi=5.8
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C	levallorphan	pKi=9.32	pKi=9.32	pKi=9.32	pKi=8.77
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O	hydromorphone	pKi=9.55	pKi=9.55	pKi=9.55	pKi=9.55
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC	hydrocodone	pKi=8.02	pKi=8.02	pKi=8.02	pKi=8.02
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC	codeine	pKi=6.14	pKi=6.14	pKi=6.14
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC	dihydrocodeine
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	methylnaltrexone	pKi=7.55	pKi=7.55	pKi=7.55
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	sufentanil	pEC50=8.13	pEC50=8.13	pEC50=8.13
CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	remifentanil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	oxymorphone	pKi=9.4437	pKi=9.4437	pKi=9.4437
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	oxycodone	pKi=7.7959	pKi=7.7959	pKi=7.7959
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	naloxone	pKi=8.81	pKi=8.81	pKi=8.81	pIC50=7.7
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	nalbuphine	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=7.62
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	morphine	pEC50=7.86	pEC50=7.86	pEC50=7.86	pKi=7.42
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	naltrexone	pKi=9.38	pKi=9.38	pKi=9.38	pIC50=7.81
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	methadone	pKi=8.78	pKi=8.78	pKi=8.78	pIC50=8.39
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	loperamide	pKi=8.8239	pKi=8.8239	pKi=8.8239	pIC50=8.84
CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2	levomethadyl acetate
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	fentanyl	pEC50=9.0014	pEC50=9.0014	pEC50=9.0014
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=7.1674	pIC50=7.1674	pIC50=7.1674
[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	dextropropoxyphene
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56	buprenorphine	pKi=8.29	pKi=8.29	pKi=8.29	pKi=8.82
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	anileridine
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	alvimopan	pKi=9.3979	pKi=9.3979	pKi=9.3979	pKi=9.33
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	alfentanil	pEC50=8.5	pEC50=8.5	pEC50=8.5
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C	tilidine	pEC50=5.1	pEC50=5.1	pEC50=5.1
CCC(=O)N(C(C)CN1CCCCC1)C1=CC=CC=N1	propiram
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1	meptazinol	pEC50=8.06	pEC50=8.06	pEC50=8.06
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	butorphanol	pKi=9.92	pKi=9.92	pKi=9.92	pKi=9.66
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C	nalmefene	pKd=9.53	pKd=9.53	pKd=9.53	pKi=9.04
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC	naloxegol
OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	difenoxin
[H][C@@]1(CCCC[C@H]1O)[C@@H](N(C)C)C1=CC(O)=CC=C1	ciramadol
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	acetylmethadol
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O	naldemedine
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)NCCO	CHEMBL38874	pKi=7.06
C[C@H]1C2Cc3cc(N)c(cc3[C@@]1(C)CCN2CC4CC4)C(=O)N	CHEMBL495462	pKi=7.06
C[C@H]1C2Cc3cc4ncnc(NCc5ccccc5)c4cc3[C@@]1(C)CCN2CC6CC6	CHEMBL468182	pKi=7.06
C[C@H]1CN2CCN(Cc3ccnc4ccccc34)C[C@H]2C[C@@]1(C)c5cccc(O)c5	CHEMBL373709	pKi=7.06
CC(C)(C)NC(=O)NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3	CHEMBL41245	pKi=7.07
CC(C)C1CCC(CC1)N2CCC(CC2)N3c4ccccc4CN(CCO)S3(=O)=O	CHEMBL364398	pKi=7.07
CCCN(C)C1CCc2ccc(O)cc2C1(C)C	CHEMBL186154	pKi=7.07
CCN(C(=O)C)c1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC6CC6)cc2s1	CHEMBL1766038	pKi=7.07
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O	CHEMBL387016	pKi=7.07
NC(=N)NCCCCC(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H]2CC[C@H]3CCC[C@H](N3C2=O)C(=O)N[C@H](CCCNC(=O)N)C(=O)N[C@H](Cc4ccc(Cl)cc4)C(=O)N	CHEMBL3144465	pKi=7.07
NC(=O)[C@@]1(Cc2ccc(F)cc2)C[C@H]3CC[C@@H](C1)N3C(c4ccccc4Cl)c5ccccc5Cl	CHEMBL3084526	pKi=7.07
CCC(=O)N(C1CCN(CCC(C#N)(c2ccccc2)c3ccccc3)CC1)c4ccccc4	CHEMBL3659474	pKi=7.08
CCC[C@@]12CCN(C)C[C@@H]1Oc3ccc(O)cc23	CHEMBL2386891	pKi=7.08
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCc4c[nH]c5ccccc45)c6ccccc6	CHEMBL66800	pKi=7.08
CN(C)C[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc3c(C)cc(O)cc3C	CHEMBL80464	pIC50=7.08
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@]2(Cc6cc(cnc46)c7ccc(Cl)cc7)OC(=O)c8ccccc8)c35	CHEMBL2179660	pKi=7.08
CNC[C@@H]1CCCC[C@@]1(OC)c2cccc(O)c2	CHEMBL407563	pIC50=7.08
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4occn4)c5ccccc35)C(C)C)c1	CHEMBL262062	pKi=7.08
O=C1NCN(c2ccccc2)C13CCN(Cc4cccc(Oc5ccccc5)c4)CC3	CHEMBL115280	pIC50=7.08
CC(C)N(CCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O)C(C)C	CHEMBL473280	pKi=7.09
CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN3CCC(CC3)c4c(C)cccc4C	CHEMBL2064160	pKi=7.09
CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN3CCC(CC3)c4ccccc4	CHEMBL2064157	pKi=7.09
C[C@@H]1[C@H]2c3cc(Nc4ccccc4)ccc3C[C@H](N1CC5CC5)c6ccc(Nc7ccccc7)cc26	CHEMBL3707103	pIC50=7.09
[3H]C([3H])([3H])Oc1ccccc1CNCCc2cc(OC)c(I)cc2OC([3H])([3H])[3H]	CHEMBL482496	pKi=7.09
CC[C@@]12CCN(C[C@H](O)c3ccccc3)C[C@@H]1Oc4ccc(O)cc24	CHEMBL566527	pKi=7.1
COc1ccc(CCNC[C@@H](O)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O)cc1OC	CHEMBL3394751	pIC50=7.1
COc1cccc(CNc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CCC6)c3c2)c1	CHEMBL2048761	pIC50=7.1
C[C@H]1CN(C)CC[C@@]1(C)c2cccc(O)c2	CHEMBL318723	pKi=7.1
C[C@H]1CN(CCC(=O)N[C@@H](Cc2ccc(cc2)c3ccccc3)C(=O)O)CC[C@@]1(C)c4cccc(O)c4	CHEMBL441899	pKi=7.1
O=C1Cc2ccccc2N1C3CCN(CC3)C4CC[C@H]5CCCc6cccc4c56	CHEMBL2387193	pKi=7.1
O[C@H](CNCc1cccs1)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O	CHEMBL3394748	pIC50=7.1
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)c7[nH]c8[C@@H]9Oc%10c(O)ccc%11C[C@H]%12N(CC%13CC%13)CC[C@@]9(c%10%11)[C@@]%12(O)Cc8c7C[C@@]36O	CHEMBL573214	pKi=7.1
Oc1ccc2O[C@H]3CN(CCCc4ccccc4)CC[C@@]3(CCCCc5ccccc5)c2c1	CHEMBL3409112	pKi=7.1
CNC(=O)CN1C(=O)N(C2CCN(CC2)C3CCC(CC3)C(C)(C)C)c4ccccc14	CHEMBL1087658	pKi=7.11
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4nocn4)c5ccccc35)C(C)C)c1	CHEMBL259048	pKi=7.11
Cc1ccc(cc1)c2cn(Cc3ccccc3)c4[C@@H]5Oc6c(O)ccc7CC8N(CC9CC9)CC[C@@]5(c67)[C@@]8(O)Cc24	CHEMBL356473	pKi=7.11
Clc1ccc2CC(CCc2c1)N3CCC4(CC3)N(CNC4=O)c5ccccc5	CHEMBL27093	pKi=7.11
CC1=C(C)N=C(CCNC(=O)[C@@H](N)Cc2c(C)cc(O)cc2C)C(=O)N1	CHEMBL236253	pKi=7.12
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCO)c4ccccc4	CHEMBL292332	pKi=7.12
CCN[C@]12Cc3c([nH]c4ccccc34)[C@@H]5Oc6c(O)ccc7CC1N(C)CC[C@@]25c67	CHEMBL2113383	pKi=7.12
CN(C)c1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CCCF)cc2s1	CHEMBL1766045	pKi=7.12
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4cnccn4)c5ccccc35)C(C)C)c1	CHEMBL259964	pKi=7.12
Cl.Oc1cccc(c1)[C@]23CCC[C@H](C2)N(C[C@H]4C[C@H]4c5ccccc5)CC3	CHEMBL1672187	pKi=7.12
Oc1cc2c(C[C@@H]3[C@@H]4CCCC[C@]24CCN3CC5CCC5)cc1CNCCCCCCNCc6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL569313	pKi=7.12
Oc1ccc2C[C@@]34CN(Cc5ccccc5)CC[C@@]3(Cc6nc7ccccc7cc6C4)c2c1	CHEMBL3287469	pKi=7.12
CC(=O)N1Cc2ccccc2CC1CN3CCC4(CC3)CCc5ccccc45	CHEMBL3787051	pKi=7.13
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H]2CC[C@H]3SC[C@H](N3C2=O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NC(Cc4ccc(Cl)cc4)C(=O)N	CHEMBL266609	pKi=7.13
CC(N1CCC2(CC1)N(CNC2=O)c3ccccc3)c4ccccc4	CHEMBL392893	pKi=7.13
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(NC(=O)OC)c4	CHEMBL574640	pKi=7.13
CCNC(=O)c1ccc(cc1)\C(=C/2\C[C@H]3CC[C@@H](C2)N3)\c4ccccc4	CHEMBL307525	pKi=7.13
CC[C@@H]1C[C@](C)([C@@H](C)CN1CCc2ccccc2)c3cccc(O)c3	CHEMBL371970	pKi=7.13
CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3ccc4CN(Cc4c3)S(=O)(=O)C	CHEMBL363718	pKi=7.13
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CC(=O)NCCO)c4ccccc34)C(C)C)c1	CHEMBL241155	pKi=7.13
C[C@H]1CN(CCC(=O)N(Cc2ccc(cc2)c3ccccc3)[C@@H](Cc4ccccc4)C(=O)O)CC[C@@]1(C)c5cccc(O)c5	CHEMBL270833	pKi=7.13
Cc1ccccc1C2(O)CCN(CC2)C(c3ccccc3)c4ccccc4	CHEMBL232273	pKi=7.13
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cc(F)c(F)cn5	CHEMBL3084544	pKi=7.13
OC(CCCCC(O)c1cc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2cc1O)c6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL567170	pKi=7.13
O[C@H]1CN(CCc2ccccc2)[C@H]3CCC[C@@]1(C3)c4cccc(O)c4	CHEMBL1951701	pKi=7.13
Oc1ccc(CNc2ccc3C[C@@H]4[C@@H]5CCCC[C@]5(CCN4CC6CCC6)c3c2)cc1	CHEMBL2048770	pIC50=7.13
CC(C)CCC(C)N1CCC(CC1)N2c3ccccc3CNS2(=O)=O	CHEMBL184381	pKi=7.14
CCN(CC)C(=O)c1ccc(cc1)\C(=C\2/C[C@H]3CC[C@@H](C2)N3CCc4ccccc4)\c5ccccc5	CHEMBL302801	pKi=7.14
COC(=O)[C@@H]1C[C@H](OC(=O)c2cccnc2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5	CHEMBL191014	pKi=7.14
C[C@H]1[C@@H]2CC[C@@H](CN2CC[C@@]1(C)c3cccc(O)c3)c4ccccc4	CHEMBL385392	pKi=7.14
Fc1cccc2C(CCCc12)N3CCC4(CC3)N(CNC4=O)c5ccccc5	CHEMBL240005	pKi=7.14
NCc1ccccc1C2(O)CCN(CC2)C(c3ccccc3)c4ccccc4Br	CHEMBL233536	pKi=7.14
NCc1ccccc1C2(O)CCN(CC2)C(c3ccccc3)c4ccccc4Cl	CHEMBL398794	pKi=7.14
Nc1nc2cc3c(C[C@@H]4[C@@H]5CCCC[C@]35CCN4CC6CC6)cc2s1	CHEMBL3759660	pEC50=7.14
Oc1ccc2O[C@H]3CN(CCCc4ccccc4)CC[C@@]3(CCCc5ccccc5)c2c1	CHEMBL3409103	pKi=7.14
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c4[nH]c7ccc(Br)cc67)c35	CHEMBL401094	pKi=7.15
CNC(=O)c1cccc(c1)[C@]2(C)CCN(CCc3ccccc3)C[C@@H]2C	CHEMBL136421	pKi=7.15
NC(=O)[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5cccnc5	CHEMBL3084559	pKi=7.15
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CCCCNC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](Cc4ccc(O)cc4)NC2=O	CHEMBL3763905	pIC50=7.15
CC(C)NCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL514489	pKi=7.16
CC1(C)CCC(N2CCC3(CC2)N(CN(CCN4CCCC4)C3=O)c5ccccc5)c6ccccc16	CHEMBL473898	pKi=7.16
CCCCCCCCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1	CHEMBL1081093	pKi=7.16
CNC(=O)CN1C(=O)N(C2CCN(CC2)[C@@H]3CC[C@@H](CC3)C(C)C)c4ccccc14	CHEMBL1080485	pKi=7.16
COC(=O)[C@@H]1C[C@H](OC(=O)c2ccc(OC)cc2)C(=O)[C@H]3[C@@]1(C)CC[C@H]4C(=O)O[C@@H](C[C@]34C)c5cocc5	CHEMBL260286	pKi=7.16
COCCNC1C(CCc2ccccc12)c3ccsc3	CHEMBL450500	pIC50=7.16
COCN1C(=O)N(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14	CHEMBL238833	pKi=7.16
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CS(=O)(=O)C)c4ccccc34)C(C)C)c1	CHEMBL241357	pKi=7.16
C[C@H]1CN(CC2CCCCC2)CC[C@@]1(C)c3cccc(c3)C(=O)N	CHEMBL140138	pKi=7.16
Cc1ccccc1CNC[C@H](O)CN2CN(c3ccccc3)C4(CCN(CCc5ccccc5c6cccs6)CC4)C2=O	CHEMBL3394749	pIC50=7.16
O=S(=O)(N1CCCC1)c2ccccc2c3ccc(CNC4CCOCC4)cc3	CHEMBL1818328	pKi=7.16
Oc1ccc(Cl)c2CC(CN3CCC4(CC3)CCc5ccccc45)NCc12	CHEMBL3785560	pKi=7.16
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(C)ccc4F	CHEMBL361576	pKi=7.17
CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN3CCC(CC3)c4ccccc4C	CHEMBL2064156	pKi=7.17
CNC(=O)CN1C(=O)N(C2CCN(Cc3cccc4ccccc34)CC2)c5ccccc15	CHEMBL1080507	pKi=7.17
COc1ccc2C[C@@H]3[C@@]45CC[C@](OC)([C@@H](COCc6ccc(Cl)c(Cl)c6)C4)[C@@H]7Oc1c2[C@]57CC[N+]3(C)CC8CC8	CHEMBL3678961	pKi=7.17
C[C@H]1CN(CCO)CCN1c2cc3[nH]c(SC(C)(C)C)nc3cc2Cl	CHEMBL495402	pIC50=7.17
C[C@H]1CN(CCc2ccccc2)CC[C@@]1(C)c3cccc(NC(=O)C)c3	CHEMBL138750	pKi=7.17
Cl.Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36OC(=O)c7cc8ccccc8cn7	CHEMBL3086761	pKi=7.17
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36OC(=O)c7cc8ccccc8cn7	CHEMBL516085	pKi=7.17
Oc1ccc2O[C@@H]3CN(CCc4ccccc4)[C@@H]5CCC[C@]3(C5)c2c1	CHEMBL1814704	pKi=7.17
C(CCCCCOc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)CCCCOc6ccc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7c6	CHEMBL151872	pKi=7.18
CCCCNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL474096	pKi=7.18
CCN(CC)C(=O)c1ccc(cc1)C2(CCN(CCc3ccccc3)CC2)c4cccc(O)c4	CHEMBL595472	pKi=7.18
CN1CC[C@]2(CCc3ccccc3)[C@H](C1)Oc4ccc(O)cc24	CHEMBL2386820	pKi=7.18
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)Cc6c4[nH]c7ccc(I)cc67)c35	CHEMBL427706	pKi=7.18
C[C@H]1CN(CCC(=O)N(C)[C@@H](Cc2ccccc2)C(=O)O)CC[C@@]1(C)c3cccc(O)c3	CHEMBL256834	pKi=7.18
C[C@H]1CN(CCC(=O)N(CCc2ccccc2)[C@@H](Cc3ccccc3)C(=O)O)CC[C@@]1(C)c4cccc(O)c4	CHEMBL403191	pKi=7.18
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]2CCCCNC(=O)CNC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CCCNC(=O)N)NC2=O	CHEMBL3764157	pIC50=7.18
O=S(=O)(N1CCCC1)c2ccccc2c3ccc(CN4C[C@@H]5CCC[C@H]4C5)cc3	CHEMBL1818234	pKi=7.18
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(C)ccc4C	CHEMBL183355	pKi=7.19
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(C)ccc4Cl	CHEMBL360326	pKi=7.19
CC(C)CNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3	CHEMBL1818341	pKi=7.19
CC1(C)CCC(N2CCC3(CC2)N(CN(CCNC4CCC4)C3=O)c5ccccc5)c6ccccc16	CHEMBL474092	pKi=7.19
CC1(CCCCCCC1)N2CCC(CC2)n3c(nc4ccccc34)c5cccc(c5)C(F)(F)F	CHEMBL519100	pKi=7.19
CCN(CCCCCCN(CC)Cc1cc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2cc1O)Cc6cc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7cc6O	CHEMBL566128	pKi=7.19
Cc1ccccc1C(N2C3CCC2CC(O)(C3)c4ccccc4)c5ccccc5C	CHEMBL513136	pKi=7.19
C(C[C@]1(CCOC2(CCCC2)C1)c3ccccn3)NCc4ccsc4	CHEMBL2443279	pEC50=7.2
CC(C)[C@@H](CN1CC[C@](C)([C@@H](C)C1)c2cccc(O)c2)NC(=O)[C@H]3Cc4ccc(OCCF)cc4CN3	CHEMBL3397595	pKi=7.2
CCN(CC)C(=O)c1ccc(cc1)C(=C2CCN(Cc3ccc(F)cc3)CC2)c4cccc(NC(=O)C)c4	CHEMBL1946020	pIC50=7.2
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)C(=O)O)c35	CHEMBL1330	pKi=7.2
N[C@@H](Cc1ccc(O)cc1)C(=O)N2C[C@@H]3C[C@H]2C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@H](Cc5ccccc5)C(=O)N3.OC(=O)C(F)(F)F	CHEMBL2171846	pKi=7.2
O=C(NC[C@@H]1Cc2ccccc2CN1C(=S)NC[C@H]3CCCN3Cc4ccc5ccccc5c4)Nc6ccccc6	CHEMBL416431	pKi=7.2
CC(C)C(CCN1CCC(CC1)n2c(O)nc3ccccc23)Oc4cc(C)ccc4[N+](=O)[O-]	CHEMBL182202	pKi=7.21
CCCCCCCNC(=O)c1ccc2[nH]c3[C@@H]4Oc5c(O)ccc6CC7N(CC8CC8)CC[C@@]4(c56)[C@@]7(O)Cc3c2c1	CHEMBL108024	pKi=7.21
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ccc(C)cc3)CC2)c4cccc(O)c4	CHEMBL569728	pKi=7.21
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CCO)c4ccccc34)C(C)C)c1	CHEMBL391518	pKi=7.21
C[C@@H]1C[C@@H]2C[C@H](C1)C[C@H](C2)N3[C@@H]4CCC[C@H]3C[C@H](C4)N5C(=O)C(=Nc6ccccc56)C(=O)O	CHEMBL3647962	pKi=7.21
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2CNC(=O)NC(C)(C)C	CHEMBL310842	pIC50=7.21
CC(C)CNCCN1CN(c2ccccc2)C3(CCN(CC3)C4CCC(C)(C)c5ccccc45)C1=O	CHEMBL473279	pKi=7.22
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4[nH]cnc4C)c5ccccc5	CHEMBL306463	pKi=7.22
CN1CC[C@]2(Cc3ccccc3)[C@H](C1)Oc4ccc(O)cc24	CHEMBL2386819	pKi=7.22
COCCN1C(=O)N(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c4ccccc14	CHEMBL239043	pKi=7.22
COCCNC(=O)C1(CC2CCC(C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccc5	CHEMBL466693	pKi=7.22
COc1ccc(CNc2ccc3C[C@@H]4[C@@H]5C=C[C@H](O)[C@@H]6Oc2c3[C@]56CCN4C)cc1	CHEMBL2048784	pKi=7.22
C[C@H](N(Cc1cccc(c1)C(=O)O)C(=O)[C@@H](N)Cc2c(C)cc(cc2C)C(=O)N)c3nc(c[nH]3)c4ccccc4	CHEMBL2159120	pEC50=7.22
C[C@H]1C2Cc3cc4nc(O)[nH]c4cc3[C@@]1(C)CCN2CC5CC5	CHEMBL515257	pKi=7.22
Clc1cccc2CCC(Cc12)N3CCC4(CC3)N(CN(CC(=O)c5ccccc5)C4=O)c6ccccc6	CHEMBL26483	pKi=7.22
OC(C(=O)O)c1ccccc1.Oc2ccc3C[C@H]4C5CCCC[C@@]5(CCN4CC6CCC6)c3c2	CHEMBL381117	pKi=7.22
C1C[C@H]2[C@H]3c4ccccc4C[C@H](N2C1)c5ccccc35	CHEMBL3707087	pIC50=7.23
