CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.68999958	pKi=9.68999958	pKi=9.68999958	pIC50=9.9
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=9.0	pKi=9.0	pKi=9.0	pKi=8.13
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.0	pKi=9.0	pKi=9.0
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	profenamine
OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1	cycrimine
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.6383	pEC50=7.6383	pEC50=7.6383
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pKi=9.6364	pKi=9.6364	pKi=9.6364	pIC50=9.26
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.31	pKi=9.31	pKi=9.31	pKi=8.7
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1	procyclidine	pKi=8.33724213	pKi=8.33724213	pKi=8.33724213
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.69999981	pKi=9.69999981	pKi=9.69999981
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.60000038	pKi=8.60000038	pKi=8.60000038
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.1079054	pKi=7.1079054	pKi=7.1079054	pKi=7.11
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.07883395	pKi=9.07883395	pKi=9.07883395	pIC50=8.46
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=8.89	pIC50=8.89	pIC50=8.89	pIC50=8.25	pIC50=8.89
CN1CCCC(CC2C3=CC=CC=C3SC3=C2C=CC=C3)C1	metixene
[Br-].OC(C(=O)O[C@H]1C[N+]2(Cc3ccccc3)CCC1CC2)(c4cccs4)c5cccs5	CHEMBL556634	pIC50=7.0
[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1	CHEMBL221753	pKi=7.0
CC(N1CCN(C)CC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL73410	pKi=7.02
CCOc1noc2CCCNCc12	CHEMBL69305	pEC50=7.02
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)C(=O)Cc5ccccc5	CHEMBL72787	pKi=7.02
CC#CCn1c(nc2C(=NN(Cc3nc(C)c4ccccc4n3)C(=O)c12)C)N5CCC[C@@H](N)C5	CHEMBL256121	pIC50=7.03
CCN1CC=C(C(C1)C(=O)OCCc2ccc(C)cc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL124173	pIC50=7.03
CN1CCC[C@H]1[C@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL524061	pKi=7.03
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(Cl)cc2)(c3ccc(Cl)cc3)c4ccc(Cl)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCNCC6	CHEMBL378872	pKi=7.03
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])[C@](O2)(C3CCCCC3)c4ccccc4	CHEMBL539121	pKi=7.03
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	CHEMBL415	pIC50=7.04
Cc1nccn1CC#CCOc2ccon2	CHEMBL1162116	pKi=7.04
NCCCC1CCN(CC1)C(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL66820	pKi=7.04
CN(CCc1ccccc1)C2CCN(CC2)c3nc4ccccc4n3Cc5ccc(F)cc5	CHEMBL559557	pKi=7.05
Clc1ccc(cc1)c2ccc(CCC(=O)Nc3ccc(CN4CCCCC4)cc3)cc2	CHEMBL3600974	pIC50=7.05
Cn1ccc(n1)c2ccc(Cn3cc(C(=O)N[C@H]4CCCC[C@@H]4O)c5ncccc35)cc2	CHEMBL3746377	pEC50=7.05
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)([C@H]2CC[C@H](O)C2)c3ccccc3)C	CHEMBL359220	pKi=7.06
C\C(=N/c1ccc2C[C@@H](O)[C@H](NC(=O)c3ccc(Br)cc3)c2c1)\NCc4ccccc4F	CHEMBL3618445	pEC50=7.06
CC(N1CCN(CC1)C2CCCCC2)c3ccc(cc3)S(=O)(=O)c4ccc(cc4)C(C)(C)C	CHEMBL73661	pKi=7.07
CCCCCOC(=O)C1CN(CC)CC=C1c2ccccc2.OC(=O)C(=O)O	CHEMBL116601	pIC50=7.07
CN(C)C1(CNCC=C2CCOCC2)COc3ccccc3OC1	CHEMBL394255	pKi=7.07
[Br-].C[N+](C)(C)CCOC(=O)C(c1ccccc1)c2ccccc2	CHEMBL2377384	pKi=7.07
CC1CCN(CC(=O)N2c3ccccc3C(=O)Nc4cccnc24)CC1	CHEMBL611476	pKi=7.08
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13	chlorpromazine	pIC50=7.08
CN(C)CCOC(c1ccccc1)c2ccccc2	CHEMBL657	pKi=7.08
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL2111540	pKi=7.08
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc2ccccc2OC	CHEMBL27673	pKi=7.08
Clc1ccc(cc1)c2ccc(cc2)C(=O)NCCc3ccc(CN4CCCC4)cc3	CHEMBL3600801	pIC50=7.08
OC(=O)C1=CN(Cc2ccc(cc2)c3ccccc3)c4cccc(F)c4C1=O	CHEMBL596507	pEC50=7.08
C1CN2CCC1C(=C2)c3cc4ccccc4s3	CHEMBL344327	pKi=7.09
CCCCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL21536	pIC50=7.09
CN(CCc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(Br)cc4)c3c2)\C	CHEMBL3618448	pEC50=7.09
CNCCC=C1c2ccccc2CCc3ccccc13	CHEMBL445	pIC50=7.09
Cl.N#Cc1cc(CO\N=C\2/CN3CCC2C3)on1	CHEMBL97581	pIC50=7.09
Cl.N#Cc1cc(CO\N=C\2/CN3CCC2CC3)on1	CHEMBL320194	pIC50=7.09
CN1CCCC(CN2c3ccccc3Sc4ccccc24)C1	CHEMBL395110	pIC50=7.1
CN1CCCC/C/1=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(Br)cc4)c3c2	CHEMBL3616504	pEC50=7.1
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL493979	pKi=7.1
Cl.Brc1cc(CO\N=C\2/CN3CCC2C3)on1	CHEMBL327626	pIC50=7.1
Cl.CN1CCC=C(C1)c2nsnc2OCCOCCOCCOCCO	CHEMBL544840	pKi=7.1
CC(N1CCN(CCO)CC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL70531	pKi=7.11
CCCCCCCCOC(=O)C1CN(CC)CC=C1c2ccccc2.OC(=O)C(=O)O	CHEMBL118241	pIC50=7.11
CCCCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL334245	pIC50=7.11
CN(C)CCC=C1c2ccccc2COc3ccccc13	CHEMBL1628227	pIC50=7.11
CN1CCC=C(C1)c2nsnc2OCCCC3CCN(CCCN4C(=O)CCc5ccccc45)CC3	CHEMBL3354066	pKi=7.11
O=C(CCCNC(=O)CC(c1ccccc1)(c2ccccc2)c3ccccc3)NCCC(=O)NCC4CCCN(CC5CCCCC5)C4	CHEMBL369062	pKi=7.11
CCCCOC(=O)C1CN(CC)CC=C1c2ccccc2.OC(=O)C(=O)O	CHEMBL332181	pIC50=7.12
CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccccc2	CHEMBL73234	pKi=7.12
[Br-].CN([C@H]1C[N+]2(CCCn3cccc3)CCC1CC2)C(=O)C4c5ccccc5Oc6ccccc46	CHEMBL3401655	pIC50=7.12
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)([C@H]2CC[C@H](F)C2)c3ccccc3)C	CHEMBL343644	pKi=7.13
CCCCCCSc1nccnc1O[C@@H]2CN3CCC2C3	CHEMBL293345	pKi=7.13
CCN(CC)CCOCCOC(=O)C1(CCCC1)c2ccc(Cl)cc2	CHEMBL72219	pKi=7.13
CCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL73245	pKi=7.13
CN1CCC[C@@H]1[C@@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL523518	pKi=7.13
[Br-].C[N+](C)(CCCCCCNC(=O)C1=CN(Cc2ccccc2)c3cc(Br)ccc3C1=O)CC#CCOC4=NOCC4	CHEMBL3414842	pKd=7.13
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(C#N)N3CCN(CC3)C4CCCCC4	CHEMBL71971	pKi=7.14
Cl.Brc1cc(CO\N=C\2/CN3CCC2CC3)on1	CHEMBL95983	pIC50=7.14
O[C@@]([C@@H]1CCC(F)(F)C1)(C(=O)NC2CCN(Cc3cocc3)CC2)c4ccccc4	CHEMBL147695	pKi=7.14
[Br-].C[N+](C)(CCCCNC(=O)C1=CN(Cc2ccccc2)c3cc(Cl)c(F)cc3C1=O)CC#CCOC4=NOCC4	CHEMBL3414840	pKd=7.14
Cn1ncc2cc(Cn3cc(C(=O)N[C@H]4COCC[C@@H]4O)c5ncccc35)ccc12	CHEMBL3608418	pEC50=7.15
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CCCC7)CC6	CHEMBL214898	pKi=7.15
CCN1CCC(=C(C1)C(=O)OCCCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL333125	pIC50=7.16
CCOC(=O)N(CC)CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1	CHEMBL166385	pKi=7.16
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(=O)C3CCN(CC3)C4CCCCC4	CHEMBL2115127	pKi=7.16
C[N+]1=C(CCC(=O)NCCCCCC(=O)NCCCCN2CCN(CC(=O)N3c4ccccc4C(=O)Nc5cccnc35)CC2)C=C/C/1=C/c6ccc(c7cccs7)n6[BH-](F)F	CHEMBL365702	pKi=7.16
F[B-]1(F)[N+]2=C(C=CC2=Cc3ccc(CCC(=O)NCCCCCC(=O)NCCCCN4CCN(CC(=O)N5c6ccccc6C(=O)Nc7cccnc57)CC4)n13)c8cccs8	CHEMBL198982	pKi=7.16
OC(C1CCCC1)(C(=O)NC2CCN(CC3CCCCCCC3)CC2)c4ccccc4	CHEMBL146291	pKi=7.16
CCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL324712	pIC50=7.17
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1)C(=O)c5cccc(I)c5	CHEMBL168145	pKi=7.17
CCN(Cc1ccncc1)C(=O)C(CO)c2ccccc2	CHEMBL1200604	pKi=7.17
COc1ccc(cc1)S(=O)(=O)c2ccc(cc2)C(=C)C3CCN(CC3)C4CCN(CC4)C(=O)C5CC5	CHEMBL74117	pKi=7.17
C[C@H]1CCC[C@H](CC[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1	CHEMBL427145	pKi=7.17
C[C@H]1CCC[C@H](C\C=C/2\[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL182761	pKi=7.18
Cl.CCN1CCC(=C(C1)C(=O)OCc2ccccc2)c3ccccc3	CHEMBL543177	pIC50=7.18
[I-].CC[N+](CC)(CC)CCOC(=O)C(c1ccccc1)c2ccccc2	CHEMBL2377383	pKi=7.18
CCN(CC)CCCOC(=O)N1c2ccccc2Sc3ccccc13	CHEMBL519609	pKi=7.19
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	CHEMBL1172	pKi=7.19
O[C@@H]1C[C@H](N(C1)C(=O)CC(c2ccc(F)cc2)(c3ccc(F)cc3)c4ccc(F)cc4)C(=O)N5CCC[C@@H]5C(=O)NCC6CCN(CC7CC7)CC6	CHEMBL378772	pKi=7.19
O[C@H]1COCC[C@@H]1NC(=O)c2cn(Cc3ccc(cc3)c4cc[nH]n4)c5cccnc25	CHEMBL3747781	pEC50=7.19
CCCCCOC(=O)C1=C(CCN(CC)C1)c2ccccc2.OC(=O)C(=O)O	CHEMBL340561	pIC50=7.2
CO\N=C(/C#N)\[C@H]1CN2CCC1CC2	CHEMBL134641	pEC50=7.2
COc1nsc(OCCCOCCCOCCCOc2nsnc2c3cccnc3)n1	CHEMBL219118	pKi=7.2
Cl.COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL553058	pEC50=7.2
Clc1ccc(cc1Cl)C2(CCCCC2)C(=O)OCOCCN3CCCC3	CHEMBL73017	pKi=7.2
OC(=O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N3CCc4ccccc4[C@@H]3c5ccccc5	CHEMBL1200803	pIC50=7.2
O[C@H]1COCC[C@@H]1NC(=O)c2cn(Cc3ccc(cc3)n4cccn4)c5cccnc25	CHEMBL3747166	pEC50=7.2
[Br-].C[N+](C)(CCCCNC(=O)C1=CN(Cc2ccccc2)c3cc(Br)ccc3C1=O)CC#CCOC4=NOCC4	CHEMBL3414839	pEC50=7.2
CCCCCCOC(=O)[C@H]1CN(CC)CC[C@H]1c2ccccc2.OC(=O)C(=O)O	CHEMBL340780	pIC50=7.21
CCN1CC[C@H]([C@@H](C1)C(=O)OCCc2ccccc2)c3ccccc3.OC(=O)C(=O)O	CHEMBL2112589	pIC50=7.21
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)([C@H]2CC[C@@H](F)C2)c3ccccc3)C	CHEMBL146249	pKi=7.22
CCC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL305607	pKi=7.22
CCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1	CHEMBL3354065	pEC50=7.22
CCN1CCC(=C(C1)C(=O)OCc2ccc3OCOc3c2)c4ccccc4	CHEMBL2312378	pKi=7.22
CC[C@@H]1SC2(CCNCC2)N(CCCCCCCCOc3ccc4cc(CN5C=C(C(=O)O)C(=O)c6cccc(F)c56)ccc4c3)C1=O	CHEMBL3414847	pEC50=7.22
COC(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL307234	pKi=7.22
Clc1ccc2Nc3ccccc3C(=Nc2c1)N4CCNCC4	CHEMBL845	pKi=7.22
C1CN2CCC1C(C2)C3Cc4ccccc4O3	CHEMBL343236	pKi=7.23
CCN(CCCCC1CCN(CC(=O)N2c3ccccc3NC(=O)c4ccccc24)CC1)C(=O)c5ccc(F)cc5	CHEMBL353140	pKi=7.23
CCOC(=O)CCCCOc1nsnc1C2=CCCN(C)C2	CHEMBL405125	pIC50=7.23
CN1[C@@H]2CC[C@H]1C[C@@H](C2)NC(c3ccc(F)cc3)c4ccc(F)cc4	CHEMBL3085019	pKi=7.23
Cl.CCN1CC=C(C(C1)C(=O)OCCCc2ccccc2)c3ccccc3	CHEMBL540316	pIC50=7.23
[Br-].C[N+](C)(CCCCCCNC(=O)C1=CN(Cc2ccccc2)c3ccc(F)cc3C1=O)CC#CCOC4=NOCC4	CHEMBL3414844	pEC50=7.23
C1CN2CCC1C(C2)c3oc4ccccc4c3	CHEMBL144693	pKi=7.24
CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)([C@H]2CCC(F)(F)C2)c3ccccc3)C	CHEMBL146351	pKi=7.24
CC(N1CCNCC1)c2ccc(cc2)S(=O)(=O)c3ccccc3	CHEMBL71088	pKi=7.24
CCCCS(=O)(=O)N1CCC(CC1)N2CCC(CC2)C(=C)c3ccc(cc3)S(=O)(=O)c4ccc(OC)cc4	CHEMBL72363	pKi=7.24
CN(C)C1(CNCCC2CCOCC2)COc3ccccc3OC1	CHEMBL435353	pKi=7.24
Cl.Clc1cc(CO\N=C\2/CN3CCC2CC3)on1	CHEMBL99310	pIC50=7.24
[Br-].C[N+](C)(CCCCNC(=O)C1=CN(Cc2ccccc2)c3c(F)cccc3C1=O)CC#CCOC4=NOCC4	CHEMBL3414838	pEC50=7.24
C[C@@H]1O[C@H](C[N+](C)(C)C)C[C@H]1O	CHEMBL12587	pKi=7.25
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])[C@@](O2)(C3CCCCC3)c4ccccc4	CHEMBL554916	pKi=7.25
Cn1ccc(n1)c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@H]4O)c5ncccc35)cc2	CHEMBL3747016	pEC50=7.26
F[B-]1(F)[N+]2=C(CCC(=O)NCCCCCC(=O)NCCCCCC(=O)NCCCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)C=CC2=Cc7ccc(c8cccs8)n17	CHEMBL2368391	pKi=7.26
NCC1CCC(CC1)NC(=O)[C@@](O)([C@@H]2CCC(F)(F)C2)c3ccccc3	CHEMBL71799	pKi=7.26
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)N(C)CCCCCC(=O)NCCOCCOCCN5CCN(CC(=O)N6c7ccccc7C(=O)Nc8cccnc68)CC5	CHEMBL405526	pKi=7.27
CCN(CC)c1ccc2C(=C3C=CC(=[N+](CC)CC)C=C3Oc2c1)c4ccc(cc4S(=O)(=O)[O-])S(=O)(=O)NCCCCCC(=O)NCCOCCOCCN5CCN(CC(=O)N6c7ccccc7C(=O)Nc8cccnc68)CC5	CHEMBL220095	pKi=7.27
CCN1CC=C(C(C1)C(=O)OCC2CCCCC2)c3ccccc3.OC(=O)C(=O)O	CHEMBL330999	pIC50=7.27
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccc(OS(=O)(=O)C(F)(F)F)cc24	CHEMBL70319	pIC50=7.27
[Br-].O=C(N[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c4cccs4)c5cccs5	CHEMBL3401652	pIC50=7.27
[I-].C[N+]1(C)CCC[C@@H]1[C@@H]2C[S+]([O-])C(O2)(c3ccccc3)c4ccccc4	CHEMBL556390	pKi=7.27
CCCOc1nsnc1C2=CCCN(C)C2	CHEMBL303922	pIC50=7.28
CN(C)C1(CNCCC2CCSCC2)COc3ccccc3OC1	CHEMBL233201	pKi=7.28
CN(C)CCC1=C(c2ccccc2C1)C(C)(C)c3ccccn3	CHEMBL423831	pKi=7.28
COc1ccc(cc1)[S+]([O-])c2ccc(cc2)C(C3CCCCC3)N4CCN(CC4)C5CCCCC5	CHEMBL421304	pKi=7.28
C\C(=N/c1ccc2C[C@@H](O)[C@H](NC(=O)c3ccc(Br)cc3)c2c1)\Nc4ccc(F)cc4	CHEMBL3618436	pEC50=7.29
C1CN2CCC1C(=C3c4ccccc4c5ccccc35)C2	CHEMBL273586	pKi=7.3
CN1C(=O)N(CC(=O)c2ccccc2)C(=O)c3c1nc(N4CCC[C@H](N)C4)n3CC=C(C)C	CHEMBL237067	pIC50=7.3
CN1[C@@H]2CC[C@H]1C[C@H](C2)NC(c3ccc(Cl)cc3)c4ccc(Cl)cc4	CHEMBL3085024	pKi=7.3
COc1nsnc1OCCOCCOCCOCCOc2nsnc2C3=CCCN(C)C3	CHEMBL216927	pKi=7.3
Cc1cc(NCCN2C3CCCC2CC3)nnc1c4ccccc4	CHEMBL25564	pKi=7.3
Cl.CN1CCC=C(C1)c2nsnc2OCCCCCCCCCCCCO	CHEMBL545077	pKi=7.3
CN(Cc1ccc(F)cc1)\C(=N\c2ccc3C[C@@H](O)[C@H](NC(=O)c4ccc(C)cc4)c3c2)\C	CHEMBL3616499	pEC50=7.31
C[C@H]1CCC[C@H](\C=C\[C@@H]2[C@H]3CCCC[C@@H]3C[C@H]4[C@@H]2[C@H](C)OC4=O)N1C	CHEMBL277642	pKi=7.32
C\C(=N/c1ccc2C[C@@H](O)[C@H](NC(=O)c3ccc(Br)cc3)c2c1)\NCc4cccc(F)c4	CHEMBL3618444	pEC50=7.32
Cn1cc(cn1)c2ccc(Cn3cc(C(=O)N[C@H]4CCOC[C@@]4(C)O)c5ncccc35)c(F)c2	CHEMBL3608416	pEC50=7.32
[I-].C[N+]1(C)CCC[C@@H]1c2oc(cc2)[C@](O)(C3CCCCC3)c4ccccc4	CHEMBL568775	pKi=7.32
CN(C)[C@H]1CCCC[C@@H]1N(C)CC(=O)N2c3ccccc3NC(=O)c4ccccc24.OC(=O)C(=O)O.OC(=O)C(=O)O	CHEMBL2021477	pKi=7.34
CN1C(=O)N(C)c2ncn(CCCN3CCC(CC3)C(c4ccccc4)c5ccccc5)c2C1=O.OC(=O)\C=C\C(=O)O	CHEMBL338611	pIC50=7.34
F[B-]1(F)[N+]2=C(CCC(=O)NCCOCCOCCN3CCN(CC(=O)N4c5ccccc5C(=O)Nc6cccnc46)CC3)C=CC2=Cc7ccc(c8cccs8)n17	CHEMBL2368390	pKi=7.34
