CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.6	pKi=8.7	pKi=7.6	pKi=8.7	pKi=7.6	pKi=8.7	pKi=7.6
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKd=6.0
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4F)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL233019	pKi=6.15
NS(=O)(=O)C(F)(F)c1ccccc1Br	CHEMBL199493	pKi=6.15
NS(=O)(=O)Oc1ccc2C=C(CC3CCCCCC3)S(=O)(=O)c2c1	CHEMBL476937	pKi=6.17
NS(=O)(=O)c1ccc(Nc2nc(F)nc(NCCO)n2)cc1	CHEMBL2443315	pKi=6.17
COC(=O)CNc1nc(F)nc(NCCc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL2443317	pKi=6.19
NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=6.2
NCCCCCCN	CHEMBL303004	pKi=6.22
OC1CS(=O)(=O)Oc2cc(OCc3ccccc3)ccc12	CHEMBL2407303	pKi=6.23
CS(=O)(=O)Oc1ccc2CCS(=O)(=O)Oc2c1	CHEMBL2407307	pKi=6.29
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl	furosemide	pKi=6.3
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4ncccc4c23	CHEMBL2179305	pKi=6.32
NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NCCO)n2)cc1	CHEMBL1738787	pKi=6.35
NS(=O)(=O)c1nnc(NC(=O)C23CC4CC(CC(C4)C2)C3)s1	CHEMBL1209038	pKi=6.35
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4cc(Cl)ccc4c23	CHEMBL2179307	pKi=6.36
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(C(=O)c5ccccc45)c6ccc(cc6)S(=O)(=O)N)N(CC)CC)c1	CHEMBL1822699	pKi=6.38
O=C1Nc2ccccc2C=C1	CHEMBL186422	pKi=6.39
NS(=O)(=O)c1nnc(NC(=O)CC23CC4CC(CC(C4)C2)C3)s1	CHEMBL1209039	pKi=6.4
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)NCc2ccccc2)cc1	CHEMBL3360589	pKi=6.44
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(C(=O)c5ccccc45)c6cccc(c6)S(=O)(=O)N)N(CC)CC)c1	CHEMBL1822700	pKi=6.46
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)Nc2ccccc2)cc1	CHEMBL3360587	pKi=6.46
NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1F	CHEMBL2333416	pKd=6.48
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)NCc2ccccc2)cc1	CHEMBL3360588	pKi=6.48
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4cc(ccc4c23)C(F)(F)F	CHEMBL2179306	pKi=6.49
Oc1ccc2CCS(=O)(=O)Oc2c1	CHEMBL2407306	pKi=6.49
NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO	CHEMBL2333417	pKd=6.54
Clc1ccc(CC(=O)Oc2ccc3CCS(=O)(=O)Oc3c2)cc1	CHEMBL2407314	pKi=6.69
Nc1ccc(cc1)S(=O)(=O)NCc2ccc(cc2)S(=O)(=O)N	CHEMBL266026	pKi=6.75
CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O	sulpiride	pKi=6.76
NS(=O)(=O)C(F)(F)c1cccc(Br)c1	CHEMBL200673	pKi=6.8
NS(=O)(=O)CCNC(=O)\C(=N\O)\Cc1ccc(O)c(Br)c1	CHEMBL3586274	pKi=6.81
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)Nc2ccccc2)cc1	CHEMBL3360586	pKi=6.81
NS(=O)(=O)C(F)(F)c1ccc(cc1)[N+](=O)[O-]	CHEMBL370159	pKi=6.82
NS(=O)(=O)c1ccc(NC(=O)Nc2cccc(c2)[N+](=O)[O-])cc1	CHEMBL1614844	pKi=6.84
Brc1ccccc1CC(=O)Oc2ccc3CCS(=O)(=O)Oc3c2	CHEMBL2407315	pKi=6.85
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)NCCc2ccccc2)cc1	CHEMBL3360590	pKi=6.85
C[C@]12CC[C@H]3[C@@H](CCc4cc(ccc34)C(F)(F)S(=O)(=O)N)[C@@H]1CCC2=O	CHEMBL1628004	pKi=6.89
Cc1ccc(cc1)C(F)(F)S(=O)(=O)N	CHEMBL199464	pKi=6.89
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4cccc(c4)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL232617	pKi=6.91
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)Nc2ccc(cc2)[N+](=O)[O-])cc1	CHEMBL3360591	pKi=6.91
Nc1ccc(cc1)S(=O)(=O)NCCc2ccc(cc2)S(=O)(=O)N	CHEMBL7146	pKi=6.92
Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ccc(cc2)S(=O)(=O)N	CHEMBL78755	pKi=7.02
COc1ccc2CCS(=O)(=O)Oc2c1	CHEMBL2407312	pKi=7.04
CC1(C)OB(OC1(C)C)c2ccc(NS(=O)(=O)N)cc2	CHEMBL190447	pKi=7.06
Cc1cc(C)[n+](CCc2ccc(cc2)S(=O)(=O)N)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL352535	pKi=7.06
NS(=O)(=O)c1ccc(NC(=O)c2ccccc2S)cc1	CHEMBL386049	pKi=7.1
NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23	CHEMBL77517	pKi=7.1
NS(=O)(=O)c1ccc2[nH]c(nc2c1)c3cscn3	CHEMBL455271	pKi=7.14
CC1(C)C2CC[C@@]1(CS(=O)(=O)Nc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683467	pKi=7.16
CC1(C)C2CC[C@]1(CS(=O)(=O)NCCc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683470	pKi=7.19
CN1N=C(S/C/1=N/C(=O)C)S(=O)(=O)N	CHEMBL19	pKi=7.19
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(NCC(=O)O)n2)cc1	CHEMBL189526	pKi=7.19
[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate	pKi=7.2
NS(=O)(=O)c1ccc(cc1)N=[N+]=[N-]	CHEMBL222837	pKi=7.25
NS(=O)(=O)c1nc2ccc(O)cc2s1	CHEMBL6685	pKi=7.27
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N	CHEMBL220491	pKi=7.3
CC1(C)C2CC[C@@]1(CS(=O)(=O)Nc3cccc(c3)S(=O)(=O)N)C(=O)C2	CHEMBL1683473	pKi=7.31
O\N=C\1/Oc2ccccc2C=C1	CHEMBL1956579	pKi=7.31
NCCNc1cccc2ccccc12	CHEMBL1214195	pKi=7.32
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NCC(=O)O)n2)cc1	CHEMBL191045	pKi=7.32
CN(C)CCN(C)CCN(C)CCN(C)C	CHEMBL1214194	pKi=7.33
NCCCCCN	CHEMBL119296	pKi=7.36
NS(=O)(=O)c1nnc(s1)c2ccccc2Cl	CHEMBL360356	pKi=7.37
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N	CHEMBL218490	pKi=7.38
NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1	CHEMBL73962	pKi=7.43
CC1=CC(=C\C(=N/O)\O1)C	CHEMBL1956578	pKi=7.44
CC1(C)C2CC[C@]1(CS(=O)(=O)Nc3cccc(c3)S(=O)(=O)N)C(=O)C2	CHEMBL1683472	pKi=7.45
Nc1ccc(cc1)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL268439	pKi=7.47
CC1(C)C2CC[C@@]1(CS(=O)(=O)NCCc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683471	pKi=7.48
CC1(C)O[C@@H]2CO[C@@]3(CNS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL283695	pKi=7.5
CC1(C)C2CC[C@@]1(CS(=O)(=O)NCc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683469	pKi=7.56
CN1N=C(S/C/1=N\S(=O)(=O)C[C@]23CCC(CC2=O)C3(C)C)S(=O)(=O)N	CHEMBL1683475	pKi=7.68
Nc1c(F)cc(cc1Cl)S(=O)(=O)Nc2nnc(s2)S(=O)(=O)N	CHEMBL71611	pKi=7.68
OS(=N)(=O)Cc1noc2ccccc12	CHEMBL750	pKd=7.69
Cc1cccc(c1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL469221	pKi=7.71
Cc1cc(ccc1F)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL467979	pKi=7.72
NS(=O)(=O)c1ccc(cc1)n2cc(nn2)c3ccccc3	CHEMBL513184	pKi=7.75
CC1(C)C2CC[C@]1(CS(=O)(=O)Nc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683466	pKi=7.77
COc1ccc(c(C)c1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL512809	pKi=7.77
NS(=O)(=O)c1ccc(cc1)n2cc(nn2)c3ccccc3C(F)(F)F	CHEMBL468839	pKi=7.77
CC1(C)C2CC[C@]1(CS(=O)(=O)NCc3ccc(cc3)S(=O)(=O)N)C(=O)C2	CHEMBL1683468	pKi=7.78
NS(=O)(=O)c1ccc(cc1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL469064	pKi=7.82
NS(=O)(=O)c1ccc(cc1)n2cc(nn2)c3ccc(F)cc3	CHEMBL468367	pKi=7.85
Cc1ccc(cc1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL469220	pKi=7.89
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)cc1	CHEMBL574782	pKi=7.89
COc1ccc(cc1)c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL513185	pKi=7.98
NS(=O)(=O)c1ccc(CCNC(=O)Cc2cccs2)cc1	CHEMBL583171	pKi=7.99
Cc1ccccc1c2cn(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL445517	pKi=8.03
NS(=O)(=O)c1ccc(CNC(=O)Cc2cccs2)cc1	CHEMBL574779	pKi=8.04
NS(=O)(=O)c1ccc(CNC(=O)Cc2ccccc2)cc1	CHEMBL574783	pKi=8.07
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)c(F)c1	CHEMBL575660	pKi=8.08
NS(=O)(=O)c1nnc(NC(=O)Cc2ccccc2)s1	CHEMBL582841	pKi=8.08
NS(=O)(=O)c1ccc(CCNC(=O)Cc2ccccc2)cc1	CHEMBL573859	pKi=8.09
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)c(Cl)c1	CHEMBL583971	pKi=8.09
NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)c(Cl)c1	CHEMBL573335	pKi=8.11
NS(=O)(=O)c1ccc(CCNC(=O)Cc2ccncc2)cc1	CHEMBL573381	pKi=8.12
NS(=O)(=O)c1nnc(NC(=O)Cc2cccs2)s1	CHEMBL574780	pKi=8.12
NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)c(Br)c1	CHEMBL584387	pKi=8.13
NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1	CHEMBL573127	pKi=8.14
NS(=O)(=O)c1ccc(NC(=O)Cc2ccncc2)cc1	CHEMBL574245	pKi=8.14
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccc2)c(Br)c1	CHEMBL574021	pKi=8.15
NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)c(F)c1	CHEMBL574246	pKi=8.16
NS(=O)(=O)c1ccc(NC(=O)Cc2ccccn2)cc1	CHEMBL582965	pKi=8.17
CN1N=C(S/C/1=N\S(=O)(=O)C[C@@]23CCC(CC2=O)C3(C)C)S(=O)(=O)N	CHEMBL1683474	pKi=8.23
