[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC	tacrolimus	pKd=9.398	pKd=9.398	pKd=9.398	pIC50=6.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(O)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	sirolimus	pKd=8.96	pKd=8.96	pKd=8.96	pIC50=8.8
[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC	pimecrolimus	pKd=9.0	pKd=9.0	pKd=9.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OCCO)[C@@H](C1)OC)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	everolimus	pIC50=8.25964	pIC50=8.25964	pIC50=8.25964
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OC(=O)C(C)(CO)CO)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	temsirolimus
CCCC1N(C)C(=O)C[C@H](C)C[C@@H](CCSCC(=O)C(=O)N2CCC[C@H](C2)C(=O)O[C@H](CCc3cccnc3)[C@H](C)CCC1=O)OC	CHEMBL430805	pKd=6.19
CCc1ccc(cc1)S(=O)(=O)N2CCCCC2C(=O)NCCCc3ccccc3	CHEMBL417492	pKi=6.19
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5cc(OC)c(OC)c(OC)c5)C(=O)N3CCc2c1	CHEMBL380882	pKi=6.19
COc1cc(OC)cc(c1)[C@H](C2CCCCC2)C(=O)N3CCCC[C@H]3C(=O)O[C@H](CCc4ccc(OC)c(OC)c4)c5cccc(OCC(=O)O)c5	CHEMBL3623613	pKi=6.22
COc1ccc(cc1Cl)S(=O)(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(OC)c(OC)c3)c4cccc(OCC(=O)O)c4	CHEMBL2058237	pIC50=6.22
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccc(Cl)cc5Cl)C3=O)c2c(OC)c1	CHEMBL383738	pKi=6.23
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccccc5Cl)C3=O)c2c(OC)c1	CHEMBL202066	pKi=6.23
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)[C@H](C)c3ccccc3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL406996	pIC50=6.23
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5cc(F)c(F)cc5F)C(=O)N3CCc2c1	CHEMBL202592	pKi=6.23
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5ccc(nc5)N6CCOCC6)C(=O)N3CCc2c1	CHEMBL202171	pKi=6.23
CC1(CNC(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3)CCCC1	CHEMBL57674	pKi=6.24
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(cc5)C(F)(F)F)[C@@H](C4)OC)\C	CHEMBL274090	pIC50=6.24
CC[C@H]1CCCC[C@@]1(O)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(OC)c(OC)c3)c4cccc(OCC(=O)O)c4	CHEMBL2059240	pIC50=6.24
CC1(CNC(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3)CCCCC1	CHEMBL294146	pKi=6.26
CCC(C)(C)C(=O)C(=O)N1CC=CC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3	CHEMBL2058802	pIC50=6.26
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)\C=C\C1=O)\C(=C\[C@@H]4CC[C@@H](O)[C@@H](C4)OC)\C	CHEMBL139966	pIC50=6.28
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCCCC\N=C(/S)\N=C\3/C=CC(=C4c5ccc(O)cc5Oc6cc(O)ccc46)C(=C3)C(=O)O	CHEMBL155512	pKi=6.28
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)CCCC[C@H]3CO)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2059036	pIC50=6.29
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(Cl)c(Cl)c5)[C@@H](C4)OC)\C	CHEMBL411841	pIC50=6.3
COc1cc2CCN3C(=O)[C@@H]4CCCC(N4C(=O)C(=O)c5cc(OC)c(OC)c(OC)c5)[C@@]3(C)c2c(OC)c1	CHEMBL2348604	pKi=6.3
Cc1ccc(cc1)S(=O)(=O)N2CCCCC2C(=O)OCCCCc3ccccc3	CHEMBL357091	pKi=6.3
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccccc3)cc(OC)c1	CHEMBL33675	pKi=6.32
CC[C@@H]1CCCC[C@@]1(O)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(OC)c(OC)c3)c4cccc(OCCN5CCOCC5)c4	CHEMBL2059035	pIC50=6.33
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5cccc(c5)C(F)(F)F)[C@@H](C4)OC)\C	CHEMBL262844	pIC50=6.33
O=C(OCCCCc1ccccc1)C2CCCCN2S(=O)(=O)c3ccccc3	CHEMBL146527	pKi=6.33
O=C(OCCCCc1ccccc1)[C@@H]2CCCN2C(=O)NC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4	CHEMBL284069	pKi=6.33
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OC\C=C\c2cc(OC)ccc2OC	CHEMBL356461	pKi=6.35
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(Cl)c(NC(=O)C)c(Cl)c3)c4cccc(OCCN5CCOCC5)c4)cc1OC	CHEMBL2058797	pIC50=6.35
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)NCCC(c2ccccc2)c3ccccc3	CHEMBL118978	pKi=6.38
Clc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc1	CHEMBL285917	pKi=6.38
CCC[C@H](\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]1O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H](C(C)C)\C(=C\[C@@H]3CC[C@@H](O)[C@@H](C3)OC)\C)C(=O)C	CHEMBL418618	pKi=6.4
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccc(C)cc3)cc(OC)c1	CHEMBL417496	pKi=6.4
C[C@@H]1CCC(=O)C(CC=C)\C=C(/C)\CCOC(=O)OC(=O)C2CC[C@@H](O2)C(=O)C(=O)C(=O)OC(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]1CCc4cccnc4	CHEMBL82458	pKd=6.4
C[C@H]1C\C(=C\[C@@H](CC=C)C(=O)OCCCOC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)CCCOC1=O)\C	CHEMBL116062	pKi=6.4
COc1cc(CCCOC(=O)[C@@H]2CCCCN2C(=O)NCC(C)(C)C)cc(OC)c1OC	CHEMBL59256	pKi=6.41
COc1cccc(CCCOC(=O)[C@@H]2CCCCN2C(=O)NCC(C)(C)C)c1	CHEMBL293519	pKi=6.43
COc1ccc2C3C4CCCC(N4S(=O)(=O)N5CCCCC5)C(=O)N3CCc2c1	CHEMBL372099	pKi=6.44
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5ccc(Cl)nc5)C(=O)N3CCc2c1	CHEMBL201963	pKi=6.44
COc1cc2CCN3C(C4CCCC(N4C(=O)N(c5ccccc5OC)c6ccccc6OC)C3=O)c2c(OC)c1	CHEMBL436478	pKi=6.45
CC(C)(C)CNC(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)c3ccccc3	CHEMBL301025	pKi=6.46
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)c4ocnc4[C@H](C)C[C@H](OC)[C@H](O)[C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)CC(O)[C@H]2C)\C)OC	CHEMBL407550	pKd=6.46
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)C(C)(C)\C=C\C(=O)C3CCCCC3	CHEMBL321670	pKi=6.47
CC[C@H]1CCCC[C@]1(O)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(OC)c(OC)c3)c4cccc(OCC(=O)O)c4	CHEMBL2059034	pIC50=6.47
COc1cc2CCN3C(C4CCCC(N4C(=O)N(c5ccccc5C)c6ccccc6C)C3=O)c2c(OC)c1	CHEMBL202000	pKi=6.48
Cc1ccc(cc1)S(=O)(=O)N2CCCCC2C(=O)OC(CCCc3ccccc3)CCCc4ccccc4	CHEMBL149011	pKi=6.48
CC[C@@H]1CCCC[C@@]1(O)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc3ccc(OC)c(OC)c3)c4cccc(OCC(=O)O)c4	CHEMBL2059033	pIC50=6.5
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)C[C@H](C)C[C@H](OC)[C@H](O)[C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)\C)OC	CHEMBL421507	pKd=6.5
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cccc(Br)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2058233	pIC50=6.5
Fc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc1	CHEMBL286227	pKi=6.5
Nc1cccc(c1)S(=O)(=O)N2CCCCC2C(=O)OCCCc3cccnc3	CHEMBL1650950	pIC50=6.5
COc1ccc(OCCOC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)CCCC[C@H]3C)cc1OC	CHEMBL2059031	pIC50=6.51
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)CC3CCCCC3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL3623618	pKi=6.52
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(Nc6cc(OC)c(OC)c(OC)c6)cc5)C3=O)c2c(OC)c1	CHEMBL382461	pKi=6.54
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2[C@H]3CCC[C@@H]2C(=O)OCCCCOC3=O	CHEMBL126473	pKi=6.55
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5cccc(Cl)c5Cl)C3=O)c2c(OC)c1	CHEMBL371503	pKi=6.55
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5occc5)C3=O)c2c(OC)c1	CHEMBL203094	pKi=6.55
COc1ccc(CCC(OC(=O)[C@@H]2CCCCN2C(=O)C(c3ccccc3)c4ccccc4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL430133	pIC50=6.56
CCc1ccc(cc1)S(=O)(=O)N2C3CCCC2C(=O)N4CCc5cc(OC)cc(OC)c5C34	CHEMBL201265	pKi=6.58
COC[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL82427	pKi=6.59
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3cccc(N)c3)cc(OC)c1OC	CHEMBL1650943	pIC50=6.59
COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccccc3)cc1	CHEMBL286440	pKi=6.59
CC(C)(C)CC(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCCc2ccccc2)CC\N=C(/S)\N=C\3/C=CC(=C4c5ccc(O)cc5Oc6cc(O)ccc46)C(=C3)C(=O)O	CHEMBL155511	pIC50=6.6
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2cc(OC)ccc2OC	CHEMBL357415	pKi=6.6
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCc2ccccc2	CHEMBL49964	pKi=6.6
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)OCCCc2ccccc2	CHEMBL338234	pKi=6.6
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)C(C)(C)C=C	CHEMBL178537	pKi=6.6
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccccc5)C3=O)c2c(OC)c1	CHEMBL202108	pKi=6.61
COc1cc2CCN3C(C4CCCC(N4C(=O)C(=O)c5ccccc5O)C3=O)c2c(OC)c1	CHEMBL202517	pKi=6.62
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5cc(F)c(F)c(F)c5)C(=O)N3CCc2c1	CHEMBL201785	pKi=6.63
COc1cc(CCCOC(=O)[C@@H]2CCCCN2S(=O)(=O)Cc3ccccc3)cc(OC)c1OC	CHEMBL109278	pKi=6.64
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(Cl)c(OC)c(Cl)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2058495	pIC50=6.64
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5ccc(F)cc5C34	CHEMBL202097	pKi=6.65
CC(C)(C)CNC(=O)N1CCCC[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2	CHEMBL293284	pKi=6.66
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5ccccc5C34	CHEMBL377505	pKi=6.66
COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccc(C)cc3)cc1	CHEMBL34739	pKi=6.66
CC(C)[C@@H]1CC[C@@H](C)[C@@](O)(C1)C(=O)C(=O)N2CCCC[C@H]2C(=O)OCc3ccccc3	CHEMBL316255	pKi=6.68
CO[C@@H](\C=C/C)[C@@H]1CC[C@@H](C)[C@@](O)(O1)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]3CC[C@@H](O)[C@@H](C3)OC)[C@H](C)[C@@H](O)CC(=O)C(CC=C)CC=C	CHEMBL290015	pKi=6.68
COc1cc2CCN3C(C4CCCC(N4C(=O)C(O)c5ccc(Cl)cc5)C3=O)c2c(OC)c1	CHEMBL372289	pKi=6.68
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5ccc(OC)nc5)C(=O)N3CCc2c1	CHEMBL370582	pKi=6.68
O=C(OCCCc1ccccc1)C2CCCCN2C(=O)C(=O)C3CCCCC3	CHEMBL146204	pKi=6.68
CC1(CNC(=O)N2CCCC[C@H]2C(=O)OCc3cccc(Oc4ccccc4)c3)CCCCC1	CHEMBL292238	pKi=6.7
CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H](CCCC=C)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]3(O)OCCC[C@H]3C	CHEMBL287350	pKd=6.7
COc1cc(CCCOC(=O)C2CCCCN2S(=O)(=O)Cc3ccccc3)cc(OC)c1OC	CHEMBL1650946	pIC50=6.7
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cccc(F)c5C34	CHEMBL202101	pKi=6.7
COc1ccc(OCCOC(=O)[C@@H]2CCCCN2S(=O)(=O)c3ccc4ncsc4c3)cc1OC	CHEMBL2058791	pIC50=6.7
C[C@@H]1CCC(=O)C(CC=C)\C=C(/C)\CCCOC(=O)OC(=O)C2CC[C@@H](O2)C(=O)C(=O)C(=O)OC(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]1CCc4cccnc4	CHEMBL82395	pKd=6.7
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCC2CCCCC2	CHEMBL151517	pKi=6.71
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2ccccn2	CHEMBL435686	pKi=6.71
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccccc2)C(C)(C)\C=C\C(=O)c3ccccc3	CHEMBL110010	pKi=6.72
CCCC(CCC)C(=O)\C=C\C(C)(C)[C@@H](CCc1ccccc1)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)CC	CHEMBL111266	pKi=6.72
CC[C@@H](C(=O)N1CCCC[C@H]1C(=O)OC(CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3)c4cc(OC)c(OC)c(OC)c4	CHEMBL412589	pIC50=6.73
COc1ccc2C3C4CCCC(N4S(=O)(=O)Nc5ccc(F)nc5)C(=O)N3CCc2c1	CHEMBL200999	pKi=6.74
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccc(Cl)cc5)[C@@H](C4)OC)\C	CHEMBL299549	pIC50=6.75
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5cccc(F)c5)[C@@H](C4)OC)\C	CHEMBL48841	pIC50=6.75
COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccccc3)cc1OC	CHEMBL34109	pKi=6.75
CC1(C)COC(=O)CCCCC(=O)\C=C\C(C)(C)[C@@H](CCc2ccccc2)OC(=O)[C@@H]3CCCCN3C(=O)C1=O	CHEMBL324539	pKi=6.76
CCC(C)(C)C(=O)C(=O)N1CCCC1C(=O)OCCCc2ccc3OCOc3c2	CHEMBL147712	pKi=6.77
CCC(C)(C)C(=O)C(=O)N1CCCCC1C(=O)OCCCC2CCCCC2	CHEMBL107698	pKi=6.77
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3	CHEMBL321022	pIC50=6.77
CC[C@@H]1\C=C(/C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)\C(=C\C4CC[C@@H](OCC(=O)Nc5ccccc5)[C@@H](C4)OC)\C	CHEMBL51424	pIC50=6.77
COc1cc(cc(OC)c1OC)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cc(Cl)ccc5C34	CHEMBL202382	pKi=6.77
CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)OCCCc2cccnc2	CHEMBL129537	pKi=6.78
COc1cc2CCN3C(C4CCCC(N4S(=O)(=O)c5ccc(cc5)c6ccc(Cl)c(Cl)c6)C3=O)c2c(OC)c1	CHEMBL201359	pKi=6.81
CC(C)(C)CNC(=O)N1CCCC[C@H]1C(=O)OCCCCc2ccccc2	CHEMBL55646	pKi=6.82
