CCNC(=O)N1CCN(CCCC(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)CC1	amperozide	pIC50=6.34	pIC50=6.34	pIC50=6.34
CCCCCCCC\C=C/CCCCCCCC(=O)CBr	CHEMBL157736	pIC50=6.0
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cccc6nonc56)c2)cc1	CHEMBL3112947	pIC50=6.08
Clc1cccc(CN2CCN(CC2)C(=O)Nc3ccccc3)c1	CHEMBL2164585	pIC50=6.08
Fc1ccc(cc1)c2nsc(n2)N3CCN(CC3)C(=O)Nc4ccccc4	CHEMBL472529	pIC50=6.08
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc(on4)c5ccc(cc5)c6cccc(CN7CCOCC7)c6	CHEMBL3799982	pIC50=6.08
CCCCCCC(C)OC(=O)CC(=O)CBr	CHEMBL446976	pKi=6.09
CCc1ccc(cc1)c2ccc(NC(=O)Oc3ccccc3F)cc2	CHEMBL599180	pIC50=6.09
Br\C=C\1/CCC(C(=O)O1)c2cccc3ccccc23	CHEMBL6206	pIC50=6.1
CCCCCCC(C)OC(=O)C(Br)C(=O)C	CHEMBL3264461	pKi=6.1
CCCCCC[C@@H](C)OC(=O)CC(=O)CBr	CHEMBL347894	pKi=6.1
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3Cc4ccc(Oc5ccccc5)cc4C3	CHEMBL1765977	pKi=6.1
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5CCOCC5	CHEMBL3222186	pIC50=6.11
OC(CNc1cc(ncn1)c2ccc(Cl)cc2)c3ccccc3	CHEMBL3121102	pIC50=6.11
CCCCCCCCCC[S+]([O-])CC(=O)C(F)(F)F	CHEMBL269931	pIC50=6.12
COc1ccc(cc1)n2nc(cc2c3cccc(OC(=O)NC4CCCCC4)c3)C(=O)N	CHEMBL3423111	pIC50=6.13
Nc1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220844	pKi=6.13
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3CCc4cc(OCc5ccccc5)ccc4C3	CHEMBL1765857	pKi=6.13
CCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL591682	pIC50=6.14
COc1cccc(c1)c2ccc(cc2)c3onc(c3)C(=O)NC45CC6CC(CC(C6)C4)C5	CHEMBL3798196	pIC50=6.14
CCCCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL590243	pIC50=6.15
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3[C@@H](OC(=O)C)N(C(=O)CCCc4ccccc4)C3=O	CHEMBL565669	pIC50=6.15
O=C(N1CCN(Cc2ccc(Oc3ccccc3)cc2)CC1)n4nnc5ccccc45	CHEMBL3356979	pIC50=6.15
CCCCCCCC\C=C/CCCCCCCC(=O)CCl	CHEMBL486979	pKi=6.16
CCCCCC[C@@H](C)OC(=O)CC(=O)CCl	CHEMBL345382	pIC50=6.16
CCCCC[C@H](O)\C=C\C=C/C=C/[C@@H](O)C\C=C/CCCC(=O)NCCO	CHEMBL126042	pKi=6.16
CCCCC\C=C/C=C/C(O)C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL122267	pKi=6.16
COC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3CCc4cc(ccc4C3)c5ccccc5	CHEMBL1765844	pKi=6.16
Ic1oc(nc1)C(=O)[C@@H]2CCc3cc(OCc4ccccc4)ccc3C2	CHEMBL1765860	pKi=6.16
COC(=O)COc1ccc(cc1)n2cnc(c3ccccc3)c2c4ccccc4	CHEMBL401425	pIC50=6.17
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5CCCC5	CHEMBL3222185	pIC50=6.17
O=C(CCCCCCc1ccccc1)c2oc(cn2)C3=CNC(=O)NC3=O	CHEMBL220731	pIC50=6.17
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3Cc4ccc(OCc5ccccc5)cc4C3	CHEMBL1765981	pKi=6.18
CN(C)C(=O)[C@H]1C[C@@H]1c2ccc(cc2)c3nc[nH]c3Sc4ccc(Cl)cn4	CHEMBL2386560	pIC50=6.19
CCCCCC(O)\C=C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL122729	pKi=6.2
CCCCC[C@@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL331254	pKi=6.2
O=C(CCCCCCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL177577	pIC50=6.2
COC1=NN(Cc2ccc(NC(=O)c3ccccc3)cc2)C(=O)O1	CHEMBL3613661	pIC50=6.21
CCCCCCCCCCCC[S+]([O-])CC(=O)C(F)(F)F	CHEMBL273138	pIC50=6.22
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2cocc2	CHEMBL485926	pKi=6.22
CCCCCCCC\C=C/CCCCCCCC(=O)C(F)(F)F	CHEMBL422064	pIC50=6.22
CCCCCCCC\C=C/CCCCOC(=O)CC(=O)CBr	CHEMBL414450	pIC50=6.22
CCOC(=O)c1cc(nn1CC)c2ccc(OC(=O)NC3CCCCC3)cc2	CHEMBL3423124	pIC50=6.22
Cc1ccccc1NC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3798464	pIC50=6.22
O=C(CCCC1CCN(CC1)S(=O)(=O)Cc2ccccc2)c3occn3	CHEMBL255145	pIC50=6.22
O=C([C@@H]1Cc2ccc(cc2C1)c3ccccc3)c4oc(cn4)c5ccccn5	CHEMBL1765873	pKi=6.22
OC(CNc1cc(ncn1)c2cccc(Cl)c2)c3ccccc3	CHEMBL3121106	pIC50=6.22
CC(=O)c1cccc(c1)c2ccc(cc2)c3onc(c3)C(=O)NC45CC6CC(CC(C6)C4)C5	CHEMBL3798759	pIC50=6.23
CCOC(=O)c1cc(nn1c2ccc(Cl)cc2)c3ccc(OC(=O)NC4CCCCC4)cc3	CHEMBL3423126	pIC50=6.23
CCOC(=O)c1cc(nn1c2ccccc2)c3ccc(OC(=O)NC4CCCCC4)cc3	CHEMBL3423125	pIC50=6.23
C1CCC(CC1)Nc2oc3ccc(cc3n2)c4ccc5c(ccn5C6COC6)c4	CHEMBL3222173	pIC50=6.24
CCCCC\C=C/C=C/[C@@H](O)C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL333114	pKi=6.24
CCCCOc1ccc(CNC(=O)ON=C(C)C)cc1	CHEMBL597131	pIC50=6.24
O=C(N1CCN(CC1)C(c2ccccc2)c3ccccc3)n4nnc5ccccc45	CHEMBL2159781	pIC50=6.25
CCCCCCCOC(=O)CC(=O)CBr	CHEMBL155928	pKi=6.26
FC(F)(F)c1ccncc1NC(=O)N2CC3(CCN(Cc4cccc(Oc5ccc(Cl)cc5)c4)CC3)C2	CHEMBL3112758	pIC50=6.26
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3Cc4ccc(Oc5ccccc5)cc4C3	CHEMBL1765978	pKi=6.26
CCOC(=O)c1cc(nn1c2ccccc2)c3cccc(OC(=O)NC4CCCCC4)c3	CHEMBL3423120	pIC50=6.27
Clc1ccc(cc1)C(OC2CN(C2)C(=O)N3CCC(Cc4ccccc4)CC3)c5cccnc5Cl	CHEMBL1952093	pIC50=6.27
CN(CCCOc1ccc2C(=O)c3cccnc3Oc2c1)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4	CHEMBL2047530	pIC50=6.28
CCOC(=O)c1cc(nn1CC)c2cccc(OC(=O)NC3CCCCC3)c2	CHEMBL3423119	pIC50=6.3
O=C(Cc1ccccc1)N2CCC(CCCC(=O)c3occn3)CC2	CHEMBL271660	pIC50=6.3
O=C(NCCCc1ccccc1)c2cc(on2)c3ccc(cc3)c4ccccc4	CHEMBL1798041	pIC50=6.3
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3CCc4cc(ccc4C3)c5ccccc5	CHEMBL1765845	pKi=6.3
O[C@@H](CNc1cc(ncn1)c2ccc(cc2)C#N)c3ccccc3	CHEMBL3121104	pIC50=6.3
CCCCCCCCCCCCCC(=O)C(F)(F)F	CHEMBL89508	pKi=6.31
COc1ccc(CN2CCN(CC2)C(=O)Nc3ccccc3)cc1	CHEMBL2164593	pIC50=6.31
Cn1ccc2cc(ccc12)c3ccc4oc(Cc5ccccc5)nc4c3	CHEMBL3222178	pIC50=6.31
[O-][N+](=O)c1ccc(cc1C(=O)NC2CCCCC2)N3CCN(CC3)C(=O)n4nnc5ccccc45	CHEMBL2159794	pIC50=6.31
C(N1CCc2c(C1)ccnc2Nc3ccc4ncccc4c3)c5ccccc5	CHEMBL3220520	pIC50=6.32
Cc1ccc(cc1C)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121110	pIC50=6.32
COC1=NN(Cc2ccc(cc2)N(c3ccccc3)c4ccccc4)C(=O)O1	CHEMBL3087179	pIC50=6.33
CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC1	CHEMBL1079935	pIC50=6.34
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc(on4)c5ccccc5	CHEMBL2414015	pIC50=6.34
O=C([C@@H]1CCc2cc(ccc2C1)c3ccccc3)c4occn4	CHEMBL1765840	pKi=6.34
OCc1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423133	pIC50=6.34
CCN(CC)C(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423114	pIC50=6.35
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=O)CCCCc3ccccc3)C2=O	CHEMBL569878	pIC50=6.35
Cc1ccc(cc1)c2cc(NC[C@H](O)c3ccccc3)ncn2	CHEMBL3121134	pIC50=6.35
O=C(CCCCCCc1ccccc1)c2oc(cn2)C(=O)N3CCCCC3	CHEMBL376417	pIC50=6.35
O=C(N1CCN(CC1)C(c2ccccc2)c3ccccc3)n4cncn4	CHEMBL3356956	pIC50=6.35
CC1CCN(CC1)C(=O)N2CC(C2)OC(c3ccc(Cl)cc3)c4cccnc4Cl	CHEMBL1952091	pIC50=6.37
CCCCC[C@H](O)\C=C\C=C/CCCCCCCC(=O)NCCO	CHEMBL440338	pKi=6.37
O=C([C@H]1CCc2ccccc2C1)c3oc(cn3)c4ccccn4	CHEMBL1765986	pKi=6.37
CCOC(=O)c1cc(nn1c2ccc(OC)cc2)c3cccc(OC(=O)NC4CCCCC4)c3	CHEMBL3423122	pIC50=6.39
COC1=NN(Cc2ccc(OCc3ccccc3)cc2)C(=O)O1	CHEMBL3613663	pIC50=6.39
O=C([C@@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4occn4	CHEMBL1765846	pKi=6.39
COc1cc(nc(OC)n1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220449	pIC50=6.4
COc1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL223694	pKi=6.4
Cc1ccc(CN2CCC(CCCC(=O)c3occn3)CC2)cc1	CHEMBL428776	pIC50=6.4
NS(=O)(=O)c1cccc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL374895	pIC50=6.4
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnccc5C#N)c2)cc1	CHEMBL3112759	pIC50=6.41
CCOC(=O)CNC(=O)N1CCC(CC1)c2nc(cs2)C3=NOC(C3)c4ccccc4	CHEMBL3797652	pIC50=6.42
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1	CHEMBL1079421	pIC50=6.42
CCCCCCCC\C=C/CCCCCCC(=O)c1oc2ccccc2n1	CHEMBL512230	pKi=6.43
[O-][N+](=O)c1ccc(cc1C(=O)Nc2ccccc2)N3CCN(CC3)C(=O)n4nnc5ccccc45	CHEMBL2159795	pIC50=6.44
CCOC(=O)c1cc(nn1c2ccc(Cl)cc2)c3cccc(OC(=O)NC4CCCCC4)c3	CHEMBL3423121	pIC50=6.45
CCN1C(=O)N([C@H]2CCCN(C2)c3nccc(n3)c4cccs4)c5ncccc15	CHEMBL1761300	pEC50=6.46
CN1C(=O)N(C2CCCCN(C2)c3nccc(n3)c4oc5ccccc5c4)c6ccccc16	CHEMBL1761287	pIC50=6.46
Clc1ccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)cc1	CHEMBL461752	pIC50=6.46
FC(F)(F)c1cccc(CN2CCN(CC2)C(=O)Nc3ccccc3)c1	CHEMBL2164590	pIC50=6.46
NC(=O)c1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL219675	pIC50=6.46
CCCCOc1ccc(NC(=O)Oc2ccccc2F)cc1	CHEMBL597924	pIC50=6.47
Nc1ccnc(c1)c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL220686	pIC50=6.47
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnc6cccnn56)c2)cc1	CHEMBL3112593	pIC50=6.48
O=C(NC1CCCCC1)Oc2ccc3ccccc3c2	CHEMBL77250	pIC50=6.49
O=C(Nc1ccccc1)N2CCC(Cc3ccc4ccccc4n3)CC2	CHEMBL3087180	pIC50=6.49
Brc1ccccc1CN2CCC(CCCC(=O)c3occn3)CC2	CHEMBL271420	pIC50=6.5
CCCCCCCC\C=C/CCCCCCC(=O)c1oc(cn1)c2ccccc2	CHEMBL458940	pKi=6.5
CCOC(=O)c1cc(nn1C)c2ccc(OC(=O)NC3CCCCC3)cc2	CHEMBL3423123	pIC50=6.5
O=C(CCCC1CCN(Cc2ccccc2)CC1)c3occn3	CHEMBL403903	pIC50=6.5
O=C(Nc1nc(cs1)c2ccccc2)N3CCN(CC3)c4nc(ns4)c5ccccc5	CHEMBL487847	pIC50=6.5
O=C(Nc1nn[nH]n1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL488868	pIC50=6.5
OC(CNc1cc(ncn1)c2cccc(c2)C(F)(F)F)c3ccccc3	CHEMBL3121107	pIC50=6.5
C[C@@H](OC(=O)CCCc1ccncc1)[C@@H]2CN(C(=O)CCC=C)C2=O	CHEMBL2313947	pIC50=6.51
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4cccn5ccnc45)c2)cc1	CHEMBL2207353	pIC50=6.51
CCCCCCCCSCC(=O)C(F)(F)F	CHEMBL89506	pIC50=6.52
CCOC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(C)n1	CHEMBL3422941	pIC50=6.52
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cnc6ccccn56)c2)cc1	CHEMBL3112946	pIC50=6.52
NC(=O)c1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL276233	pKi=6.52
O=C([C@@H]1CCc2cc(OCc3ccccc3)ccc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765855	pKi=6.52
COc1ccc(NC(=O)O\N=C\c2ccccc2)cc1	CHEMBL599469	pIC50=6.54
COc1ccc(cc1)c2cc(NCC(O)c3ccccc3)ncn2	CHEMBL3121139	pIC50=6.54
Clc1ccc(cc1)C(OC2CN(C2)C(=O)N3CCCCC3)c4cccnc4Cl	CHEMBL561068	pIC50=6.54
O=C(NC1CCCCC1)Oc2cccc(c2)c3cc(nn3c4ccccc4)C(=O)NC5CCCCC5	CHEMBL3423113	pIC50=6.54
O=C([C@@H]1CCc2cc(Oc3ccccc3)ccc2C1)c4oc(cn4)c5ccccn5	CHEMBL1765849	pKi=6.54
CCCCCCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F	CHEMBL257071	pIC50=6.55
CCOC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(n1)c4ccc(Cl)cc4	CHEMBL3423108	pIC50=6.55
COc1ccc(Nc2oc3ccc(cc3n2)c4ccc5c(ccn5C)c4)cc1	CHEMBL3222181	pIC50=6.55
Fc1ccc(cc1)C(N2CCN(CC2)C(=O)n3cncn3)c4ccc(F)cc4	CHEMBL1232635	pIC50=6.55
CN(C)C(=O)c1cccc(CN2CCN(CC2)C(=O)n3nnc4ccccc34)c1	CHEMBL2159808	pIC50=6.56
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cncc(Cl)c5)c2)cc1	CHEMBL3112954	pIC50=6.56
CCN1C(=O)N(C2CCCN(C2)c3cc(ncn3)c4oc5ccccc5c4)c6ncccc16	CHEMBL1761290	pIC50=6.57
CCOC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(n1)c4ccccc4	CHEMBL3423107	pIC50=6.57
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3cccc(OC(F)(F)F)c3	CHEMBL3121124	pIC50=6.57
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cccnc5)c2)cc1	CHEMBL3112773	pIC50=6.58
O=C(Nc1ncccn1)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL486673	pIC50=6.58
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cccnn5)c2)cc1	CHEMBL3112950	pIC50=6.59
Clc1cccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)c1	CHEMBL461753	pIC50=6.59
Clc1ccccc1CN2CCC(CCCC(=O)c3occn3)CC2	CHEMBL255803	pIC50=6.59
NC(=O)c1cccc(c1)c2cccc(OC(=O)NC3CCCCC3)c2	CHEMBL184238	pIC50=6.59
CC(C)C(=O)N1CCC(CCCC(=O)c2occn2)CC1	CHEMBL257892	pIC50=6.6
CC(C)C(CCCCCn1c(C)nc(c2ccccc2)c1c3ccccc3)NC(=O)Oc4ccccc4F	CHEMBL233594	pIC50=6.6
O=C(Nc1ncncc1C#N)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL528107	pIC50=6.6
COC1=NN([C@H](C)c2ccc(CC(C)C)cc2)C(=O)O1	CHEMBL3087314	pIC50=6.61
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5cccnc5Cl)c2)cc1	CHEMBL3112953	pIC50=6.61
Clc1cccc(N2CCN(CCCCNC(=O)Oc3cccc4CCCCc34)CC2)c1Cl	CHEMBL3800575	pIC50=6.61
CCCCCCCCCCCCCCCCCC(=O)C(F)(F)F	CHEMBL89946	pKi=6.62
O=C(NC12CC3CC(CC(C3)C1)C2)c4cc(on4)c5ccc(cc5)c6cccc(c6)C#N	CHEMBL3800527	pIC50=6.62
O=C([C@@H]1CCc2cc(ccc2C1)c3ccccc3)c4oc(cn4)c5ccccn5	CHEMBL1765843	pKi=6.62
C[C@@H](OC(=O)Cc1ccc(cc1)c2ccccc2)[C@@H]3CN(C(=O)CCCCc4ccccc4)C3=O	CHEMBL569879	pIC50=6.63
CC(C)NC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423112	pIC50=6.64
CCOC(=O)N1CCN(CC1)C(=O)n2nnc3cccnc23	CHEMBL3356961	pIC50=6.64
CCOC(=O)c1cc(nn1C)c2cccc(OC(=O)NC3CCCCC3)c2	CHEMBL3423118	pIC50=6.64
COc1ccc(cc1C)c2ccc3oc(NC4CCCCC4)nc3c2	CHEMBL3222167	pIC50=6.64
Cl.COc1ccc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccc14	CHEMBL3798841	pIC50=6.64
OC(CNc1cc(ncn1)c2ccc(c(Cl)c2)C(F)(F)F)c3cccc(c3)C(F)(F)F	CHEMBL3121123	pIC50=6.64
Cn1ccc2cc(ccc12)c3ccc4oc(Nc5cccnc5)nc4c3	CHEMBL3217801	pIC50=6.65
O=C(Nc1nccs1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3800131	pIC50=6.65
OC(=O)c1cccc(n1)c2oc(nc2)C(=O)[C@@H]3CCc4cc(Oc5ccccc5)ccc4C3	CHEMBL1765851	pKi=6.66
CCOC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(CC)n1	CHEMBL3423106	pIC50=6.67
NC(=O)Cn1ccc2cc(ccc12)c3ccc4oc(NC5CCCCC5)nc4c3	CHEMBL3222174	pIC50=6.67
CCCOc1ccc(NC(=O)ON=C(C)C)cc1	CHEMBL609315	pIC50=6.68
CCn1ccc2cc(ccc12)c3ccc4oc(NC5CCCCC5)nc4c3	CHEMBL3222172	pIC50=6.68
Cn1ccc2cc(ccc12)c3ccc4oc(nc4c3)N5Cc6cccnc6C5	CHEMBL3217937	pIC50=6.68
Cn1nc(cc1c2ccc(OC(=O)NC3CCCCC3)cc2)C(=O)N	CHEMBL3423115	pIC50=6.68
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc(cn1)c2ccccn2	CHEMBL426230	pIC50=6.7
CCCCCCCC\C=C/CCCCCCCC(=O)c1oc(nn1)c2ccccc2	CHEMBL362705	pIC50=6.7
CN(CCCCC(=O)c1oc(cn1)c2ccccn2)Cc3ccccc3	CHEMBL388985	pKi=6.7
O=C(CCc1ccccc1)c2oc(cn2)c3ccccn3	CHEMBL177728	pKi=6.7
O=C([C@@H]1Cc2ccc(Oc3ccccc3)cc2C1)c4occn4	CHEMBL1765874	pKi=6.7
Cc1cccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)c1	CHEMBL518653	pIC50=6.71
Brc1oc(nc1)C(=O)CCCCCCc2ccccc2	CHEMBL373555	pIC50=6.72
CCCCCCCC\C=C/CCCCCCCC=O	CHEMBL486980	pKi=6.72
Cc1cccc(C)c1OC(=O)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3799823	pKi=6.72
O=C(Nc1ccccc1)N2CCC(CC2)c3nc(cs3)C4=NOC(C4)c5ccccc5	CHEMBL3800583	pIC50=6.72
O=S(=O)(N1CCc2c(C1)ccnc2Nc3cnc4ccccc4c3)c5ccccc5	CHEMBL3220525	pIC50=6.72
Cn1ccc2cc(ccc12)c3ccc4oc(Nc5ccccn5)nc4c3	CHEMBL3222182	pIC50=6.73
Clc1ccc(Oc2cccc(CN3CCC4(CC3)CN(C4)C(=O)Nc5noc6cccnc56)c2)cc1	CHEMBL3112945	pIC50=6.75
Clc1ccc(Oc2cccc(CN3CCN(CC3)C(=O)Nc4noc5ccncc45)c2)cc1	CHEMBL2207349	pIC50=6.75
COc1ccccc1NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4	CHEMBL461380	pIC50=6.76
Fc1cncc(NC(=O)N2CC3(CCN(Cc4cccc(Oc5ccc(Cl)cc5)c4)CC3)C2)c1	CHEMBL3112955	pIC50=6.76
NC(=O)c1cc(c2ccc(OC(=O)NC3CCCCC3)cc2)n(n1)c4ccc(Cl)cc4	CHEMBL3423117	pIC50=6.76
NC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccc(Cl)cc4	CHEMBL3423110	pIC50=6.76
CCCCCCCCCCSCC(=O)C(F)(F)F	CHEMBL270374	pIC50=6.77
NC(=O)c1cc(c2cccc(OC(=O)NC3CCCCC3)c2)n(n1)c4ccccc4	CHEMBL3423109	pIC50=6.77
NC(=O)c1ccn(c1)c2cccc(OC(=O)NCCCCCCCCCC#C)c2	CHEMBL2165083	pIC50=6.77
Oc1ccccc1c2oc(nc2)C(=O)CCCCCCc3ccccc3	CHEMBL222415	pKi=6.77
C[C@@H]1CN(C[C@H](C)O1)c2oc3ccc(cc3n2)c4ccc5c(ccn5C)c4	CHEMBL3222187	pIC50=6.78
COC1=NN(Cc2ccc(cc2)c3ccccc3)C(=O)O1	CHEMBL3087174	pIC50=6.79
CC(C)NC(=O)c1ccc(N2CCN(CC2)C(=O)n3nnc4ccccc34)c(c1)[N+](=O)[O-]	CHEMBL2159785	pIC50=6.8
CCOC(=O)c1cc(nn1c2ccc(OC)cc2)c3ccc(OC(=O)NC4CCCCC4)cc3	CHEMBL3423127	pIC50=6.8
C[C@@H](OC(=O)CCc1ccccc1)[C@@H]2CN(C(=O)CCc3ccccc3)C2=O	CHEMBL583407	pIC50=6.8
CCCCCCCC\C=C/CCCCCCCNC(=O)OCc1cccnc1	CHEMBL2413181	pIC50=6.82
CCOc1ccc(NC(=O)O\N=C\c2cccnc2)cc1	CHEMBL598343	pIC50=6.82
COc1ccc(NC(=O)N2CCN(CC2)c3nc(ns3)c4ccccc4)cc1	CHEMBL461942	pIC50=6.82
C[C@@H](OC(=O)CCCc1ccccc1)[C@@H]2CN(C(=S)NCC=C)C2=O	CHEMBL2313950	pIC50=6.84
CC(C)S(=O)(=O)N1CCC(CCCC(=O)c2occn2)CC1	CHEMBL257893	pIC50=6.85
CCCCCCCCCCCC(=O)C(F)(F)F	CHEMBL90308	pKi=6.85
CCOC(=O)N1CCN(CC1)C(=O)n2cncn2	CHEMBL3356962	pIC50=6.85
