COC(=O)Nc1ccc(Cl)c(c1)c2oc3ccc(C)cc3n2	CHEMBL35001	pIC50=6.0
Nc1nc(Nc2ccc(Cl)cc2)cc(n1)c3cc(Cl)ccc3Cl	CHEMBL307716	pIC50=7.7
Cc1ccc(Br)cc1c2cc(Nc3ccc(Br)cc3)nc(N)n2	CHEMBL74548	pIC50=7.75
CCOc1ccc(Br)cc1c2cc(Nc3ccc(cc3)C#N)nc(N)n2	CHEMBL77883	pIC50=7.77
CCOc1ccc(Cl)cc1c2cc(Nc3ccc(Cl)cc3)nc(N)n2	CHEMBL308945	pIC50=7.77
CCOc1ccc(Br)cc1c2cc(Nc3ccc(Cl)cc3)nc(N)n2	CHEMBL310136	pIC50=7.8
Cc1ccc(NC(=O)OCC#C)cc1c2nc3cc(Cl)ccc3s2	CHEMBL35508	pIC50=7.82
Clc1ccc2sc(nc2c1)c3cc(NC(=O)CC#N)ccc3Cl	CHEMBL286394	pIC50=7.82
FC(F)(F)c1ccc2sc(nc2c1)c3cc(NC(=O)OCC#C)ccc3Cl	CHEMBL35388	pIC50=7.82
CCOc1ccc(Cl)cc1c2cc(Nc3ccc(cc3)[N+](=O)[O-])nc(N)n2	CHEMBL75167	pIC50=8.0
Clc1ccc2sc(nc2c1)c3cc(NC(=O)OCC#C)ccc3Cl	CHEMBL34896	pIC50=8.22
