[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
Cl.OC(=O)[C@@H]1C[C@H]2C[C@@H](Cc3ccc(cc3)C(=O)O)CC[C@H]2CN1	CHEMBL2440697	pKi=5.44
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3ccc(Cl)cc3C(=O)O	CHEMBL2440517	pKi=5.44
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc3OCOc3c2	CHEMBL422152	pIC50=5.44
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)C(=O)O)C(=O)O)C(=O)O	CHEMBL61434	pKi=5.45
Cc1cccc(N[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1c4nnn[nH]4	CHEMBL3088056	pKi=5.5
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc(Cl)cc2	CHEMBL154066	pIC50=5.51
Cl.OC(=O)[C@@H]1C[C@H]2C[C@@H](Cc3ccccc3c4nnn[nH]4)CC[C@H]2CN1	CHEMBL3087684	pKi=5.52
CCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL370941	pKi=5.54
Cc1ccc(c(N[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4	CHEMBL3088065	pKi=5.54
N[C@@H](C[C@@H](C\C=C\c1ccc2ccccc2c1)C(=O)O)C(=O)O	CHEMBL301536	pEC50=5.6
CCCCCC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL62053	pKi=5.62
OC(=O)CCN1C(=O)C(=O)Nc2cc(c(cc12)n3cccc3)[N+](=O)[O-]	CHEMBL305534	pKi=5.62
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccccc3C(=O)O	CHEMBL2440687	pKi=5.64
C\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL52514	pKi=5.66
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc(Br)cc2	CHEMBL155022	pIC50=5.66
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc(I)c2	CHEMBL154658	pIC50=5.66
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(Cl)ccc3C(=O)O	CHEMBL2440703	pKi=5.68
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(CCc4ccccc4)ccc3c5nnn[nH]5	CHEMBL3085838	pKi=5.77
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccccc3c4nn[nH]n4	CHEMBL189985	pKi=5.77
OC(=O)c1cc(C(=O)O)c(NC(=O)c2ccccc2)cc1NC(=O)c3ccccc3	CHEMBL156717	pIC50=5.8
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3ccccc3c4nn[nH]n4	CHEMBL191249	pKi=5.81
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccc(Cl)cc3C(=O)O	CHEMBL2440685	pKi=5.82
N[C@@H](C[C@@H](CC(=C)Cl)C(=O)O)C(=O)O	CHEMBL299449	pKi=5.83
Cl.COc1ccc(c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4	CHEMBL3088063	pKi=5.85
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(c3)C(=O)O)[N+](=O)[O-]	CHEMBL293613	pKi=5.85
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Sc3cc(Cl)ccc3C(=O)O	CHEMBL2440702	pKi=5.89
N[C@@H](C[C@H](CC=C)C(=O)O)C(=O)O	CHEMBL62055	pKi=5.89
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc(Cl)c2	CHEMBL154704	pIC50=5.89
N[C@@H](C[C@@H](CCCc1ccccc1)C(=O)O)C(=O)O	CHEMBL305387	pKi=5.92
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cc3ccccc3[nH]2	CHEMBL347374	pIC50=5.92
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc3ccccc3c2	CHEMBL346524	pIC50=5.92
Cc1onc(O)c1C[C@H](N)C(=O)O	CHEMBL276815	pKi=5.94
Cl.COc1cccc(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1c4nnn[nH]4	CHEMBL3088055	pKi=5.96
Cl.Cc1ccc(c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4	CHEMBL3088062	pKi=5.96
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3cc(ccc3c4nnn[nH]4)c5ccccc5	CHEMBL3088066	pKi=5.96
CC(=CC[C@H](C[C@H](N)C(=O)O)C(=O)O)C	CHEMBL59286	pKi=5.99
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5ccccc5Cl	CHEMBL3088068	pKi=6.0
Cl.CC(C)Oc1ccc(c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1)c4nnn[nH]4	CHEMBL3088074	pKi=6.05
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5nccs5	CHEMBL3088071	pKi=6.05
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccc(F)cc3c4nnn[nH]4	CHEMBL3088059	pKi=6.05
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3ccccc3C(=O)O	CHEMBL2440689	pKi=6.05
CCC#CC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL58541	pKi=6.08
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Sc3ccccc3C(=O)O	CHEMBL2440688	pKi=6.1
Cc1onc(O)c1CC(N)C(=O)O	CHEMBL13378	pKi=6.13
N[C@@H](CCC(=O)O)C(=O)O	CHEMBL575060	pKi=6.15
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5cccc(Cl)c5	CHEMBL3088069	pKi=6.16
C\C(=C/c1ccccc1)\C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL61697	pKi=6.17
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Sc3ccccc3c4nnn[nH]4	CHEMBL3087685	pKi=6.22
C\C=C/C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL61307	pKi=6.24
COc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1OC	CHEMBL59948	pKi=6.27
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3cccc3)[N+](=O)[O-]	CHEMBL268284	pKi=6.28
C\C=C\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL300928	pKi=6.29
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3C(=O)O)c4ccccc4	CHEMBL2440699	pKi=6.3
N[C@@H](CC(=C1CCC1)C(=O)O)C(=O)O	CHEMBL51054	pKi=6.33
CN(Cc1ccccc1)Cc2ccn(c2)c3cc4N(CCC(=O)O)C(=O)C(=O)Nc4cc3[N+](=O)[O-]	CHEMBL63927	pKi=6.37
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccc(Cl)cc3c4nnn[nH]4	CHEMBL3088060	pKi=6.4
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)C#N)C(=O)O)C(=O)O	CHEMBL293829	pKi=6.44
N[C@@H](C[C@@H](CC#Cc1ccccc1)C(=O)O)C(=O)O	CHEMBL59792	pKi=6.47
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCCCC4)c3)[N+](=O)[O-]	CHEMBL303415	pKi=6.48
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CNCCCc4ccccc4)c3)[N+](=O)[O-]	CHEMBL429540	pKi=6.5
N[C@@H](C[C@H](CC#C)C(=O)O)C(=O)O	CHEMBL58718	pKi=6.51
COc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1	CHEMBL59299	pKi=6.55
CCCCC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL58027	pKi=6.57
N[C@@H](CC(=C)C(=O)O)C(=O)O	CHEMBL38499	pKi=6.57
N[C@@H](C[C@@H](C\C=C\c1ccc(OC(F)(F)F)cc1)C(=O)O)C(=O)O	CHEMBL60114	pKi=6.6
N[C@@H](C[C@@H](C\C=C\c1ccccc1Cl)C(=O)O)C(=O)O	CHEMBL293548	pKi=6.6
CCC(=C(C[C@H](N)C(=O)O)C(=O)O)CC	CHEMBL51008	pKi=6.62
CC1(C)CCC/C/1=C(/C[C@H](N)C(=O)O)\C(=O)O	CHEMBL51395	pKi=6.63
NCc1ccn(c1)c2cc3N(CC(=O)O)C(=O)C(=O)Nc3cc2[N+](=O)[O-]	CHEMBL12465	pKi=6.64
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCC(CC4)c5ccccc5)c3)[N+](=O)[O-]	CHEMBL416685	pKi=6.64
CC(C)C\C=C(/C[C@H](N)C(=O)O)\C(=O)O	CHEMBL299365	pKi=6.65
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cccc(Cl)c3c4nnn[nH]4	CHEMBL3088054	pKi=6.7
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3cccc(Cl)c3c4nnn[nH]4	CHEMBL3088058	pKi=6.7
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O	CHEMBL275040	pKi=6.75
Cc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1	CHEMBL292745	pKi=6.76
CC\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL304434	pKi=6.79
CC\C=C/C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL2111523	pKi=6.8
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(Cc4ccccc4)ccc3c5nnn[nH]5	CHEMBL3085837	pKi=6.8
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(OCc4ccccc4)ccc3c5nnn[nH]5	CHEMBL3085836	pKi=6.8
N[C@@H](C[C@@H](C\C=C/c1ccccc1)C(=O)O)C(=O)O	CHEMBL58808	pKi=6.8
CCCC\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL297919	pKi=6.82
N[C@@H](C\C(=C/C1CCCC1)\C(=O)O)C(=O)O	CHEMBL299291	pKi=6.82
N[C@@H](C[C@@H](C\C=C\c1c(Cl)cccc1Cl)C(=O)O)C(=O)O	CHEMBL59297	pKi=6.88
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)c2ccccc2)C(=O)O)C(=O)O	CHEMBL292896	pKi=6.88
CCC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL61997	pKi=6.91
CC(C)(C)c1snc(O)c1C[C@H](N)C(=O)O	CHEMBL29024	pEC50=7.0
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5ccccc5	CHEMBL3088064	pKi=7.0
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CNC(=O)Nc4ccc(cc4)[N+](=O)[O-])c3)C(F)(F)F	CHEMBL13076	pKi=7.0
CC(C)\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL298800	pKi=7.03
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5cccs5	CHEMBL3088072	pKi=7.05
CC(C)(C)\C=C(/C[C@H](N)C(=O)O)\C(=O)O	CHEMBL52742	pKi=7.07
Cn1nnc(n1)c2onc(O)c2C[C@H](N)C(=O)O	CHEMBL370038	pKi=7.09
CCC\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL50041	pKi=7.1
N[C@@H](C[C@@H](C\C=C\c1ccc(F)cc1)C(=O)O)C(=O)O	CHEMBL294683	pKi=7.11
CC\C=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL52295	pKi=7.22
N[C@@H](C[C@@H](C\C=C\c1cccc(Cl)c1)C(=O)O)C(=O)O	CHEMBL58054	pKi=7.22
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)[N+](=O)[O-])C(=O)O)C(=O)O	CHEMBL60168	pKi=7.23
CC(C)c1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1	CHEMBL302680	pKi=7.24
CC(C)\C=C(/C[C@H](N)C(=O)O)\C(=O)O	CHEMBL299180	pKi=7.26
N[C@@H](C[C@@H](C\C=C\c1ccc(cc1)C(F)(F)F)C(=O)O)C(=O)O	CHEMBL291491	pKi=7.28
N[C@@H](C[C@@H](C\C=C\c1ccc(Cl)c(Cl)c1)C(=O)O)C(=O)O	CHEMBL293118	pKi=7.31
N[C@@H](C[C@@H](C\C=C\c1ccccc1)C(=O)O)C(=O)O	CHEMBL58095	pKi=7.36
N[C@@H](C[C@@H](C\C=C\Cl)C(=O)O)C(=O)O	CHEMBL60406	pKi=7.39
COc1cccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)c1	CHEMBL305346	pKi=7.4
N[C@@H](CC(=C1CCCC1)C(=O)O)C(=O)O	CHEMBL51660	pKi=7.49
CSc1ccc(\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O)cc1	CHEMBL300368	pKi=7.5
COc1ccccc1\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL59284	pKi=7.52
N[C@@H](C[C@@H](C\C=C\c1ccc(Br)cc1)C(=O)O)C(=O)O	CHEMBL301915	pKi=7.52
CC#CC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL62086	pKi=7.54
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5ccc(Cl)cc5	CHEMBL3088070	pKi=7.7
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCN(CCc5ccccc5)CC4)c3)[N+](=O)[O-]	CHEMBL67828	pKi=7.92
N[C@@H](C[C@@H](CC#C)C(=O)O)C(=O)O	CHEMBL59551	pKi=7.94
N[C@@H](C[C@@H](C\C=C\c1ccc(Cl)cc1)C(=O)O)C(=O)O	CHEMBL58590	pKi=8.1
N[C@@H](C[C@@H](C\C=C\c1cccc2ccccc12)C(=O)O)C(=O)O	CHEMBL61751	pKi=8.16
OC(=O)CN1C(=O)C(=O)Nc2cc(c(cc12)n3ccc(CN4CCN(Cc5ccccc5)CC4)c3)[N+](=O)[O-]	CHEMBL63861	pKi=8.42
C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL288166	pKi=8.52
