CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=7.61
OCCN(CCO)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc(Br)c(O)c(Br)c3)\c2c1	CHEMBL311402	pIC50=7.54
FC(F)(F)c1cnc([nH]1)c2cc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)cc3)ccn2	CHEMBL2047981	pIC50=7.98
CNC(=O)Oc1cc(C)c(\C=C\c2cncc(c2)C(=O)NC)c(C)c1	CHEMBL218932	pIC50=8.0
CNC(=O)c1cc(Oc2ccc(CCC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL1688862	pIC50=8.0
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)c5ccncc5)n3C)ccn1	CHEMBL514135	pIC50=8.0
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccccc4Br)n3C)ccn1	CHEMBL471415	pIC50=8.0
CCCCc1ccc(Nc2nc3cc(Oc4ccnc(c4)C(=O)NC)ccc3s2)cc1	CHEMBL1778407	pIC50=8.05
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccc(cc4)C(C)(C)C)n3C)ccn1	CHEMBL511836	pIC50=8.05
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccc(cc4)C(F)(F)F)n3C)ccn1	CHEMBL470591	pIC50=8.05
CNC(=O)c1cc(Oc2cccc(CCC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c2)ccn1	CHEMBL1688863	pIC50=8.05
Oc1c(Br)cc(\C=C/2\C(=O)Nc3ccc(I)cc23)cc1Br	CHEMBL264949	pIC50=8.05
C[C@H](O)CNc1nccc(n1)n2ccnc2Cc3cccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)c3	CHEMBL3309549	pIC50=8.06
CN1C[C@@H]2C[C@H]1CN2c3cc(F)c(c(F)c3)c4ccnc5c(c6cccc7[nH]ncc67)c(nn45)c8ccncc8	CHEMBL1276179	pIC50=8.07
Fc1ccc(Oc2ccc3nc(NC(=O)C4CC4)sc3c2C#N)cc1NC(=O)Cc5cccc(c5)C(F)(F)F	CHEMBL3125890	pIC50=8.09
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1	CHEMBL511997	pIC50=8.1
CNS(=O)(=O)Nc1cccc(CC2=C(C)c3cc(Cl)c(OC(=O)N(C)C)cc3OC2=O)c1	CHEMBL3086065	pIC50=8.1
CNS(=O)(=O)Nc1cccc(CC2=C(C)c3ccc(OC(=O)N(C)C)cc3OC2=O)c1F	CHEMBL3092191	pIC50=8.1
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NC[C@@H](O)C(C)(C)C)c(F)cc3C	CHEMBL3577117	pIC50=8.14
CNC(=O)Oc1cc(C)c(\C=C\c2cncc(c2)C(=O)N)c(C)c1	CHEMBL219870	pIC50=8.16
CNC(=O)c1cc(Oc2ccc3sc(Nc4ccc(C)cc4)nc3c2)ccn1	CHEMBL1778406	pIC50=8.16
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)ccc3C	CHEMBL3577118	pIC50=8.17
OCCn1cc(c2ccc3\C(=N\O)\CCc3c2)c(n1)c4ccncc4	CHEMBL525191	pKd=8.18
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F	CHEMBL1230020	pIC50=8.19
NCc1cc(NC(=O)C2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(c1)C(F)(F)F	CHEMBL1688868	pIC50=8.21
CC(=O)Nc1cc(Oc2ccc3CC[C@@H](Cc3c2)C(=O)Nc4cc(CN)cc(c4)C(F)(F)F)ccn1	CHEMBL1688867	pIC50=8.22
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1Cl)Cc3cccc(NS(=O)(=O)NCCO)c3	CHEMBL3086074	pIC50=8.22
CNC(=O)Oc1cc(C)c(\C=C\c2cncc(c2)C(=O)O)c(C)c1	CHEMBL220019	pIC50=8.22
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Br)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL350747	pIC50=8.22
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(F)(F)F)n3C)ccn1	CHEMBL513562	pIC50=8.22
NCc1cc(NC(=O)[C@@H]2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(c1)C(F)(F)F	CHEMBL1688870	pIC50=8.22
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577121	pIC50=8.25
CCN1C(=O)C(=Cc2cnc(NC)cc12)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577116	pIC50=8.28
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1Cl)Cc3cccc(NS(=O)(=O)N(C)C)c3	CHEMBL3086066	pIC50=8.3
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1F)Cc3cccc(NS(=O)(=O)N)c3F	CHEMBL3086078	pIC50=8.3
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)c3)C5CC5	CHEMBL430413	pIC50=8.3
CC(C)NCc1cc(NC(=O)C2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(c1)C(F)(F)F	CHEMBL1688872	pIC50=8.34
NCc1cc(NC(=O)[C@H]2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(c1)C(F)(F)F	CHEMBL1688869	pIC50=8.35
Oc1c(Br)cc(\C=C\2/C(=O)Nc3ccc(I)cc23)cc1Br	CHEMBL72365	pIC50=8.36
CNc1ncc2cc(c(C)nc2n1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577124	pIC50=8.37
CC(C)c1cccc(Nc2oc3ccc(Oc4ccnc(c4)C(=O)N)cc3n2)c1	CHEMBL1778401	pIC50=8.4
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1Cl)Cc3cccc(NS(=O)(=O)NCCC#N)c3	CHEMBL3086073	pIC50=8.4
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4cccc(Br)c4)n3C)ccn1	CHEMBL471625	pIC50=8.4
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4cccc(c4)C(C)(C)C)n3C)ccn1	CHEMBL470808	pIC50=8.4
CNC(=O)c1cc(Oc2ccc3sc(Nc4ccc(Cl)cc4)nc3c2)ccn1	CHEMBL1778404	pIC50=8.4
CNC(=O)c1cc(Oc2ccc3sc(Nc4ccc(OC(F)(F)F)cc4)nc3c2)ccn1	CHEMBL1778409	pIC50=8.4
COCCNS(=O)(=O)Nc1cccc(CC2=C(C)c3cc(Cl)c(OC(=O)N(C)C)cc3OC2=O)c1	CHEMBL3086075	pIC50=8.4
Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3	CHEMBL218791	pIC50=8.4
Cn1c(Nc2ccc(Br)cc2)nc3cc(Oc4ccnc(c4)C(=O)NCCO)ccc13	CHEMBL486137	pIC50=8.4
CN(C)Cc1cc(NC(=O)[C@H]2CCc3ccc(Oc4ccnc(NC(=O)C5CC5)c4)cc3C2)cc(c1)C(F)(F)F	CHEMBL1688871	pIC50=8.48
CNc1cc2N([C@H]3CCOC3)C(=O)C(=Cc2cn1)c4ccc(F)c(NC(=O)Nc5onc(c5)C(C)(C)C)c4	CHEMBL3577114	pIC50=8.51
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Br)cc4)nc3c2)ccn1	CHEMBL1778393	pIC50=8.52
CNC(=O)c1cc(Oc2ccc3oc(Nc4cccc(c4)C(C)C)nc3c2)ccn1	CHEMBL1778392	pIC50=8.52
CNC(=O)c1cc(Oc2ccc3sc(Nc4ccc(cc4)C(C)C)nc3c2)ccn1	CHEMBL1778408	pIC50=8.52
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3ccc(Oc4ccnc(c4)c5cnc([nH]5)C(F)(F)F)cc13	CHEMBL1946171	pIC50=8.52
Fc1c(F)c(NC(=O)c2cccc(OC(F)(F)F)c2)cc(Oc3cccc4NC(=O)Nc34)c1F	CHEMBL602123	pIC50=8.52
CCN1C(=O)C(=Cc2cnc(NC)cc12)c3ccc(F)c(NC(=O)Nc4onc(c4)C(C)(C)C)c3	CHEMBL3577115	pIC50=8.54
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)ccc3C)c2N)cc1	CHEMBL1684800	pIC50=8.54
CNc1ncc2cc(c(C)nc2n1)c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3	CHEMBL3577119	pIC50=8.55
CC(C)(N)c1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL1688861	pIC50=8.6
CN(C)Cc1cc(cc(c1)C(F)(F)F)C(=O)N[C@@H]2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2	CHEMBL1688860	pIC50=8.66
CCCCc1ccc(Nc2oc3ccc(Oc4ccnc(c4)C(=O)NC)cc3n2)cc1	CHEMBL1778396	pIC50=8.7
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(OC(F)(F)F)cc4)nc3c2)ccn1	CHEMBL1778397	pIC50=8.7
CNC(=O)c1cc(Oc2ccc3sc(Nc4ccc(Br)cc4)nc3c2)ccn1	CHEMBL1778405	pIC50=8.7
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)C(F)(F)F	CHEMBL258454	pIC50=8.7
CN(C)CCOc1ccc(cc1)c2nc(c3ccncc3)c([nH]2)c4ccc5\C(=N\O)\CCc5c4	CHEMBL477989	pKi=8.76
CNc1cc2nc(C)c(cc2cn1)c3ccc(F)c(NC(=O)NCCC(C)(C)C)c3	CHEMBL3577120	pIC50=8.8
Oc1cc(ccc1Cl)c2nc([nH]c2c3ccncc3)c4ccccc4	CHEMBL373011	pIC50=8.85
CNc1ncc2cc(cnc2n1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577123	pIC50=8.92
CC(C)(C)c1cccc(Nc2nc3cc(Oc4ccnc(c4)C(=O)N)ccc3s2)c1	CHEMBL1778410	pIC50=9.0
CCc1ccc(Nc2oc3ccc(Oc4ccnc(c4)C(=O)NC)cc3n2)cc1	CHEMBL1778394	pIC50=9.0
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccc(Br)cc4)n3C)ccn1	CHEMBL513600	pIC50=9.0
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(cc4)C(C)C)nc3c2)ccn1	CHEMBL1778395	pIC50=9.0
CNC(=O)c1cc(Oc2ccc3oc(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1	CHEMBL1778291	pIC50=9.0
CNC(=O)c1cc(Oc2ccc3sc(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1	CHEMBL1778403	pIC50=9.0
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)C5CC5	CHEMBL403854	pIC50=9.0
Clc1ccc(CC(=O)Nc2cccc(c2)c3nc([nH]c3c4ccnc(NCCN5CCNC5=O)n4)C6CC6)cc1	CHEMBL429498	pIC50=9.0
Cn1c(Nc2ccc(Br)cc2)nc3cc(Oc4ccnc(c4)C(=O)N)ccc13	CHEMBL470358	pIC50=9.0
NC(=O)c1cccc(Nc2nccc(n2)c3[nH]c(nc3c4cccc(NC(=O)Cc5ccc(Cl)cc5)c4)C6CC6)c1	CHEMBL254966	pIC50=9.3
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc4ncccc4c5ncnc6[nH]cnc56	CHEMBL1197798	pKi=9.52
