Cc1cccc(n1)c2nc(NCc3cccc(F)c3F)sc2c4ccc5ncnn5c4	CHEMBL2087982	pIC50=7.53
COc1cc(Nc2cc(Oc3ccc(C)nc3c4ccccn4)ccn2)cc(OC)c1OC	CHEMBL583964	pIC50=7.7
COc1cccc(c1)C2=C(N(C)N(C)C2=O)c3ccc4nccnc4c3	CHEMBL606376	pKi=7.7
Cc1cccc(n1)c2[nH]c(CNc3ccccc3C#N)nc2c4ccc5ncnn5c4	CHEMBL3260577	pIC50=7.7
Cc1cccc(n1)c2n[nH]cc2c3ccc4ncccc4n3	CHEMBL185238	pIC50=7.7
Cc1cccc(n1)c2nc(N)sc2c3ccc4ncccc4n3	CHEMBL360034	pIC50=7.7
Cc1csc(n1)c2nc(Nc3ccncc3)c4ccccc4n2	CHEMBL541777	pIC50=7.7
Nc1nc(c2cccc(Cl)c2)c(s1)c3ccc4ncccc4n3	CHEMBL365663	pIC50=7.7
Nc1nc(c2ccccn2)c(s1)c3ccc4ncccc4n3	CHEMBL181361	pIC50=7.7
Cc1cccc(n1)c2[nH]c(Cc3cccc(c3)C(=O)N)nc2c4ccc5nccnc5c4	CHEMBL492634	pIC50=7.71
Cc1cccc(n1)c2nc(NCc3cccc(OC(F)(F)F)c3)sc2c4ccc5ncnn5c4	CHEMBL2087970	pIC50=7.71
C(N1CCCC1)c2ccc(cc2)c3cc(ccn3)c4c[nH]nc4c5ccccn5	CHEMBL205570	pIC50=7.72
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(CN(C)C)cc3)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1272289	pIC50=7.72
CN1N(C)C(=C(C1=O)c2cccc(Cl)c2)c3ccc4nccnc4c3	CHEMBL592977	pKi=7.72
CN1N(C)C(=C(C1=O)c2cccc(NS(=O)(=O)C)c2)c3ccc4nccnc4c3	CHEMBL607429	pKi=7.72
COCCC(=O)Nc1nc(c2ccc(F)c(C)n2)c([nH]1)c3ccc4nccnc4c3	CHEMBL480731	pKi=7.72
Cc1cccc(n1)n2nc3CCCc3c2c4cc5ccncc5s4	CHEMBL3704655	pIC50=7.72
ClCCOc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL204575	pIC50=7.72
c1ccc(nc1)c2n[nH]cc2c3ccc4ncccc4n3	CHEMBL183354	pIC50=7.72
CN(C)CCNC(=O)Nc1ccc2c(ccnc2c1)c3c4CCCn4nc3c5ccccn5	CHEMBL565814	pIC50=7.75
Cc1cccc(n1)c2[nH]c(CNc3cc(CN4CCCC4)cc(c3)C#N)nc2c5ccc6ncnn6c5	CHEMBL3260902	pIC50=7.75
Cc1cccc(n1)c2[nH]c(CNc3cccc(C)c3C)nc2c4ccc5ncnn5c4	CHEMBL3260616	pIC50=7.75
Cc1cccc(n1)c2nn(CC(=S)Nc3cccc(c3)C#N)cc2c4ccc5ncnn5c4	CHEMBL3261096	pIC50=7.75
O=C(NC1CCOCC1)c2ccc(cc2)c3cc(ccn3)c4c[nH]nc4c5ccccn5	CHEMBL202887	pIC50=7.75
CCCS(=O)(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208015	pIC50=7.77
CCNC(=O)c1ccc2\C(=C\Nc3ccc(cc3)N(CCCN(C)C)C(=O)C)\C(=O)Nc2c1	CHEMBL1271965	pIC50=7.77
COC(=O)c1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260595	pIC50=7.77
Cc1cccc(n1)c2[nH]c(CNc3ccc(Br)cc3)nc2c4ccc5ncnn5c4	CHEMBL3260600	pIC50=7.77
Cc1cccc(n1)c2[nH]c(CNc3ccc(C)c(C)c3)nc2c4ccc5ncnn5c4	CHEMBL3260621	pIC50=7.77
Cc1cccc(n1)c2[nH]c(CNc3ccc(F)cc3)nc2c4ccc5ncnn5c4	CHEMBL3260598	pIC50=7.77
Cc1cccc(n1)c2nc(NCc3ccccc3C)sc2c4ccc5ncnn5c4	CHEMBL2087980	pIC50=7.77
Cc1csc(n1)c2nc(C)[nH]c2c3ccc4ncsc4c3	CHEMBL2207989	pIC50=7.77
NC(=O)c1ccc(cc1)c2nc(c3ccccn3)c([nH]2)c4ccc5OCOc5c4	CHEMBL440084	pKi=7.77
COc1cc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)cc(OC)c1	CHEMBL2088218	pIC50=7.78
CN1CCN(CC1)c2nc(c3ccc(F)c(C)n3)c([nH]2)c4ccc5ncnn5c4	CHEMBL480581	pKi=7.79
CC(C)c1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260586	pIC50=7.8
Cc1ccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)cc1	CHEMBL3260601	pIC50=7.8
Cc1cccc(n1)c2nc(NCc3ccc(Cl)cc3)sc2c4ccc5ncnn5c4	CHEMBL2087973	pIC50=7.8
Cc1cccc(n1)c2nc(Nc3ccncc3)c4c(C)csc4n2	CHEMBL564250	pIC50=7.8
Cc1cccc(n1)c2nc(NCc3ccccc3Cl)sc2c4ccc5ncnn5c4	CHEMBL2087979	pIC50=7.81
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5ccc(cc5)C(=O)N	CHEMBL1835533	pIC50=7.81
CC(=O)N1CCN(CC1)c2nc(c3ccc(F)c(C)n3)c([nH]2)c4ccc5ncnn5c4	CHEMBL480582	pKi=7.82
CC(=O)Nc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260597	pIC50=7.82
CCNC(=O)c1ccc2\C(=C\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)\C(=O)Nc2c1	CHEMBL1272020	pIC50=7.82
CCc1cccc(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5nccnc5c4	CHEMBL376119	pIC50=7.82
CN(C)CCCc1cccc(c1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL567706	pIC50=7.82
CN(C)CCOc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL424676	pIC50=7.82
CN(C)Cc1ccc(F)c(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260628	pIC50=7.82
Cc1cccc(n1)c2[nH]c(CNc3cc(Cl)cc(Cl)c3)nc2c4ccc5ncnn5c4	CHEMBL3260624	pIC50=7.82
Cc1cccc(n1)c2[nH]c(CNc3cccc(NS(=O)(=O)C)c3)nc2c4ccc5ncnn5c4	CHEMBL3260596	pIC50=7.82
Cc1cccc(n1)c2[nH]c(CNc3ccccc3NS(=O)(=O)C)nc2c4ccc5ncnn5c4	CHEMBL3260579	pIC50=7.82
Cc1cccc(n1)c2nc(NCc3cc(Cl)cc(Cl)c3)sc2c4ccc5ncnn5c4	CHEMBL2088213	pIC50=7.82
Cc1nc(ccc1F)c2nc([nH]c2c3ccc4ncnn4c3)N5CCOCC5	CHEMBL520104	pKi=7.82
CC(C)c1ccccc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5	CHEMBL3260572	pIC50=7.85
COc1cc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)cc(OC)c1	CHEMBL3260626	pIC50=7.85
COc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260587	pIC50=7.85
COc1ccccc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5	CHEMBL3260573	pIC50=7.85
Cc1cc(C)cc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260625	pIC50=7.85
Cc1cccc(n1)c2[nH]c(CNc3ccccc3C)nc2c4ccc5ncnn5c4	CHEMBL3260570	pIC50=7.85
Cc1cccc(n1)c2[nH]c(CNc3ccccc3C=C)nc2c4ccc5ncnn5c4	CHEMBL3260576	pIC50=7.85
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C(C)(C)C	CHEMBL2207994	pIC50=7.85
Cc1nc(ccc1F)c2[nH]c(CNc3cccc(C=C)c3)nc2c4ccc5ncnn5c4	CHEMBL3634801	pIC50=7.86
Cc1cccc(n1)c2nc(NCc3cccc(c3)C(=O)N)sc2c4ccc5ncnn5c4	CHEMBL2088219	pIC50=7.87
CC(=O)c1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260594	pIC50=7.89
CCCCNCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208005	pIC50=7.89
CN1C=Nc2ccc(cc2C1=O)c3ccnn3c4cccc(C)n4	CHEMBL2024684	pIC50=7.89
Cc1cccc(n1)c2[nH]c(CNc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL3260566	pIC50=7.89
Cc1cccc(n1)c2[nH]c(COc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL3260564	pIC50=7.89
Cc1cccc(n1)c2nn(CC(=S)Nc3ccccc3)cc2c4ccc5nccnc5c4	CHEMBL1824440	pIC50=7.89
Cc1cccc(n1)n2nc3CCCc3c2c4cc5cnccc5s4	CHEMBL3704652	pIC50=7.89
Cc1nc(ccc1F)c2[nH]c(CNc3ccccc3F)nc2c4ccc5ncnn5c4	CHEMBL3634712	pIC50=7.9
C(CN1CCOCC1)Oc2ccc(cc2)c3cc(ccn3)c4c[nH]nc4c5ccccn5	CHEMBL205158	pIC50=7.92
CCNC(=O)CCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208008	pIC50=7.92
CN(C)C(=O)c1ccc(Nc2cc(Oc3cc(C)c(C)nc3c4ccccn4)ccn2)cc1	CHEMBL575923	pIC50=7.92
CN1N(C)C(=C(C1=O)c2cccc(Br)c2)c3ccc4nccnc4c3	CHEMBL595556	pKi=7.92
CN1N(C)C(=C(C1=O)c2cccc(C=C)c2)c3ccc4nccnc4c3	CHEMBL593708	pKi=7.92
Cc1ccc(F)c(n1)c2[nH]c(CNc3ccccc3F)nc2c4ccc5ncnn5c4	CHEMBL3634705	pIC50=7.92
Cc1cccc(n1)c2[nH]c(CNc3cccc(C=C)c3)nc2c4ccc5ncnn5c4	CHEMBL3260590	pIC50=7.92
Cc1cccc(n1)c2[nH]c(CNc3cccc(Cl)c3Cl)nc2c4ccc5ncnn5c4	CHEMBL3260615	pIC50=7.92
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C#N)nc2c4ccc5nccnc5c4	CHEMBL387748	pIC50=7.92
Cc1cccc(n1)c2[nH]c(CNc3ccccc3OC(F)(F)F)nc2c4ccc5ncnn5c4	CHEMBL3260574	pIC50=7.92
Cc1cccc(n1)c2sc(NCc3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4	CHEMBL2088223	pIC50=7.92
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCCCC5	CHEMBL2207999	pIC50=7.92
COc1cccc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)c1	CHEMBL2087969	pIC50=7.94
Cc1cccc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)c1	CHEMBL2087968	pIC50=7.95
Cc1cccc(n1)c2nc(NCc3ccccc3)sc2c4ccc5ncnn5c4	CHEMBL2087965	pIC50=7.95
CCCCCOC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208021	pIC50=7.96
CCNC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208014	pIC50=7.96
CCc1ccccc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5	CHEMBL3260571	pIC50=7.96
CN(C)Cc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1F	CHEMBL3260629	pIC50=7.96
CN1N(C)C(=C(C1=O)c2ccccn2)c3ccc4nccnc4c3	CHEMBL593725	pKi=7.96
Cc1ccc(F)c(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4	CHEMBL3634707	pIC50=7.96
Cc1cccc(n1)c2[nH]c(CNc3ccc(Cl)cc3)nc2c4ccc5ncnn5c4	CHEMBL3260599	pIC50=7.96
Cc1cccc(n1)c2[nH]c(CNc3cccc(CC#N)c3)nc2c4ccc5ncnn5c4	CHEMBL3260593	pIC50=7.96
Nc1nc(c2ccc(F)cc2)c(s1)c3ccc4ncccc4n3	CHEMBL361237	pIC50=7.96
Cc1nc(ccc1F)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4	CHEMBL3634800	pIC50=7.97
Cc1cccc(n1)c2nc(NCc3ccccc3F)sc2c4ccc5ncnn5c4	CHEMBL2087978	pIC50=7.98
Cc1cccc(n1)c2nc(NCc3cccc(Cl)c3)sc2c4ccc5ncnn5c4	CHEMBL2087967	pIC50=7.99
CC(C)c1nc(c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(s1)c4ccnc(Nc5ccc(nc5)N6CCOCC6)n4	CHEMBL1808264	pIC50=8.0
CSc1ccccc1NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5	CHEMBL3260575	pIC50=8.0
Cc1cccc(n1)c2[nH]c(CNc3ccc(F)c(F)c3)nc2c4ccc5ncnn5c4	CHEMBL3260619	pIC50=8.0
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5nccnc5c4	CHEMBL229599	pIC50=8.0
Cc1cccc(n1)c2nn(cc2c3ccc4ncnn4c3)C(=S)Nc5cccc(OC(F)(F)F)c5	CHEMBL1835523	pIC50=8.0
Cc1ccc(F)c(n1)c2[nH]c(CNc3cccc(C=C)c3)nc2c4ccc5ncnn5c4	CHEMBL3634708	pIC50=8.01
Cc1ccc(F)c(n1)c2[nH]c(CNc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL3634704	pIC50=8.01
Cc1cccc(n1)c2nc(NCc3cccc(c3)C#N)sc2c4ccc5ncnn5c4	CHEMBL2087971	pIC50=8.03
Cc1csc(n1)c2nc(CNC(=O)OCC(C)(C)C)[nH]c2c3ccc4ncsc4c3	CHEMBL2208238	pIC50=8.03
CCCCOC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208020	pIC50=8.04
Cc1ccc(F)c(n1)c2[nH]c(CNc3cccc(c3)C#N)nc2c4ccc5ncnn5c4	CHEMBL3634706	pIC50=8.04
Cc1nc(ccc1F)c2[nH]c(CNc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL3634711	pIC50=8.04
CC(C)Cc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2207993	pIC50=8.05
CCCC(=O)CCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208006	pIC50=8.05
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCCN(C)C)C(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1271796	pIC50=8.05
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	CHEMBL1271853	pIC50=8.05
CCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2207990	pIC50=8.05
Cc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260584	pIC50=8.05
Cc1cccc(n1)c2[nH]c(CNc3cccc(F)c3)nc2c4ccc5ncnn5c4	CHEMBL3260581	pIC50=8.05
Cc1cccc(n1)c2[nH]c(CNc3cccc(F)c3F)nc2c4ccc5ncnn5c4	CHEMBL3260614	pIC50=8.05
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4	CHEMBL3260592	pIC50=8.05
Cc1cccc(n1)c2[nH]c(CNc3ccccc3Cl)nc2c4ccc5ncnn5c4	CHEMBL3260568	pIC50=8.05
Cc1cccc(n1)c2nc(NCc3cc(F)cc(F)c3)sc2c4ccc5ncnn5c4	CHEMBL2087984	pIC50=8.05
CCC(=O)Nc1nc(c2ccc(F)c(C)n2)c([nH]1)c3ccc4nccnc4c3	CHEMBL521441	pKi=8.06
Cc1ccc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)cc1	CHEMBL2087974	pIC50=8.06
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CC5	CHEMBL2207997	pIC50=8.06
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCCC5	CHEMBL2207998	pIC50=8.06
Cc1csc(n1)c2nc[nH]c2c3ccc4ncsc4c3	CHEMBL2207988	pIC50=8.06
CC(C)OC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208022	pIC50=8.07
Cc1cccc(n1)c2nc(NCc3ccc(F)cc3)sc2c4ccc5ncnn5c4	CHEMBL2087972	pIC50=8.07
Cc1csc(n1)c2nc(CCCCC(=O)N)[nH]c2c3ccc4ncsc4c3	CHEMBL2208010	pIC50=8.08
CC(C)c1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2207992	pIC50=8.09
CCCC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL1957675	pIC50=8.09
CCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2207991	pIC50=8.09
Cc1cccc(n1)c2[nH]c(CNc3cccc(C#N)c3CN4CCOCC4)nc2c5ccc6ncnn6c5	CHEMBL3260899	pIC50=8.09
Cc1csc(n1)c2nc(CN3CCOC3=O)[nH]c2c4ccc5ncsc5c4	CHEMBL2208017	pIC50=8.09
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCN(C)C)C(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1272291	pIC50=8.1
CCc1cccc(NCc2nc(c3ccc4ncnn4c3)c([nH]2)c5cccc(C)n5)c1	CHEMBL3260585	pIC50=8.1
Cc1cccc(n1)c2[nH]c(CNc3ccc(Cl)c(Cl)c3)nc2c4ccc5ncnn5c4	CHEMBL3260620	pIC50=8.1
Cc1cccc(n1)n2ncc(C)c2c3cc4ccncc4s3	CHEMBL3704654	pIC50=8.1
COC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208018	pIC50=8.11
Cc1nc(ccc1F)c2[nH]c(CNc3cccc(c3)C#N)nc2c4ccc5ncnn5c4	CHEMBL3634799	pIC50=8.12
Cc1cccc(n1)c2nc(NCc3ccc(F)c(F)c3)sc2c4ccc5ncnn5c4	CHEMBL2087983	pIC50=8.13
CCCOC(=O)NCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208019	pIC50=8.14
CCNC(=O)OCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208011	pIC50=8.14
COCC(=O)Nc1nc(c2ccc(F)c(C)n2)c([nH]1)c3ccc4nccnc4c3	CHEMBL479262	pKi=8.14
CC(=O)Nc1nc(c2ccc(F)c(C)n2)c([nH]1)c3ccc4nccnc4c3	CHEMBL519939	pKi=8.15
Cc1cccc(n1)c2nc(NCc3cccc(F)c3)sc2c4ccc5ncnn5c4	CHEMBL2087966	pIC50=8.15
CCCCCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2207995	pIC50=8.16
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	CHEMBL1269806	pIC50=8.16
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCN(C)C)S(=O)(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1272182	pIC50=8.16
