CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	ceritinib	pIC50=9.69896984	pIC50=9.69896984	pIC50=9.69896984	pIC50=7.54
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	alectinib	pIC50=8.72124672	pIC50=8.72124672	pIC50=8.72124672	pIC50=7.72
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	crizotinib	pKi=9.13	pKi=9.13	pKi=9.13	pIC50=7.55
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C	CHEMBL2403827	pIC50=7.53
C[C@@H](Oc1cc(cnc1N)c2ccn(n2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl	CHEMBL3734798	pIC50=7.63
CC(C)Oc1cc(C2CCN(CCS(=O)(=O)C)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651861	pIC50=7.64
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)[C@@H]4CCCN4C)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651838	pIC50=7.64
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC(CF)CF)C4CCN(C)CC4)ncc2Cl	CHEMBL3604637	pIC50=7.64
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1NC(=O)CN5C[C@@H]6C(CO)[C@@H]6C5	CHEMBL3735241	pIC50=7.64
COc1ncccc1c2c(sc3cnc(Nc4cccc(N5CCN(C)CC5)c4OC(C)C)nc23)C(=O)N	CHEMBL3669149	pIC50=7.64
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5ccccc5)c34	CHEMBL1922961	pIC50=7.64
CC(C)Oc1cc(C2CCN(CC2)C(=O)Cn3cccn3)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4	CHEMBL3651849	pIC50=7.66
CC(C)S(=O)(=O)c1nc(C)sc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3787297	pIC50=7.66
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3C(F)(F)F)C4CCN(C)CC4)ncc2Cl	CHEMBL3604639	pIC50=7.66
COCCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1	CHEMBL1796247	pIC50=7.66
COc1ccccc1Nc2nc(Nc3ccc(cc3)N4CCN(C)CC4)ncc2Cl	CHEMBL1946608	pIC50=7.66
C[C@@H](Oc1cc(cnc1N)c2cn(C)nc2C)c3cc(F)ccc3C(=O)N(C)C	CHEMBL3286810	pKi=7.66
Nc1ncc2cc1OCc3cc(F)ccc3OCCc4n[nH]c(C#N)c24	CHEMBL3286814	pIC50=7.66
CC(C)Oc1cc(C2CCN(CCC(=O)N3CCC3)CC2)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4	CHEMBL3651865	pIC50=7.68
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)C4CNC4)c3)ncc2Cl	CHEMBL3352867	pIC50=7.68
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1NC(=O)N5CCC(CC5)C(C)(C)O	CHEMBL3735811	pIC50=7.68
CNC(=O)CN1CCC(CC1)c2cc(OC(C)C)c(Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3)cc2C	CHEMBL3651856	pIC50=7.68
COCCN[C@H]1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)c(OC)c2CC1	CHEMBL2064662	pIC50=7.68
COc1cc2c(CCC(O)C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786270	pIC50=7.68
COc1cc2c(CC\C(=N/NC(=O)C)\C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3785497	pIC50=7.68
C[C@H]1Oc2cc(cnc2N)c3c(CCCOc4ccc(F)cc14)nn(C)c3C#N	CHEMBL3286819	pIC50=7.68
C[C@H]1Oc2cc(cnc2N)c3c(CN(C)C(=O)c4ccc(F)cc14)nn(C)c3C#N	CHEMBL3286830	pIC50=7.68
C[C@H]1Oc2cc(cnc2N)c3cc(ccc3CN(C)C(=O)c4ccc(F)cc14)S(=O)(=O)C	CHEMBL3286827	pIC50=7.68
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5c(F)cccc5Cl)c34	CHEMBL1922972	pIC50=7.68
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651854	pIC50=7.7
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604631	pIC50=7.7
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)[C@@H]5CC[C@@H](CC5)NC6CC6)ncc2Cl	CHEMBL3786818	pIC50=7.7
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)[C@@H]5CC[C@H](CC5)NS(=O)(=O)C)ncc2Cl	CHEMBL3787494	pIC50=7.7
CCN([C@@H]1CCCC[C@H]1Nc2nc(Nc3cc4CCN(CCOC)CCc4cc3OC)ncc2Cl)S(=O)(=O)C	CHEMBL1796258	pIC50=7.7
CNS(=O)(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl	CHEMBL2042694	pIC50=7.7
COc1c2CCC(CCc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(C)CC6	CHEMBL2064722	pIC50=7.7
COc1c2CC[C@H](CCc2ccc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCOCC6	CHEMBL2064666	pIC50=7.7
COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)N5CCN(C)CC5)nn23	CHEMBL1822515	pIC50=7.7
C[C@H]1Oc2cc(cnc2N)c3c(CCOc4ccc(F)cc14)nn(C)c3C#N	CHEMBL3286818	pIC50=7.7
Cc1nnsc1C2=NNC(=O)/C/2=C\c3cn(C)c4cccc(OCc5cccc(F)c5)c34	CHEMBL1922968	pIC50=7.7
CC(C)Oc1cc(C2CCN(CC2)[C@H]3CCS(=O)(=O)C3)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4	CHEMBL3651873	pIC50=7.72
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CCCN)c3)ncc2Cl	CHEMBL3357450	pIC50=7.72
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCOCC5)ncc2Cl	CHEMBL3786171	pIC50=7.72
CC(C)S(=O)(=O)c1sc(C)nc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3786916	pIC50=7.72
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCNCC(=C)c4c3)ncc2Cl	CHEMBL3263973	pIC50=7.72
COc1cc(Nc2nccc(n2)N3CCC[C@@H](C3)C(=O)NCc4cccc(c4)c5ccccc5)cc(OC)c1OC	CHEMBL2023998	pIC50=7.72
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4C#N)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158513	pIC50=7.72
C[C@H](c1ccc2[nH]nc(NC(=O)c3ccc(cc3NC4CCOCC4)N5CCN(C)CC5)c2c1)c6cc(F)cc(F)c6	CHEMBL3805214	pIC50=7.72
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCOCC5	CHEMBL1779197	pIC50=7.73
CC(C)Oc1cc(C2CCN(CC2)C(=O)CCN(C)C)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651876	pIC50=7.75
CC(C)Oc1cc(C2CCN(CC2)[C@@H]3CCS(=O)(=O)C3)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4	CHEMBL3651874	pIC50=7.75
CC(C)Oc1cc(C2CCN(CCC(=O)N)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651864	pIC50=7.75
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4CCOCC4)c3)ncc2Cl	CHEMBL3357453	pIC50=7.75
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3nc4CCN(CC5CCOCC5)CCc4s3)ncc2Cl	CHEMBL3330858	pIC50=7.75
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2F	CHEMBL3787598	pIC50=7.75
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)[C@@H]5CC[C@H](CC5)N6CCN(CC6)C(=O)C)ncc2Cl	CHEMBL3787658	pIC50=7.75
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)[C@@H]5CC[C@H](CC5)NC6CC6)ncc2Cl	CHEMBL3785665	pIC50=7.75
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC6CCOCC6)CC5	CHEMBL3735648	pIC50=7.75
CCOC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172324	pIC50=7.75
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1C5=CCN(CC5)C(=O)C6CCOCC6	CHEMBL3736388	pIC50=7.75
CN1C(=O)CCCc2cc(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)ccc12	CHEMBL2042695	pIC50=7.75
COc1cc2c(CC\C(=N/NC(=N)N)\C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786763	pIC50=7.75
Fc1cc(F)cc(Cc2ccc3[nH]nc(NC(=O)c4ccc(CN5CCCCC5)cc4NC6CCOCC6)c3c2)c1	CHEMBL3806112	pIC50=7.75
NC(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172327	pIC50=7.75
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cc(C)c(cc3OC4CCC4)C5CCNCC5)ncc2Cl	CHEMBL2403848	pIC50=7.76
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(CC(=O)N(C)C)c5	CHEMBL3735401	pIC50=7.76
CC(=O)N1CCN(CC1)c2cc(ccn2)c3cnc4NCCN(Cc5cc(Cl)ccc5C(F)(F)F)c4c3	CHEMBL1163565	pIC50=7.77
CC(C)Oc1cc(ccc1Nc2ncc3sc(C(=O)N)c(c4ccoc4C)c3n2)C5CCN(C)CC5	CHEMBL3669140	pIC50=7.77
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3ccc(cc3)C4CCNCC4)nc5n[nH]c(C)c25	CHEMBL3651870	pIC50=7.77
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OCC4CC4)C5CCNCC5)ncc2Cl	CHEMBL3604635	pIC50=7.77
CCN(CC)[C@@H]1CC[C@@H](CC1)c2cc(OC3CC3)c(Nc4ncc(Cl)c(Nc5cn(C)nc5S(=O)(=O)C(C)C)n4)cc2C	CHEMBL3786173	pIC50=7.77
CCc1nc(C(=O)N)c(Nc2ccc(cc2)N3CCOCC3)nc1N[C@@H]4CC[C@@H](O)CC4	CHEMBL3687199	pIC50=7.77
CCc1nc(C(=O)N)c(Nc2cccc(c2)S(=O)(=O)C)nc1N[C@@H]3CC[C@@H](O)CC3	CHEMBL3687188	pIC50=7.77
CNC(=O)c1ccccc1Nc2nc(Nc3cc4CCCCCN(C)CCc4cc3OC)ncc2Cl	CHEMBL3263977	pIC50=7.77
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)C\C(=C/C)\c4c3)ncc2Cl	CHEMBL3263975	pIC50=7.77
COc1cc2CCC(CCc2cc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCN(C)CC6	CHEMBL2064723	pIC50=7.77
COc1ncccc1c2c(sc3cnc(Nc4cc(C)c(cc4OC(C)C)n5ccnc5C)nc23)C(=O)N	CHEMBL3669145	pIC50=7.77
C[C@@H]1Oc2cc(cnc2N)c3c(C)nn(C)c3CN(C)C(=O)c4ccc(F)cc14	CHEMBL3286821	pKi=7.77
C[C@@H]1Oc2nc(cnc2N)c3c(C)nn(C)c3CN(C)C(=O)c4ccc(F)cc14	CHEMBL3286824	pKi=7.77
Cn1cc(\C=C\2/C(=O)NN=C2c3nccs3)c4c(OCc5cc(F)ccc5F)cccc14	CHEMBL1922987	pIC50=7.77
Oc1ccc(cc1)C2C(=O)Nc3ccccc3c4ccnc5[nH]cc2c45	CHEMBL584052	pKi=7.77
CC(C)Oc1cc(C2CCN(CC(=O)N)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL2403841	pIC50=7.78
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC5)C(=O)C6COCCN6	CHEMBL3735587	pIC50=7.78
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)C5CCN(CC6(O)CCOCC6)CC5	CHEMBL3736267	pIC50=7.79
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCC(CC5)N6CCOCC6	CHEMBL1940180	pIC50=7.8
CNC(=O)c1ccc(F)cc1[C@@H](C)Oc2nc(cnc2N)c3cccnc3OC	CHEMBL3286812	pIC50=7.8
COc1cc(Nc2nccc(n2)N3CCC[C@@H](C3)C(=O)NCc4cccc(OC(F)(F)F)c4)cc(OC)c1OC	CHEMBL2023556	pIC50=7.8
COc1cc2CCC(CCc2cc1Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)N6CCOCC6	CHEMBL2064667	pIC50=7.8
COc1cc2CC\C(=N/NC(=N)N)\C(C)(C)c2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3785093	pIC50=7.8
COc1cc2CC\C(=N/NC(=O)N)\C(C)(C)c2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3785115	pIC50=7.8
COc1ccccc1c2nc3c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)c(Cl)cnc3[nH]2	CHEMBL3218848	pIC50=7.8
C[C@@H](Oc1cc(cnc1N)c2c[nH]nc2C)c3cc(F)ccc3F	CHEMBL3128071	pKi=7.8
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(c5)C6CCNCC6	CHEMBL3736273	pIC50=7.81
CC(C)Oc1cc(C2CCN(CCC(=O)N(C)C)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651866	pIC50=7.82
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN)c3)ncc2Cl	CHEMBL3357439	pIC50=7.82
CC(C)S(=O)(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OCC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3604636	pIC50=7.82
CCCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCN(CC5)C6COC6	CHEMBL1823222	pIC50=7.82
CN(C)CCN(C)C(=O)c1ccc(C(=O)Nc2n[nH]c3ccc(Cc4cc(F)cc(F)c4)cc23)c(NC5CCOCC5)c1	CHEMBL3805741	pIC50=7.82
CN1CCC(CC1)Nc2cc(ccc2C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)N6CCN(C)CC6	CHEMBL3805020	pIC50=7.82
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4N(C)C(=O)CCCc4c3)ncc2Cl	CHEMBL1644799	pIC50=7.82
COCCN1CCc2cc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4N(C)S(=O)(=O)C)n3)c(OC)cc2CC1	CHEMBL1796257	pIC50=7.82
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)C5CCN(CC(=O)N)CC5	CHEMBL2158516	pIC50=7.82
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C[C@@H](C)O)CC5	CHEMBL1822526	pIC50=7.82
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)[C@@]5(O)CCN(CC(=O)N)C[C@@H]5O	CHEMBL3398170	pIC50=7.82
COc1cc(ccc1Nc2ncc3ccc(c4ccccc4OC)n3n2)[C@@H]5CCN(CC(=O)N)C[C@@H]5O	CHEMBL3398173	pIC50=7.82
COc1cc2CC(=O)NCCc2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3608521	pIC50=7.82
COc1ncncc1c2cnc(N)c(O[C@H](C)c3cc(F)ccc3n4nccn4)c2	CHEMBL3128062	pKi=7.82
Fc1ccc(F)c(CN2CCNc3ncc(cc23)c4ccc(cc4)C(=O)N5CCC[C@H]5CN6CCCC6)c1	CHEMBL1165318	pIC50=7.82
Nc1ncc2cc1OCc3cc(F)ccc3OCCCc4n[nH]c(C#N)c24	CHEMBL3286815	pIC50=7.82
CC(C)[C@H](N)C(=O)Nc1cccc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c1	CHEMBL3357445	pIC50=7.83
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL2403843	pIC50=7.84
CC(C)Oc1cc(C2CCN(CC(=O)N)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3	CHEMBL3651855	pIC50=7.85
CCN1C(=O)CCCc2c(OC)c(Nc3ncc(Cl)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)ccc12	CHEMBL2042829	pIC50=7.85
CN1CCN(CC1)c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NCCF)c2	CHEMBL3805899	pIC50=7.85
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)CC(c5ccccc5)c4c3)ncc2Cl	CHEMBL3263970	pIC50=7.85
COc1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc4sc(C(=O)N)c(c5ccccc5)c4n3	CHEMBL3669135	pIC50=7.85
COc1cc(N2CCN(C[C@H](C)O)CC2)c(F)cc1Nc3ncc4ccc(c5ccccc5N(C)S(=O)(=O)C)n4n3	CHEMBL2158521	pIC50=7.85
C[C@@H](Oc1cc(cnc1N)c2cn(C)nc2C)c3cc(F)ccc3n4nccn4	CHEMBL3128075	pIC50=7.85
