O=C(N[C@@H]1CCN(C1)C#N)Nc2ccccc2	CHEMBL1672424	pIC50=6.0
O=C(N[C@@H](Cc1ccc(cc1)c2ccnnc2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658553	pIC50=6.91
CC(=C)c1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1	CHEMBL3658484	pIC50=6.92
CC(C)S(=O)(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658504	pIC50=6.92
CCS(=O)(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658505	pIC50=6.92
CN1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658479	pIC50=6.92
CC(C)Oc1ccc(nc1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658576	pIC50=6.93
NC(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695343	pIC50=6.93
COc1ncc(cn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658527	pIC50=6.95
C=Cc1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1	CHEMBL3658480	pIC50=6.96
CS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695342	pIC50=6.96
CS(=O)(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658506	pIC50=6.98
Clc1ccc(nc1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658574	pIC50=6.98
CN1C(=O)Cc2ccc(cc12)c3ccc4oc(CC(NC(=O)[C@H]5N[C@@H]6CC[C@H]5C6)C#N)cc4c3	CHEMBL3657567	pKi=6.99
NS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695340	pIC50=6.99
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3NC(=O)Cc3c2)C#N)[C@H]4NC5CCC4CC5	CHEMBL3695341	pIC50=6.99
CCC[C@H](N)C(=O)N[C@@H](CCc1ccccc1)\C=C\S(=O)(=O)c2ccccc2	CHEMBL514348	pIC50=7.0
CN1Cc2ccc(cc2C1)c3ccc(C[C@H](NC(=O)[C@H]4NC5CCC4CC5)C#N)c(F)c3	CHEMBL3695351	pIC50=7.01
CS(=O)(=O)N1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658494	pIC50=7.01
CS(=O)(=O)Nc1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695339	pIC50=7.01
CC[C@H](N)C(=O)N[C@@H](Cc1ccc(Cl)cc1)C#N	CHEMBL209998	pIC50=7.02
Cn1ccc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658586	pIC50=7.05
Cn1cnc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658566	pIC50=7.05
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3C(=O)NCc3c2)C#N)[C@H]4NC5CCC4CC5	CHEMBL3695338	pIC50=7.06
CN1C(=O)Oc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@H]5C[C@@H]4[C@@H]6C[C@H]56)C#N)c(F)c3	CHEMBL3662643	pIC50=7.08
Fc1c(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)ccc4CC(CCc14)N5CCOCC5	CHEMBL3667399	pIC50=7.08
CN1CCN(CC1=O)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658493	pIC50=7.11
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(cc2)c3cc[nH]n3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658570	pIC50=7.12
CS(=O)(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695337	pIC50=7.13
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CCC(=O)c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658545	pIC50=7.13
CN1Cc2cc(ccc2S1(=O)=O)c3ccc(C[C@H](NC(=O)[C@H]4NC5CCC4CC5)C#N)c(F)c3	CHEMBL3695353	pIC50=7.14
O=C(NC(Cc1cc2cc(ccc2s1)c3ccccc3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3657570	pKi=7.14
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(cc2)C#N)C#N)[C@H]3NC4CCC3CC4	CHEMBL3695336	pIC50=7.14
CN1Cc2ccc(cc2C1=O)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658606	pIC50=7.15
COCc1onc(n1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658584	pIC50=7.15
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695335	pIC50=7.15
O=C(N[C@@H](Cc1ccc(cc1)N2CCN(CC2)C(=O)C3CC3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658491	pIC50=7.15
Oc1ccc(cn1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658572	pIC50=7.16
COC1(C)C(=O)N(C)c2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658605	pIC50=7.17
F[C@H]1C[C@@H]2C[C@H]1[C@H](N2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccc(C#N)c(F)c4)C#N	CHEMBL3658518	pIC50=7.18
Fc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3CC4)C#N)cc2	CHEMBL3695334	pIC50=7.18
Brc1ccc2oc(CC(NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2c1	CHEMBL3657565	pKi=7.19
CC(=Cc1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1)C	CHEMBL3658488	pIC50=7.19
CCc1onc(n1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658583	pIC50=7.19
COCc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658498	pIC50=7.19
COc1cccc(c1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658501	pIC50=7.19
CC1(C)CC1(NC(=O)[C@@H](N)Cc2cccs2)C#N	CHEMBL1078313	pIC50=7.2
CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N	CHEMBL212521	pIC50=7.2
C[S+]([O-])C1=CC(=O)N(C=C1F)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667315	pIC50=7.2
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc(nc5)C#N	CHEMBL3662656	pIC50=7.2
O=C(N[C@@H](Cc1ccc(cc1)N2CCN3C(CCC3=O)C2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658496	pIC50=7.2
CN(C)C(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662724	pIC50=7.21
CN1C(=O)Cc2ccc(cc12)c3csc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c3F	CHEMBL3657572	pKi=7.21
O=C(NC(Cc1oc2ccc(cc2c1)c3ccccc3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3657568	pKi=7.21
Cn1ncc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@H]5C[C@@H]4[C@@H]6C[C@H]56)C#N)c(F)c3	CHEMBL3662651	pIC50=7.22
O[C@H]1C[C@@H]2C[C@H]1[C@H](N2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccc(C#N)c(F)c4)C#N	CHEMBL3658604	pIC50=7.22
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CNC(=O)c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658560	pIC50=7.24
CN1CCC(C)(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667370	pIC50=7.25
CN1C(=O)Cc2ccc(cc12)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(O)c3	CHEMBL3662634	pIC50=7.26
COc1ccc(cc1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658499	pIC50=7.26
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@H]3C[C@@H]2[C@@H]4C[C@H]34)C#N)c5ccc(Cl)nc5	CHEMBL3662659	pIC50=7.27
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CCNC(=O)c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658549	pIC50=7.27
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4NC5CCC4CC5)C#N)cc3	CHEMBL3695333	pIC50=7.28
Oc1cccc(n1)c2ccc(F)c(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c2	CHEMBL3667366	pIC50=7.28
COc1ccccc1c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(F)c3	CHEMBL3662633	pIC50=7.29
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)C=[N+]=[N-]	CHEMBL448143	pIC50=7.29
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@]45CCO[C@@H](CN4)C5)C#N)cc3	CHEMBL3702571	pIC50=7.3
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)cc3	CHEMBL3702570	pIC50=7.3
CN1Cc2ccc(cc2C1=O)c3ccc(C[C@H](NC(=O)C4(N)CCOCC4)C#N)cc3	CHEMBL3261928	pIC50=7.3
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CC(=O)Nc3c2)C#N)[C@H]4NC5CCC4CC5	CHEMBL3695331	pIC50=7.3
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)c4ccc(cc4)C(=O)N5CCCCC5	CHEMBL3662723	pIC50=7.31
O=C(N[C@@H](Cc1ccc(cc1)c2cccc3NC(=O)Cc23)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658603	pIC50=7.33
O=C(N[C@@H](Cc1ccc(cc1)n2cc(nn2)c3cccnc3)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658520	pIC50=7.33
O=C(NC(Cc1ccc2c(CCc3ccccc23)c1)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662722	pIC50=7.34
Cn1cc(c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2)c(n1)C(F)(F)F	CHEMBL3662632	pIC50=7.35
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4CCCN(C4)C5CCOC5	CHEMBL3667386	pIC50=7.35
COc1ncc(cn1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658580	pIC50=7.36
CS(=O)(=O)C1=CC(=O)N(C=C1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667316	pIC50=7.36
NC(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662644	pIC50=7.36
O=C(NC(Cc1ccc2c(cnc3ccccc23)c1)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3667365	pIC50=7.37
CC(C)Oc1ccc(cc1)c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658579	pIC50=7.38
CN1C(=O)Cc2ccc(cc12)c3csc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c3	CHEMBL3657574	pKi=7.38
CN1C(=O)C(C)(C)c2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCC(CC4)CN5)C#N)c(F)c3	CHEMBL3702589	pIC50=7.39
COc1cccc(n1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658544	pIC50=7.39
CN1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662631	pIC50=7.4
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@@H]4C[C@@H](O)CCN4)C#N)cc3	CHEMBL3261923	pIC50=7.4
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)C4=CC(=O)NC=C4	CHEMBL3667307	pIC50=7.4
Fc1cc(ccc1C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)n4cc(cn4)C(=O)N5CCOCC5	CHEMBL3667336	pIC50=7.4
O=C(N[C@@H](Cc1ccc(cc1)c2ccc(cc2)C#N)C#N)[C@@H]3CCCCN3	CHEMBL3261919	pIC50=7.4
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3CNS(=O)(=O)c3c2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658602	pIC50=7.4
CN(C)C(=O)c1cnn(c1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3667335	pIC50=7.41
