CCOCCN1C(=NC2=C1C=CC=C2)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1	bilastine	pKi=7.19382	pKi=7.19382	pKi=7.19382
CC(OCCN1CCCCCC1)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	setastine
CN(C)CCN1N=C(CC2=CC=CC=C2)C2=C(C=CC=C2)C1=O	talastine
CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=C1	moxastine
CCOCCN1C(=NC2=C1C=CC=C2)N1CCCN(C)CC1	emedastine	pKi=8.8860569	pKi=8.8860569	pKi=8.8860569
CCC(=O)C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1	propiomazine
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pKi=9.6198	pKi=9.6198	pKi=9.6198	pIC50=8.27
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.9586	pKi=7.9586	pKi=7.9586
CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2	olopatadine	pKi=8.284	pKi=8.284	pKi=8.284
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1	loratadine	pKi=6.97	pKi=6.97	pKi=6.97	pKi=7.43
OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	levocetirizine	pKi=7.95	pKi=7.95	pKi=7.95	pKi=7.3
[H][C@@]1(C)CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@@]1([H])CC[C@](CC1)(C#N)C1=CC=C(F)C=C1	levocabastine	pKi=7.279	pKi=7.279	pKi=7.279
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1	ketotifen	pKi=9.5086	pKi=9.5086	pKi=9.5086	pIC50=8.93
OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	hydroxyzine	pKi=8.699	pKi=8.699	pKi=8.699
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	fexofenadine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.11
[H]C12CN=C(N)N1C1=C(CC3=C2C=CC=C3)C=CC=C1	epinastine	pKi=8.9	pKi=8.9	pKi=8.9
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKi=9.75	pKi=9.75	pKi=9.75	pIC50=9.24
CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1	diphenylpyraline	pKi=8.0757	pKi=8.0757	pKi=8.0757
CN(C)CCOC(c1ccccc1)c2ccccc2	diphenhydramine	pKi=7.81	pKi=7.81	pKi=7.81	pKi=7.7
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=9.4	pKi=9.4	pKi=9.4	pIC50=8.0
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pKi=10.2218	pKi=10.2218	pKi=10.2218	pIC50=8.43
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pKi=8.585	pKi=8.585	pKi=8.585	pIC50=9.38
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2	chlorphenamine	pKi=8.15	pKi=8.15	pKi=8.15	pIC50=7.18
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	cetirizine	pKi=7.91	pKi=7.91	pKi=7.91	pKi=7.3
CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1	bromazine	pKi=8.8861	pKi=8.8861	pKi=8.8861
CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O	azelastine	pKi=8.1675	pKi=8.1675	pKi=8.1675
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1	acrivastine	pIC50=7.16	pIC50=7.16	pIC50=7.16
NCCc1c[nH]cn1	histamine	pKi=4.1	pKi=4.1	pKi=4.1	pEC50=7.89
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2	brompheniramine	pKi=8.21752739	pKi=8.21752739	pKi=8.21752739
CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1	dexbrompheniramine
OC(=O)CCCN1CCC(CC1)O[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1	bepotastine
CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2	azatadine
CN1CCN(CC1)C(c2ccccc2)c3ccccc3	cyclizine	pKi=8.35261703	pKi=8.35261703	pKi=8.35261703	pIC50=7.42
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.43179828	pKi=7.43179828	pKi=7.43179828	pKi=7.43
[H]C(CCN(C)C)(C1=CC=CC=C1)C1=NC=CC=C1	pheniramine
CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1	tripelennamine	pIC50=7.4	pIC50=7.4	pIC50=7.4	pIC50=7.4
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1	antazoline
CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1	doxylamine
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1	triprolidine	pKi=9.9	pKi=9.9	pKi=9.9	pKi=8.8
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	mepyramine	pKi=9.1	pKi=9.1	pKi=9.1	pIC50=7.9
[H]C(OCCN(C)C)(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	carbinoxamine
CN1CCC(CN2C3=CC=CC=C3SC3=C2C=CC=C3)C1	methdilazine
CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	alimemazine
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4	terfenadine	pKi=8.699	pKi=8.699	pKi=8.699	pKi=7.24
O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	oxatomide	pKi=7.699	pKi=7.699	pKi=7.699
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5	mizolastine	pKi=8.84	pKi=8.84	pKi=8.84	pKi=8.57
CN1CCC2=C(C1)C1=C(C=CC=C1)N2CC1=CC=CC=C1	mebhydrolin	pKi=7.1192	pKi=7.1192	pKi=7.1192
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.55
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1	astemizole	pIC50=7.85
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5ncccn5	CHEMBL561489	pKi=7.12
C(\C=C\c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4	CHEMBL43064	pIC50=7.13
CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)c3cccs3)cc1	CHEMBL62726	pKi=7.13
CN(C)CCC(c1ccccc1)c2ccccc2	CHEMBL610739	pKi=7.13
CN(C)CCc1sc2ccccc2c1Cc3cnccn3	CHEMBL551340	pKi=7.13
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4CCc5ccc(cc35)C(C)(C)C(=O)O)CC2)N(C)C1=O	CHEMBL1774499	pIC50=7.13
COc1cc2OC[C@H]3[C@H](CN4CCN(C\C(=C\c5ccc(F)cc5)\C)CC4)ON=C3c2cc1OC	CHEMBL318235	pKi=7.13
CC(C(=O)O)c1ccc2Sc3ccccc3N(CCCN4CCCN(CC4)C5=CC(=O)N(C)C(=O)N5C)c2c1	CHEMBL565083	pIC50=7.14
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1	thioridazine	pIC50=7.14
CC(c1ccc(C)nc1)c2c(CCN(C)C)sc3ccccc23	CHEMBL1092496	pKi=7.16
CN(C)CCCC(c1ccccc1)c2ccccc2	CHEMBL608689	pKi=7.16
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4CCc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL1774497	pIC50=7.16
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4Sc5ccc(CCC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL560061	pIC50=7.16
C[C@@H](C1=C(CCN(C)C)Cc2ccccc12)c3ccccn3	CHEMBL1493369	pKi=7.16
Fc1ccc2c(noc2c1)C3CCN(CCCCNS(=O)(=O)c4cc5ccccc5s4)CC3	CHEMBL3290012	pKi=7.16
C(COc1ccccc1)CN2CCN(CC2)c3ccccc3	CHEMBL1940414	pKi=7.17
O=C(CCCN1CCc2ccccc2C1)c3ccccc3	CHEMBL3818989	pKi=7.17
C[C@@H](CC(=O)NC(=N)NCCCc1c[nH]cn1)C2CCCCC2	CHEMBL1096431	pEC50=7.18
CC(=O)NCc1ccc2c(c1)c(cn2c3ccc(F)cc3)C4CCN(CCN5CCNC5=O)CC4	CHEMBL1259187	pKi=7.19
CNCCC(c1ccccc1)c2ccccc2	CHEMBL593494	pKi=7.19
Cc1ccc(CCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)cc1	CHEMBL571391	pKi=7.19
NCc1ccc2c(c1)c(cn2c3ccc(F)cc3)C4CCN(CCN5CCNC5=O)CC4	CHEMBL1259172	pKi=7.19
CC1=C([C@H](CC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)(C#N)c4ccc(F)cc4	CHEMBL288768	pKi=7.2
CN(C)CCC1=C(Cc2nccnc2C)c3ccccc3C1	CHEMBL1088898	pKi=7.2
CN1C(=O)C=C(N2CCCN(CC\C=C/3\c4ccccc4COc5ccc(cc35)C(=O)O)CC2)N(C)C1=O	CHEMBL1774504	pIC50=7.2
COc1cc(ccc1N)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2208427	pKi=7.2
COc1ccc(C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O)cc1	CHEMBL2158776	pKi=7.2
COc1ccccc1C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O	CHEMBL2158775	pKi=7.2
Cc1c(Cl)c(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccccc4)C(=O)O)CC2	CHEMBL2158788	pKi=7.2
Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4ccc(cc34)S(=O)(=O)C)CC2)c1Cl	CHEMBL2207283	pKi=7.2
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4ccc(cc34)S(=O)(=O)C)CC2	CHEMBL2207277	pKi=7.2
Fc1ccc(OCCCN2CCN(CC2)c3ccccc3)cc1	CHEMBL1940412	pKi=7.2
OC(=O)C(N1CCC(CC1)N2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)c4ccccc4	CHEMBL2158815	pKi=7.2
OC(=O)C(N1CCCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C1)c4ccccc4	CHEMBL2158816	pKi=7.2
OC(=O)c1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158824	pKi=7.2
OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158831	pKi=7.2
CN(C)CC1(C)CC2N(O1)c3ccccc3Cc4ccccc24	CHEMBL82714	pIC50=7.21
CN1CCN(CC1)c2nc(N3CCCC3)c4cnn(C)c4n2	CHEMBL1923522	pKi=7.21
CC1CCC(CCCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)CC1	CHEMBL571174	pKi=7.22
CCCCCC(=O)c1ccc(OCCCN2CCN(Cc3nccs3)CC2)cc1	CHEMBL60360	pKi=7.22
Clc1ccc(cc1)N2CCCN(CCCCc3nc4ccccc4s3)CC2	CHEMBL1946254	pKi=7.22
COc1ccc(CCN2CCC(CC2)C(=O)c3nc4ccccc4n3Cc5ccc(F)cc5)cc1	CHEMBL95051	pIC50=7.23
COc1cccc(n1)C(C)c2c(CCN(C)C)sc3ccccc23	CHEMBL1091792	pKi=7.23
Fc1ccc(Cn2c(nc3ccccc23)N4CCC(CC4)n5cccc5)cc1	CHEMBL558339	pKi=7.23
CC1=C([C@H](CC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)c4ccc(F)cc4C#N	CHEMBL43491	pKi=7.24
CN1C(=O)C=C(NCCCN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)N(C)C1=O	CHEMBL560120	pIC50=7.24
CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)Cc3ccccc3)cc1	CHEMBL305338	pKi=7.25
CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)c3cccn3C)cc1	CHEMBL64884	pKi=7.25
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4CCc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL1774498	pIC50=7.27
C[C@@H]1OC(=O)N([C@H]1c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)c4ccc(F)cc4	CHEMBL96467	pKi=7.27
CN(CCCN1CCC(CN2c3ccccc3Sc4ccc(cc24)C(=O)O)CC1)C5=CC(=O)N(C)C(=O)N5C	CHEMBL561377	pIC50=7.28
O=C(CCCCN1CCC(CC1)c2ccccc2)c3nc4ccccc4s3	CHEMBL2037531	pKi=7.28
CN1CCc2c(C1)c3cccc4CCc5ccccc5n2c34	CHEMBL3104091	pKi=7.3
